,name,category,section,description,dimensions,image,page
0,QIN6,Quinqués,,Quinqué columna dorada bola alabastro blanco,1x1x1 (cm),admin/img_prod/QIN6/QIN6-720x540.png,16
1,REV6,Revistero,Salón,Revistero de madera adorno flor,40x23x40 (cm),admin/img_prod/REV6/REV6-1-720x540.png,16
2,MOU6,Mobiliario urbano,Oficios  Profesiones  Calle,Carro de cartero amarillo con escudo rojo,0x0x0 (cm),admin/img_prod/MOU6/MOU6-1-720x540.png,16
3,LOG6,Logicine,,Estanteria tubo hierro y madera,100x36x136 (cm),admin/img_prod/LOG6/LOG6 (ES121)_logicine.jpg,16
4,CDM6,Centro de mesa,Adorno,Centro de mesa de chapa hojas,0x0x0 (cm),admin/img_prod/CDM6/CDM6-720x540.png,16
5,PAP6,Papelera,,Papelera grande de madera,0x0x0 (cm),admin/img_prod/PAP6/PAP6-720x540.png,16
6,FIG6,Figuras,Adorno,Figura de cartón mujer árabe,0x0x0 (cm),admin/img_prod/FIG6/FIG6-720x540.png,16
7,PLA6,Playa,Jardín  Camping,Sillón de resina reclinable con cojín,0x0x0 (cm),admin/img_prod/PLA6/PLA6-720x540.png,16
8,REG6,Religión,Descatalogado,,0x0x0 (cm),admin/img_prod/REG6/LOGOTIPO VAZQUEZ- 720x540.png,16
9,RU6,Rural,Rústico  Rueca,Rueca antigua torneada pintadas,60x35x97 (cm),admin/img_prod/RU6/RU6-1-720x540.png,16
10,PAR6,Paragüero,,Paragüero chapa decorado ciervo,1x1x1 (cm),admin/img_prod/PAR6/PAR6-720x540.png,16
11,GUA6,Guarnición,Frances,Guarnición Luis XV metal grabado figuras,0x0x0 (cm),admin/img_prod/GUA6/GUA6-720x540.png,16
12,ALA7,Alacena,Cocina,Alacena puertas celosía,96x43x160 (cm),admin/img_prod/ALA7/ALA7-1-720x540.png,16
13,ALF7,Alfombra,Arabe  Comedor  Salón,Alfombra persa dibujos marrones,300x190x1 (cm),admin/img_prod/ALF7/ALF7-720x540.png,16
14,AFC7,Alfombra de cama,Dormitorio,Alfombrin de cama lana verde y flores,120x60x1 (cm),admin/img_prod/AFC7/AFC7-720x540.png,16
15,AP7,Aparador,Comedor  Estilo mil novecientos,Aparador 1900 cuerpo alto 2 puertas,115x55x250 (cm),admin/img_prod/AP7/AP7-1-720x540.png,16
16,AST7,Atrezzo astronomia,Astronomía,Telescopio  blanco con pie aluminio,1x1x1 (cm),admin/img_prod/AST7/AST7-720x540.png,16
17,TOR7,Tortura,Carcel,Aparato de tortura forma aspa con correas,130x15x247 (cm),admin/img_prod/TOR7/TOR7-720x540.png,16
18,ARC7,Arcon,Palacio  Románico,Arcón románico figurado con patas y plataforma,190x66x76 (cm),admin/img_prod/ARC7/ARC7-720x540.png,16
19,AR7,Armario,Dormitorio  Español,Armario 2 puertas cuarterones,138x53x180 (cm),admin/img_prod/AR7/AR7-1-720x540.png,16
20,ARM7,Armero,Militar,Armero para fusiles doble de suelo,92x52x120 (cm),admin/img_prod/ARM7/ARM7-720x540.png,16
21,ATD7,Ataud,,Ataúd de niño figurado blanco,50x145x33 (cm),admin/img_prod/ATD7/ATD7-1-720x540.png,16
22,ATR7,Atril,Religioso,Atril-facistol madera columna torneada,44x35x103 (cm),admin/img_prod/ATR7/ATR7-1-720x540.png,16
23,BAC7,Banco,,Banco tapizado terciopelo morado patas torneadas,128x30x40 (cm),admin/img_prod/BAC7/BAC7-1-720x540.png,16
24,BAN7,Banqueta,Frances,Banqueta  francesa dorada tapizado terciopelo rojo,122x43x44 (cm),admin/img_prod/BAN7/BAN7-1-720x540.png,16
25,M7,Mesa,Jardín,Mesa de jardín forja blanca tapa cristal,50x50x62 (cm),admin/img_prod/M7/M7-1-720x540.png,16
26,BA7,Baño,Bañera  Rústico,Bañera ovalada de cinc con respaldo,150x65x67 (cm),admin/img_prod/BA7/BA7-1-720x540.png,16
27,BAR7,Bargueño,Descatalogado,Descatalogado,1x1x1 (cm),admin/img_prod/BAR7/LOGOTIPO VAZQUEZ- 720x540.png,16
28,BRL7,Barril,Bidón,Bidón de aceite chapa verde,57x57x115 (cm),admin/img_prod/BRL7/BRL7-1-720x540.png,16
29,BAS7,Bascula,Mercado  Tienda,Báscula de tienda de mostrador Lina,1x1x1 (cm),admin/img_prod/BAS7/BAS7-720x540.png,16
30,BAU7,Baul,Almacenaje  Viaje,Baúl madera marrón con cinchas cuero,51x27x26 (cm),admin/img_prod/BAU7/BAU7-1-720x540.png,16
31,BEB7,Bebé,Cochecito,Cochecito de bebé gemelar skay azul,1x1x1 (cm),admin/img_prod/BEB7/BEB7-720x540.png,16
32,PER7,Perchero,Recibidor,"Perchero de pared nogal, caoba y claro con barras metal",100x15x190 (cm),admin/img_prod/PER7/PER7-1-720x540.png,16
33,ESC7,Escaleras,,Escalera de 1 subida de madera,50x6x167 (cm),admin/img_prod/ESC7/ESC7-720x540.png,16
34,BIO7,Biombo,Dormitorio,Biombo modernista 3 hojas rojo (espejos detrás),168x4x192 (cm),admin/img_prod/BIO7/BIO7-1-720x540.png,16
35,BRA7,Brasero,Calefaccion  Medieval,Brasero alto hierro redondo con pie,35x35x170 (cm),admin/img_prod/BRA7/BRA7-720x540.png,16
36,CAB7,Caballete,Pintor,Caballete de pintor negro 3 pies,90x90x190 (cm),admin/img_prod/CAB7/CAB7-720x540.png,16
37,CAR7,Caja registradora,Calculadoras  Despacho,Calculadora OLIVETTI LOGOS 59,1x1x1 (cm),admin/img_prod/CAR7/CAR7-720x540.png,16
38,CF7,Caja fuerte,,Caja fuerte de hierro de empotrar roja,1x1x1 (cm),admin/img_prod/CF7/CF7-720x540.png,16
39,CAJ7,Caja,Descatalogado,Descatalogado,1x1x1 (cm),admin/img_prod/CAJ7/LOGOTIPO VAZQUEZ- 720x540.png,16
40,CA7,Cama,Cabecero  Dormitorio,Cabecero forma tapizado raso rosa,150x6x90 (cm),admin/img_prod/CA7/CA7-720x540.png,16
41,REC7,Reclinatorio,Iglesia  Religioso,Reclinatorio torneado tapizado rojo,50x40x85 (cm),admin/img_prod/REC7/REC7-1-720x540.png,16
42,JU7,Juguetero,Dormitorio,Jugueteros roble con marquetería y espejo,31x32x163 (cm),admin/img_prod/JU7/JU7 (HAY 2) 720x540.png,16
43,CARR7,Carretilla,Mercado  Rústico,Carro de hierro,90x160x110 (cm),admin/img_prod/CARR7/CARR007 copia.jpg.jpg,16
44,CSE7,Carro de servicio,Bar y cafetería,Carro servicio de restaurante tubo negro,77x50x77 (cm),admin/img_prod/CSE7/CSE7-1-720x540.png,16
