,name,category,section,description,dimensions,image,page
0,CTN4,Catenaria,,Catenaria niquelada peana redonda,30x30x95 (cm),admin/img_prod/CTN4/CTN4-720x540.png,10
1,CEM4,Cementerio,,Tumba de cementerio de hierro forjado con cruz,85x180x180 (cm),admin/img_prod/CEM4/CEM004-1-720x540.png,10
2,CHI4,Chimenea,,Avíos forja hierro.,1x1x1 (cm),admin/img_prod/CHI4/CHI4-720x540.png,10
3,CRI4,Cristalería,,Botellas de agua de cristal antiguas.,1x1x1 (cm),admin/img_prod/CRI4/CRI4-720x540.png,10
4,MC4,Macetero,Columna  Jardín,Columna cuadrada estriada pintada oro,30x24x110 (cm),admin/img_prod/MC4/MC4-720x540.png,10
5,ME4,Mesilla,Dormitorio  Isabelino,Mesilla isabelina con marquetería y copete,55x33x112 (cm),admin/img_prod/ME4/ME4-1-720x540.png,10
6,VET4,Ventilador,,Ventilador de mesa aspas azules,1x1x1 (cm),admin/img_prod/VET4/VET4-720x540.png,10
7,REL4,Reloj,Salón,Reloj de pie nogal copete medio punto,56x30x250 (cm),admin/img_prod/REL4/REL4-720x540.png,10
8,TEL4,Telefonía,,Teléfono de campaña antiguo,0x0x0 (cm),admin/img_prod/TEL4/TLF4-720x540.png,10
9,MYN4,Maletas y neceseres de viaje,Viaje,Maleta antigua cuero marrón,80x40x25 (cm),admin/img_prod/MYN4/MYN4-720x540.png,10
10,MYC4,Maletines y carteras,,Cartera cuero negro cierre metal,0x0x0 (cm),admin/img_prod/MYC4/MYC4-720x540.png,10
11,LYR4,Libros y revistas,,Tomos de enciclopedia,0x0x0 (cm),admin/img_prod/LYR4/LYR4-720x540.png,10
12,URN4,Urnas,,Urna de votación tapa roja,0x0x0 (cm),admin/img_prod/URN4/URN4-720x540.png,10
13,TOC4,Objetos de tocador,Tocador,Espejo de tocador columna bronce,0x0x0 (cm),admin/img_prod/TOC4/TOC4-720x540.png,10
14,VAJ4,Vajilla,Comedor,Vajilla loza Luis XV (12 servicios),0x0x0 (cm),admin/img_prod/VAJ4/VAJ4-720x540.png,10
15,JUG4,Juguetes,Juguete,Juego antiguo Canoa con su caja,0x0x0 (cm),admin/img_prod/JUG4/JUG4-720x540.png,10
16,JAR4,Jarrones y jarras,Adorno  Decoración  Salón,Jarra antigua estaño con escudo,0x0x0 (cm),admin/img_prod/JAR4/JAR4-720x540.png,10
17,TYV4,Televisores y vídeos,Televisor,Televisión gris sony,50x43x50 (cm),admin/img_prod/TYV4/TYV4-720x540.png,10
18,MYS4,Tocadiscos y altavoces,Altavoces  Electrónica  Musica  Sonido,Altavoces caja madera frontal gris,27x27x48 (cm),admin/img_prod/MYS4/MYS4-720x540.png,10
19,SOM4,Sombrereras,Viaje,Sombrereras de ante antiguas,0x0x0 (cm),admin/img_prod/SOM4/SOM4-720x540.png,10
20,TP4,Tapices y estandartes,Iglesia  Medieval,Tapiz religioso pintado Angel con paloma,235x0x240 (cm),admin/img_prod/TP4/TP4-720x540.png,10
21,ML4,Librería,Despacho  Inglesa,LIBRERÍA DESPACHO INGLESA CLARA 3 PUERTAS,172x67x192 (cm),admin/img_prod/ML4/ML4-720x540.png,10
22,MED4,Atrezzo medicina,Hospital  Medicina,Instrumentos médicos quirúrgicos antiguos mango madera,0x0x0 (cm),admin/img_prod/MED4/MED4-720x540.png,10
23,HOS4,Hospitales,Hospital  Medicina,Biombo hospital 3 hojas marco madera,144x7x170 (cm),admin/img_prod/HOS4/HOS4-720x540.png,10
24,VAA4,Atrezzo vario,,Bocinas antiguas metal,0x0x0 (cm),admin/img_prod/VAA4/VAA4-720x540.png,10
25,GRA4,Gramófonos y gramolas,Musica,Gramola antigua caja marquetería,0x0x0 (cm),admin/img_prod/GRA4/GRA4-720x540.png,10
26,ARA4,Atrezzo Árabe,Arabe,Mesa banqueta árabe hexagonal marquetería,37x37x50 (cm),admin/img_prod/ARA4/ARA4-1-720x540.png,10
27,SI4,Sillón,Isabelino  Salón  Sillería,Sillón isabelino negro tapizado damasco,65x56x110 (cm),admin/img_prod/SI4/SI4-1-720x540.png,10
28,RAD4,Radios,,Radio antigua caja madera art-decó,1x1x1 (cm),admin/img_prod/RAD4/RAD4-720x540.png,10
29,JAM4,Jamuga,Español,Jamuga española tallada asiento y respaldo terciopelo rojo,70x45x82 (cm),admin/img_prod/JAM4/JAM4-1-720x540.png,10
30,MV4,Muebles varios,Mueble bar,Mueble bar giratorio pie central caoba y piel verde,89x89x75 (cm),admin/img_prod/MV4/MV4-1-720x540.png,10
31,JAU4,Jaula,,Jaula de varilla grande para hamster,1x1x1 (cm),admin/img_prod/JAU4/JAU4-720x540.png,10
32,JUE4,Juego,Casino,Mesa de juego patas torneadas chambrana cruz,85x85x80 (cm),admin/img_prod/JUE4/JUE4-1-720-540.png,10
33,JU4,Juguetero,,Juguetero de caoba con puertas de cristal y espejo ovalado,65x28x149 (cm),admin/img_prod/JU4/JU4-1-720x540.png,10
34,SIL4,Silla,Isabelino  Sillería,Silla isabelina negra tapizada damasco rojo,50x48x100 (cm),admin/img_prod/SIL4/SIL4-1-720x540.png,10
35,LM4,Litera de mano,Edad media,Sillón con varas con toldo terciopelo,62x60x160 (cm),admin/img_prod/LM4/LM4-1-720x540.png,10
36,MEC4,Mecedora,,Mecedora respaldo palitos asiento skay negro,60x80x105 (cm),admin/img_prod/MEC4/MEC4-1-720x540.png,10
37,MOS4,Mostrador,Bar y cafetería,Mostrador de tablitas forma,175x100x110 (cm),admin/img_prod/MOS4/MOS4-1-720x540.png,10
