,name,category,section,description,dimensions,image,page
0,CST6,Moda y costura,Avíos de costura,Cabeza de modista de madera,1x1x1 (cm),admin/img_prod/CST6/CST6-720x540.png,15
1,CTN6,Catenaria,,Cordón terciopelo rojo remate niquelado,3x150x3 (cm),admin/img_prod/CTN6/CTN6-720x540.png,15
2,CEM6,Cementerio,,Tumba de cementerio de hierro forjado con cruz,80x80x178 (cm),admin/img_prod/CEM6/CEM006-1-720x540.png,15
3,CHI6,Chimenea,,Par de morillos de chimenea bola metal,1x1x30 (cm),admin/img_prod/CHI6/CHI6-720x540.png,15
4,CRI6,Cristalería,,Copas de cristal tallado antiguas,1x1x1 (cm),admin/img_prod/CRI6/CRI6-720x540.png,15
5,MC6,Macetero,Comedor  Salón,Macetero madera cuadrado talla dorada,49x49x110 (cm),admin/img_prod/MC6/MC6-1-720x540.png,15
6,ME6,Mesilla,Dormitorio  Frances,Mesilla francesa blanca con adorno cajón,60x35x65 (cm),admin/img_prod/ME6/ME6-1-720x540.png,15
7,VET6,Ventilador,,Ventilador de mesa aspas grises,1x1x1 (cm),admin/img_prod/VET6/VET6-720x540.png,15
8,REL6,Reloj,Inglesa  Salón,Reloj de pie inglés caoba con péndulo,39x23x194 (cm),admin/img_prod/REL6/REL6-1-720x540.png,15
9,TEL6,Telefonía,,Teléfono de mesa de horquilla de metal con disco,0x0x0 (cm),admin/img_prod/TEL6/TEL6-720x540.png,15
10,MYN6,Maletas y neceseres de viaje,Viaje,Maleta de cuero (juego),0x0x0 (cm),admin/img_prod/MYN6/MYN6-720x540.png,15
11,MYC6,Maletines y carteras,,Maletín marrón claro pequeño 2 cierres metal,0x0x0 (cm),admin/img_prod/MYC6/MYC6-720x540.png,15
12,LYR6,Libros y revistas,,Libros de leyes Aranzadi,0x0x0 (cm),admin/img_prod/LYR6/LYR6-720x540.png,15
13,TOC6,Objetos de tocador,Tocador,Espejos de mano,0x0x0 (cm),admin/img_prod/TOC6/TOC6-720x540.png,15
14,VAJ6,Vajilla,Cocina,Vajilla cartuja roja,0x0x0 (cm),,15
15,JUG6,Juguetes,Juguete,Coche de bomberos con su caja,0x0x0 (cm),admin/img_prod/JUG6/JUG6-720x540.png,15
16,JAR6,Jarrones y jarras,Adorno  Decoración  Salón,Jarra cobre ochavada,0x0x0 (cm),admin/img_prod/JAR6/JAR6-720x540.png,15
17,TYV6,Televisores y vídeos,Televisor,Televisión caja madera Philips (color),74x49x52 (cm),admin/img_prod/TYV6/TYV6-1-720x540.png,15
18,MYS6,Tocadiscos y altavoces,Altavoces  Electrónica  Musica  Sonido,Altavoces caja madera negra altos,0x0x0 (cm),admin/img_prod/MYS6/MYS6-720x540.png,15
19,TP6,Tapices y estandartes,Castillo,Tapiz bordado cacería del siglo XVIII con bastidor,190x5x120 (cm),admin/img_prod/TP6/TP6-720x540.png,15
20,ML6,Librería,Despacho  Español,Librería despacho español dibujos tallados,186x45x178 (cm),admin/img_prod/ML6/ML6-1-720x540.png,15
21,MED6,Atrezzo medicina,Hospital  Medicina,Recipiente antiguo porcelana para vahos,0x0x0 (cm),admin/img_prod/MED6/MED6-720x540.png,15
22,HOS6,Hospitales,Camillas  Hospital  Medicina,Camilla de hierro blanco con estribos y tapizada skay,180x50x84 (cm),admin/img_prod/HOS6/HOS6-1-720X540.png,15
23,VAA6,Atrezzo vario,,Candados antiguos,0x0x0 (cm),admin/img_prod/VAA6/VAA6-720x540.png,15
24,GRA6,Gramófonos y gramolas,Musica,Gramófono caja cuadrada con bocina,0x0x0 (cm),admin/img_prod/GRA6/GRA6-720x540.png,15
25,ARA6,Atrezzo Árabe,Arabe,Macetero árabe nogal tallado,38x38x107 (cm),admin/img_prod/ARA6/ARA6-1-720x540.png,15
26,SI6,Sillón,Imperio  Salón  Sillería,Sillón imperio dorado tapizado tela verde,58x60x106 (cm),admin/img_prod/SI6/SI6-1-720x540.png,15
27,RAD6,Radios,,Radio antigua caja madera diales laterales 4 mandos,1x1x1 (cm),admin/img_prod/RAD6/RAD6-720x540.png,15
28,JAM6,Jamuga,Medieval,Jamuga de listones con respaldo tallado,76x35x95 (cm),admin/img_prod/JAM6/JAM6-720x540.png,15
29,MV6,Muebles varios,Mueble bar,Mueble bar nogal pata forma,70x37x90 (cm),admin/img_prod/MV6/MV6-1-720x540.png,15
30,JAU6,Jaula,,Jaula de varilla dorada pequeña,1x1x1 (cm),admin/img_prod/JAU6/JAU6-720x540.png,15
31,JUE6,Juego,Americano  Billar,Mesa de billar americano con bolas,233x132x90 (cm),admin/img_prod/JUE6/JUE6-1-720x540.png,15
32,JU6,Juguetero,,Juguetero modernista nogal con espejo,100x42x213 (cm),admin/img_prod/JU6/JU6-1-720x540.png,15
33,SIL6,Silla,Imperio  Sillería,Silla imperio dorada tapizada verde,50x43x10 (cm),admin/img_prod/SIL6/SIL6 (HAY 3) 720x540.png,15
34,LM6,Litera de mano,Edad media,Sillón con varas respaldo basculante,70x60x115 (cm),admin/img_prod/LM6/LM6-1-720x540.png,15
35,MEC6,Mecedora,Curvado,Mecedora curvada de nogal y rejilla,54x106x104 (cm),admin/img_prod/MEC6/MEC6-1-720x540.png,15
36,MOS6,Mostrador,Descatalogado,,1x1x1 (cm),admin/img_prod/MOS6/LOGOTIPO VAZQUEZ- 720x540.png,15
37,S6,Sofá,Imperio  Salón  Sillería,Sofá imperio dorado tapizado tela medallones,135x60x105 (cm),admin/img_prod/S6/S6-1-720x540.png,15
38,ILU6,Iluminación,,Caja de fusibles chapa gris,50x30x60 (cm),admin/img_prod/ILU6/ILU6-720x540.png,15
39,PV6,Pie de vela,Hachero  Iglesia  Medieval,Hachero de suelo aro calado 4 luces,50x50x180 (cm),admin/img_prod/PV6/PV6-1-720x540.png,15
