,name,category,section,description,dimensions,image,page
0,MOS20,Mostrador,Descatalogado,Descatalogado,0x0x0 (cm),admin/img_prod/MOS20/LOGOTIPO VAZQUEZ- 720x540.png,45
1,S20,Sofá,Frances  Salón,Sofá Luis XIV nogal tapizado damasco,200x80x110 (cm),admin/img_prod/S20/S20-1-720x540.png,45
2,ILU20,Iluminación,Calle,Farol de pared chapa redonda,60x60x120 (cm),admin/img_prod/ILU20/ILU20-720x540.png,45
3,PV20,Pie de vela,Antorchero  Medieval,Antorchero de pared de hierro remate pincho,0x0x0 (cm),admin/img_prod/PV20/PV20-720x540.png,45
4,SEC20,Secreter,Dormitorio  Salón,Secreter caoba con balaustres,57x37x107 (cm),admin/img_prod/SEC20/SEC20-1-720x540.png,45
5,BRA20,Brasero,Griego  Medieval  Pebetero,Pebetero griego hierro bajo pintado oro,65x65x90 (cm),admin/img_prod/BRA20/BRA20-1 720x540.png,45
6,JAU20,Jaula,Pie de jaula,Pie de jaula dorado aro,0x0x190 (cm),admin/img_prod/JAU20/JAU20-720x540.png,45
7,VI20,Vitrina,Bar y cafetería,Vitrina de bar refrigerada con motor,153x38x20 (cm),admin/img_prod/VI20/VI20-1-720x540.png,45
8,PER20,Perchero,Despacho  Dormitorio  Recibidor,Perchero de pie bronce peana redonda 4 ganchos,40x40x172 (cm),admin/img_prod/PER20/PER20-720x540.png,45
9,QIN20,Quinqués,,Quinqué depósito azul con su globo,1x1x1 (cm),admin/img_prod/QIN20/QIN20-720x540.png,45
10,CSE20,Carro de servicio,Comedor  Curvado  Salón,Carro de servicio redondo tonet nogal y médula,48x45x83 (cm),admin/img_prod/CSE20/CSE20-1-720x540.png,45
11,MOU20,Mobiliario urbano,Calle,Fuente de calle de pared de bronce,0x0x0 (cm),admin/img_prod/MOU20/MOU20-720x540.png,45
12,PEL20,Peluquería,,"Aparato de peluquería de pie crema ""Electra""",56x56x150 (cm),admin/img_prod/PEL20/PEL20-1-720x540.png,45
13,CDM20,Centro de mesa,Adorno,Centro de mesa loza azul con tapa,0x0x0 (cm),admin/img_prod/CDM20/CDM20-720x540.png,45
14,PAP20,Papelera,,Papelera cenicero niquelada redonda,0x0x0 (cm),admin/img_prod/PAP20/PAP20-1-720x540.png,45
15,FIG20,Figuras,Adorno,Figura de escayola pintada mujer africana,0x0x0 (cm),admin/img_prod/FIG20/FIG20-720x540.png,45
16,PLA20,Playa,,Caseta de playa tela rayas,0x0x0 (cm),admin/img_prod/PLA20/PLA20-720x540.png,45
17,REG20,Religión,Cruces,Cruz de suelo de madera fina,106x5x230 (cm),admin/img_prod/REG20/REG20-720x540.png,45
18,RU20,Rural,,Asador de suelo de hierro,0x0x0 (cm),admin/img_prod/RU20/RU20-720x540.png,45
19,ALA21,Alacena,Cocina,Alacena pintada,90x30x168 (cm),admin/img_prod/ALA21/ALA21-1-720x540.png,45
20,ALF21,Alfombra,Arabe  Comedor  Salón,Alfombra persa verde,235x160x1 (cm),admin/img_prod/ALF21/ALF21-720x540.png,45
21,AFC21,Alfombra de cama,Arabe  Dormitorio,Alfombrín de cama persa rojo con fleco,68x110x1 (cm),admin/img_prod/AFC21/AFC21-720x540.png,45
22,AP21,Aparador,Comedor  Inglesa,Trinchero inglés con espejo a juego  juego AP20,114x43x100 (cm),admin/img_prod/AP21/AP21-1-720x540.png,45
23,ARC21,Arcon,Rústico,Arcón rústico de pino liso,144x46x50 (cm),admin/img_prod/ARC21/ARC21-720x540.png,45
24,AR21,Armario,Dormitorio  Inglesa,Armario inglés 2 puertas espejo,125x54x230 (cm),admin/img_prod/AR21/AR21-1-720x540.png,45
25,ATR21,Atril,Colegio,Atril plegable para proyector de diapositivas,100x35x110 (cm),admin/img_prod/ATR21/ATR21-1-720x540.png,45
26,BAC21,Banco,,Banco tapizado terciopelo rojo 8 patas,225x43x56 (cm),admin/img_prod/BAC21/BAC21-1-720x540.png,45
27,BAN21,Banqueta,Góndola,Banqueta góndola nogal,51x36x60 (cm),admin/img_prod/BAN21/BAN21-1-720x540.png,45
28,M21,Mesa,Centro  Italiano,Mesa de centro patas varilla tapa formica,80x40x50 (cm),admin/img_prod/M21/M21-1-720x540.png,45
29,BA21,Baño,Lavabo,Lavabo 2 llaves y caño con pie,64x53x84 (cm),admin/img_prod/BA21/BA21-1-720x540.png,45
30,BAU21,Baul,Viaje,Baul viajante gris,70x50x80 (cm),admin/img_prod/BAU21/BAU21-1-720x540.png,45
31,BIO21,Biombo,Descatalogado,descatalogado,0x0x0 (cm),admin/img_prod/BIO21/LOGOTIPO VAZQUEZ- 720x540.png,45
32,CA21,Cama,Años setenta  Dormitorio,Cabecero sapeli recto,124x15x92 (cm),admin/img_prod/CA21/CA21-720x540.png,45
33,CO21,Cocinas,Varios cocina,Depósito de agua con palomilla y tubo,65x65x44 (cm),admin/img_prod/CO21/CO21-1-720x540.png,45
34,COM21,Comoda,Dormitorio,Cómoda de sacristía figurada nogal,245x95x120 (cm),admin/img_prod/COM21/COM21-720x540.png,45
35,CON21,Consola,Isabelino  Recibidor,Consola Isabelina limoncillo con mármol,119x49x94 (cm),admin/img_prod/CON21/CON21-1-720x540.png,45
36,CU21,Cuadro,Retratos,Cuadro marco ancho negro óleo Judith y Holofernes (Robusti),140x10x80 (cm),admin/img_prod/CU21/CU21-720x540.png,45
37,ANU21,Carteles y anuncios,Bar y cafetería,Cartel  antiguo chapa Schweppes limón,25x1x25 (cm),admin/img_prod/ANU21/ANU21-720x540.png,45
38,ESP21,Espejo,Dormitorio,Espejo marco pintado (1marrón y 1 blanco),90x15x150 (cm),admin/img_prod/ESP21/ESP21-720x540.png,45
39,ES21,Estanteria,Dormitorio,Estantería pino recortada 6 baldas,93x32x200 (cm),admin/img_prod/ES21/ES21-1-720x540.png,45
40,EST21,Estufa,Calefaccion,Placa de calor eléctrica con ruedas,90x15x50 (cm),admin/img_prod/EST21/EST21-720x540.png,45
41,ESTAT21,Estatua,Religioso,Estatua imagen monja de escayola,35x30x125 (cm),admin/img_prod/ESTAT21/ESTAT21-1-720x540.png,45
42,F21,Fichero,Despacho,Fichero metálico pintado 4 cajones,50x62x130 (cm),admin/img_prod/F21/F021 720x540.png,45
43,MUS21,Instrumentos musicales,Musica,Laúd antiguo con incrustaciones,1x1x1 (cm),admin/img_prod/MUS21/MUS21(INM8)-720x540.png,45
44,ADO21,Adornos,Salón,Adorno mesa pirámides loza,1x1x1 (cm),admin/img_prod/ADO21/ADO21-720x540.png,45
45,DPT21,Deporte,Gimnasio,Banco de abdominales plegable skay azul,95x32x53 (cm),admin/img_prod/DPT21/DPT21-1-720x540.png,45
46,LAM21,Lámpara,Lámpara de mesa  Oriental  Salón,Lámpara de mesa figura chino alabastro,0x0x0 (cm),admin/img_prod/LAM21/LAM21-720X540.png,45
47,FUM21,Artículos de fumador,Cenicero,Cenicero triangular madera y metal,1x1x1 (cm),admin/img_prod/FUM21/FUM21-720X540.png,45
