,name,category,section,description,dimensions,image,page
0,CSE15,Carro de servicio,Cocina  Comedor  Salón,Carro de servicio metal con cristales y asa,80x45x70 (cm),admin/img_prod/CSE15/CSE15-720x540.png,35
1,CHI15,Chimenea,,Par de morillos de hierro.,1x1x1 (cm),admin/img_prod/CHI15/CHI15-720x540.png,35
2,REC15,Reclinatorio,Enea  Iglesia  Religioso,Reclinatorio oscuro de enea con cruz,50x43x87 (cm),admin/img_prod/REC15/REC15-1-720x540.png,35
3,CRI15,Cristalería,,Copas de cristal grueso,1x1x1 (cm),admin/img_prod/CRI15/CRI15-720x540.png,35
4,MC15,Macetero,Salón  Comedor,Macetero claro columna salomónica,28x28x85 (cm),admin/img_prod/MC15/MC15-1-720x540.png,35
5,ME15,Mesilla,Dormitorio,Mesilla alta caoba frente tallado (2 copetes),46x36x92 (cm),admin/img_prod/ME15/ME15-1-720x540.png,35
6,VET15,Ventilador,,Ventilador de suelo caja crema,1x1x1 (cm),admin/img_prod/VET15/VET15-720x540.png,35
7,REL15,Reloj,Salón,Reloj pared nogal forma octogonal con péndulo,1x1x1 (cm),admin/img_prod/REL15/REL15-720x540.png,35
8,TEL15,Telefonía,,Teléfonos antiguos de mesa de baquelita,0x0x0 (cm),admin/img_prod/TEL15/TEL15-1-720x540.png,35
9,MYN15,Maletas y neceseres de viaje,Viaje,Maleta antigua fibra marrón cinchas madera,75x45x25 (cm),admin/img_prod/MYN15/MYN15-720x540.png,35
10,MYC15,Maletines y carteras,,Bolsas para ordenador portátil de nylon,0x0x0 (cm),admin/img_prod/MYC15/MYC15-720x540.png,35
11,LYR15,Libros y revistas,,Revistas antiguas,0x0x0 (cm),admin/img_prod/LYR15/LYR15-720x540.png,35
12,TOC15,Objetos de tocador,Tocador,Joyero plateado grabado cuadrado,0x0x0 (cm),admin/img_prod/TOC15/TOC15-720x540.png,35
13,JUG15,Juguetes,Juguete,Juego antiguo Ping-Pong con su caja,0x0x0 (cm),admin/img_prod/JUG15/JUG15-720x540.png,35
14,JAR15,Jarrones y jarras,Adorno  Decoración  Salón,Jarra loza blanca borde azul y flores,0x0x0 (cm),admin/img_prod/JAR15/JAR15-720x540.png,35
15,MYS15,Tocadiscos y altavoces,Altavoces  Electrónica  Musica  Sonido,Altavoz caja antiguo madera azul frontal tela,0x0x0 (cm),admin/img_prod/MYS15/MYS15-720x540.png,35
16,TP15,Tapices y estandartes,Castillo,Tapiz pintado batalla naval,390x0x240 (cm),admin/img_prod/TP15/TP15-720x540.png,35
17,ML15,Librería,Cubista  Despacho,LIBRERÍA DESPACHO CUBISTA 3 CUERPOS,180x45x185 (cm),admin/img_prod/ML15/ML15-720x540.png,35
18,MED15,Atrezzo medicina,Hospital  Medicina,Cajas médicas con utensilios de laboratorio,0x0x0 (cm),admin/img_prod/MED15/MED15-720x540.png,35
19,HOS15,Hospitales,Camillas  Hospital  Medicina,Camilla de masaje niquelada tapizada skay blanco,165x60x73 (cm),admin/img_prod/HOS15/HOS15-720x540.png,35
20,VAA15,Atrezzo vario,,Llaves grandes antiguas de hierro,0x0x0 (cm),admin/img_prod/VAA15/VAA15-720x540.png,35
21,TYV15,Televisores y vídeos,Televisor,"Televisión caja roja y blanca (B/N) 21""",74x37x51 (cm),admin/img_prod/TYV15/TYV15-1-720x540.png,35
22,AST15,Atrezzo astronomia,Óptica  Astronomía,Caja con catalejo de metal y brújula,1x1x1 (cm),admin/img_prod/AST15/AST15-1-720x540.png,35
23,SI15,Sillón,Frances  Salón  Sillería,Sillón Luis XVI gris y oro tapizado terciopelo rojo,60x50x108 (cm),admin/img_prod/SI15/SI15-1-720x540.png,35
24,RAD15,Radios,,Radio antigua pequeña baquelita marron,1x1x1 (cm),admin/img_prod/RAD15/RAD15-720x540.png,35
25,JAM15,Jamuga,Medieval,Jamuga de listones sin respaldo,60x50x65 (cm),admin/img_prod/JAM15/JAM15-720x540.png,35
26,MV15,Muebles varios,Español  Taquillón,Taquillón estilo español 3 cajones,60x38x72 (cm),admin/img_prod/MV15/MV15-1-720x540.png,35
27,JUE15,Juego,Billar,Soporte de pared de madera para palos de billar,55x10x150 (cm),admin/img_prod/JUE15/JUE15-720x540.png,35
28,SIL15,Silla,Frances  Sillería,Silla Luis XVI gris y oro tapizada terciopelo rojo,47x40x102 (cm),admin/img_prod/SIL15/SIL15-2-720x540.png,35
29,MEC15,Mecedora,Descatalogado,,0x0x0 (cm),admin/img_prod/MEC15/LOGOTIPO VAZQUEZ- 720x540.png,35
30,MOS15,Mostrador,Tienda,Caramelero con 12 tarros de cristal,75x50x190 (cm),admin/img_prod/MOS15/MOS15-720x540.png,35
31,S15,Sofá,Frances  Salón  Sillería,Sofá Luis XVI gris y oro tapizado terciopelo rojo,116x50x108 (cm),admin/img_prod/S15/S15-720x540.png,35
32,ILU15,Iluminación,,Pantalla fluorescente chapa crema de 2,30x124x9 (cm),admin/img_prod/ILU15/ILU15-720X540.png,35
33,PV15,Pie de vela,Candelero  Iglesia  Medieval,Candelero de suelo de madera negro de 1 luz,56x56x130 (cm),admin/img_prod/PV15/PV15-720x540.png,35
34,SEC15,Secreter,Descatalogado,Descatalogado,0x0x0 (cm),admin/img_prod/SEC15/LOGOTIPO VAZQUEZ- 720x540.png,35
35,JAU15,Jaula,Pie de jaula,Pie de jaula dorado rayado peana redonda,28x28x164 (cm),admin/img_prod/JAU15/JAU15-720x540.png,35
36,VI15,Vitrina,Inglesa,Vitrina de pared inglesa con marquetería,83x30x98 (cm),admin/img_prod/VI15/VI15-1-720x540.png,35
37,PER15,Perchero,Americano  Despacho  Recibidor,Perchero de pie curvado nogal,50x50x190 (cm),admin/img_prod/PER15/PER15-720x540.png,35
38,SR15,Silla de ruedas,Hospital,Silla de ruedas plegable tapizada skay negro,1x1x1 (cm),admin/img_prod/SR15/SR15-1-720x540.png,35
39,PC15,Pizarra,Bar y cafetería,Pizarra de bar con dibujo cocinero,67x68x165 (cm),admin/img_prod/PC15/PC15-720x540.png,35
40,CEM15,Cementerio,Cruces,Cruz figurada imitación piedra,52x12x89 (cm),admin/img_prod/CEM15/CEM15-720x540.png,35
