,name,category,section,description,dimensions,image,page
0,CRI14,Cristalería,,Copas de cristal grueso,1x1x1 (cm),admin/img_prod/CRI14/CRI14-720x540.png,33
1,MC14,Macetero,Comedor  Salón,Macetero oscuro columna salomónica,28x28x92 (cm),admin/img_prod/MC14/MC14-1-720x540.png,33
2,ME14,Mesilla,Dormitorio,Mesilla alta caoba copete espejo y tapa mármol,46x36x136 (cm),admin/img_prod/ME14/ME14-1-720x540.png,33
3,VET14,Ventilador,,Ventilador de suelo caja blanca,1x1x1 (cm),admin/img_prod/VET14/VET14-720x540.png,33
4,REL14,Reloj,Salón,Reloj de pared nogal adornos metal con pesas,1x1x1 (cm),admin/img_prod/REL14/REL14-720x540.png,33
5,TEL14,Telefonía,,Teléfonos antiguos de mesa de baquelita,0x0x0 (cm),admin/img_prod/TEL14/TEL14-720x540.png,33
6,MYN14,Maletas y neceseres de viaje,Viaje,Maleta antigua fibra marrón cantoneras hierro y tachuelas,70x40x25 (cm),admin/img_prod/MYN14/MYN14-720x540.png,33
7,MYC14,Maletines y carteras,,Maletines de médico antiguos de cuero,0x0x0 (cm),admin/img_prod/MYC14/MYC14-720x540.png,33
8,LYR14,Libros y revistas,,Periódicos antiguos,0x0x0 (cm),admin/img_prod/LYR14/LYR14-720x540.png,33
9,TOC14,Objetos de tocador,Tocador,Joyero plateado grabado rectangular con patitas,0x0x0 (cm),admin/img_prod/TOC14/TOC14-720x540.png,33
10,VAJ14,Vajilla,Cocina,Platos cristal Duralex verde,0x0x0 (cm),admin/img_prod/VAJ14/VAJ14-720x540.png,33
11,JUG14,Juguetes,Juguete,Maquetas de aviones de juguete con sus cajas,0x0x0 (cm),admin/img_prod/JUG14/JUG14-720x540.png,33
12,JAR14,Jarrones y jarras,Adorno  Decoración  Salón,Jarra plateada grabada,0x0x0 (cm),admin/img_prod/JAR14/JAR14-720x540.png,33
13,MYS14,Tocadiscos y altavoces,Altavoces  Electrónica  Musica  Sonido,Altavoz antiguo chapa gris,0x0x0 (cm),admin/img_prod/MYS14/MYS14-720x540.png,33
14,TP14,Tapices y estandartes,Castillo,Tapiz pintado medieval señores a caballo,157x0x250 (cm),admin/img_prod/TP14/TP14-720x540.png,33
15,ML14,Librería,Americano  Despacho,Librería despacho americana puertas cristal,105x43x175 (cm),admin/img_prod/ML14/ML14-1-720x540.png,33
16,MED14,Atrezzo medicina,Hospital  Medicina,Microscopio de laboratorio con su caja madera,0x0x0 (cm),admin/img_prod/MED14/MED14-720x540.png,33
17,HOS14,Hospitales,Medicina  Hospital  Camillas,Camilla de curas tubo blanco tapizada skay,182x57x72 (cm),admin/img_prod/HOS14/HOS14-1-720x540.png,33
18,VAA14,Atrezzo vario,,Aros con llaves antiguas,0x0x0 (cm),admin/img_prod/VAA14/VAA14-720x540.png,33
19,AST14,Atrezzo astronomia,Astronomía,Astrolabio metal grande (sólo esfera),78x78x78 (cm),admin/img_prod/AST14/AST14-720x540.png,33
20,SI14,Sillón,Alfonsino  Salón  Sillería,Sillón alfonsino dorado tallado tapizado damasco,64x65x116 (cm),admin/img_prod/SI14/SI14-1-720x540.png,33
21,RAD14,Radios,,Radio antigua pequeña 2 mandos Philips,1x1x1 (cm),admin/img_prod/RAD14/RAD14-720x540.png,33
22,JAM14,Jamuga,Medieval,Jamuga de listones con respaldo,62x46x59 (cm),admin/img_prod/JAM14/JAM14-1-720x540.png,33
23,MV14,Muebles varios,Español  Taquillón,Taquillón estilo español con balaustres,110x32x83 (cm),admin/img_prod/MV14/MV14-1-720x540.png,33
24,JAU14,Jaula,,Jaula de loro de varilla dorada grande,1x1x1 (cm),admin/img_prod/JAU14/JAU14-720x540.png,33
25,JUE14,Juego,Bar y cafetería  Futbolín,Futbolín auténtico de madera con bolas,137x80x100 (cm),admin/img_prod/JUE14/JUE14-1-720x540.png,33
26,SIL14,Silla,Musica,Silla dorada respaldo lira asiento rojo,42x40x96 (cm),admin/img_prod/SIL14/SIL14-1-720x540.png,33
27,MEC14,Mecedora,Enea,Mecedora de enea respaldo 4 palas,63x76x116 (cm),admin/img_prod/MEC14/MEC14-1-720x540.png,33
28,MOS14,Mostrador,Tienda,Caramelero niquelado con 16 tarros de cristal,91x30x119 (cm),admin/img_prod/MOS14/MOS14-720x540.png,33
29,S14,Sofá,Alfonsino  Salón  Sillería,Sofá alfonsino dorado tallado tapizado damasco,180x65x130 (cm),admin/img_prod/S14/S14-1-720x540.png,33
30,ILU14,Iluminación,Calle,Cabeza de farol hexagonal sin palomilla,40x40x85 (cm),admin/img_prod/ILU14/ILU14-720x540.png,33
31,PV14,Pie de vela,Antorchero  Iglesia  Medieval,Antorchero de suelo de cuadradillo de 1 luz,0x0x0 (cm),admin/img_prod/PV14/PV14-720x540.png,33
32,SEC14,Secreter,Inglesa  Salón,Secreter nogal inglés con vitrina,75x48x200 (cm),admin/img_prod/SEC14/SEC14-1-720x540.png,33
33,VI14,Vitrina,Iglesia,Vitrina hornacina caoba interior rojo,107x41x15 (cm),admin/img_prod/VI14/VI14-720x540.png,33
34,PEL14,Peluquería,,Sillas de peluquería giratorias tapizadas azul,60x60x80 (cm),admin/img_prod/PEL14/PEL14-1-720x540.png,33
35,PER14,Perchero,Americano  Despacho  Recibidor,Perchero de pie curvado oscuro,50x50x188 (cm),admin/img_prod/PER14/PER14-720x540.png,33
36,SR14,Silla de ruedas,Hospital,Andador antiguo tubo redondo dorado,58x100x100 (cm),admin/img_prod/SR14/SR14-1-720x540.png,33
37,PC14,Pizarra,Colegio,Pizarra de colegio marco madera,110x5x90 (cm),admin/img_prod/PC14/PC14-720x540.png,33
38,CAM14,Cámara fotos y vídeo,Cámaras de fotos,Cámara de fotos PRAKTIKA,1x1x1 (cm),admin/img_prod/CAM14/CAM14-720x540.png,33
39,CEM14,Cementerio,Cruces,Cruz de cementerio figurada piedra,40x27x94 (cm),admin/img_prod/CEM14/CEM14-720x540.png,33
40,JUZ14,Juzgado,Juzgados,Mazo de juez de madera liso,1x1x1 (cm),admin/img_prod/JUZ14/JUZ14-720x540.png,33
41,CAJ14,Caja,Cajas,Caja embalaje con tapa,120x55x64 (cm),admin/img_prod/CAJ14/CAJ14-1-720x540.png,33
42,ARM14,Armero,Medieval,Panoplia damasco marrón con rodela y espadas,80x10x105 (cm),admin/img_prod/ARM14/ARM14-720x540.png,33
43,QIN14,Quinqués,,Quinqué metal bajo,1x1x1 (cm),admin/img_prod/QIN14/QIN14-720x540.png,33
44,MOU14,Mobiliario urbano,Calle,Señal de tráfico STOP con pie,60x60x136 (cm),admin/img_prod/MOU14/MOU14-720x540.png,33
45,ARA14,Atrezzo Árabe,Descatalogado,,0x0x0 (cm),admin/img_prod/ARA14/LOGOTIPO VAZQUEZ- 720x540.png,33
46,CDM14,Centro de mesa,Adorno,Centro de mesa de estaño,0x0x0 (cm),admin/img_prod/CDM14/CDM14-720x540.png,33
47,PAP14,Papelera,,Papelera plástico de colores,0x0x0 (cm),admin/img_prod/PAP14/PAP14-720x540.png,33
