,name,category,section,description,dimensions,image,page
0,ALA9,Alacena,Cocina,Alacena de colgar con puertas celosía,67x34x57 (cm),admin/img_prod/ALA9/ALA9-720x540.png,21
1,ALF9,Alfombra,Comedor  Frances  Salón,Alfombra francesa redonda dibujos azules,140x140x1 (cm),admin/img_prod/ALF9/ALF9-720x540.png,21
2,AFC9,Alfombra de cama,Comedor,Alfombrín de cama pelo lana rojo flores,120x63x1 (cm),admin/img_prod/AFC9/AFC9-720x540.png,21
3,AP9,Aparador,Comedor  Estilo mil novecientos,Trinchero 1900 claro con estante y copete,109x50x160 (cm),admin/img_prod/AP9/AP9-1-720x540.png,21
4,ARC9,Arcon,Palacio,Arcón tapa piramidal tapizado damasco y oro,83x32x60 (cm),admin/img_prod/ARC9/ARC009-1-720x540.png,21
5,AR9,Armario,Dormitorio,"Armario roble 2 puertas,una con espejo y cajones",130x54x227 (cm),admin/img_prod/AR9/AR9-720x540.png,21
6,ARM9,Armero,Gótico,Porta-lanzas gótico recortado,94x24x116 (cm),admin/img_prod/ARM9/ARM9-1-720x540.png,21
7,ATD9,Ataud,,Ataúd de niño ambientado,98x42x32 (cm),admin/img_prod/ATD9/ATD9-1-720x540.png,21
8,ATR9,Atril,Religioso,Atril-facistol nogal cerrado,66x40x110 (cm),admin/img_prod/ATR9/ATR9-1-720x540.png,21
9,BAC9,Banco,,Banco tapizado patas torneadas,115x38x40 (cm),admin/img_prod/BAC9/BAC9-2-720x540.png,21
10,BAN9,Banqueta,,Banqueta tapas rectas asiento tapizado,80x40x45 (cm),admin/img_prod/BAN9/BAN9-1-720x540.png,21
11,M9,Mesa,Forja  Jardín,Mesa de jardín forja blanca tapa fibra,80x80x73 (cm),admin/img_prod/M9/M9-1-720x540.png,21
12,BA9,Baño,Bañera,Bañera de empotrar blanca,120x70x41 (cm),admin/img_prod/BA9/BA9-720x540.png,21
13,BAR9,Bargueño,Español,Bargueño nogal tapa marquetería con mesa,73x35x130 (cm),admin/img_prod/BAR9/BAR9-1-720x540.png,21
14,BRL9,Barril,Bidón,Bidón de chapa pintado gris,60x60x150 (cm),admin/img_prod/BRL9/BRL9-720x540.png,21
15,BAS9,Bascula,Tienda,Balanza de mesa nogal con 2 platillos metal,48x20x20 (cm),admin/img_prod/BAS9/BAS9-720x540.png,21
16,BAU9,Baul,Almacenaje  Viaje,Baúl madera y chapa con patas,80x44x60 (cm),admin/img_prod/BAU9/BAU9-1-720x540.png,21
17,BEB9,Bebé,Descatalogado,,0x0x0 (cm),admin/img_prod/BEB9/LOGOTIPO VAZQUEZ- 720x540.png,21
18,PER9,Perchero,Italiano  Recibidor,Perchero de pared italiano formica con cuadro y espejo,88x10x185 (cm),admin/img_prod/PER9/PER9-720x540.png,21
19,ESC9,Escaleras,,Escalera rústica de 1 subida de madera,39x6x260 (cm),admin/img_prod/ESC9/ESC9-720x540.png,21
20,BIO9,Biombo,Dormitorio  Forja  Jardín,Biombo 3 hojas de forja pintado dorado,165x4x170 (cm),admin/img_prod/BIO9/BIO9-720x540.png,21
21,BRA9,Brasero,Calefaccion,Brasero bajo pletina hierro con patas,35x35x40 (cm),admin/img_prod/BRA9/BRA9-1-720x540.png,21
22,CAB9,Caballete,Pintor,Caballete de pintor negro 3 pies,52x52x156 (cm),admin/img_prod/CAB9/CAB9-720x540.png,21
23,CAR9,Caja registradora,Tienda,Caja registradora NCR sin cajón,37x42x20 (cm),admin/img_prod/CAR9/CAR9-720x540.png,21
24,CAJ9,Caja,Almacenaje  Cajas,Cajón de embalaje de madera asas cuerda,95x44x59 (cm),admin/img_prod/CAJ9/CAJ9-720x520.png,21
25,CA9,Cama,Años setenta  Cabecero  Dormitorio,Cabecero tapizado capitoné crema con mesillas,252x15x94 (cm),admin/img_prod/CA9/CA9-720x540.png,21
26,REC9,Reclinatorio,Enea  Iglesia  Religioso,Reclinatorio madera y enea con cojín terciopelo verde,49x44x89 (cm),admin/img_prod/REC9/REC9-1-720x540.png,21
27,CARR9,Carretilla,Profesiones,Carro de torero con cuernos,100x55x104 (cm),admin/img_prod/CARR9/CARR009 copia.jpg,21
28,CSE9,Carro de servicio,Cocina  Comedor  Salón,Carro de servicio metal y formica con asas y ruedas grandes,62x40x70 (cm),admin/img_prod/CSE9/CSE9-1-720x540.png,21
29,CH9,Chaiselongue,Descatalogado,Descatalogado,1x1x1 (cm),admin/img_prod/CH9/LOGOTIPO VAZQUEZ- 720x540.png,21
30,CO9,Cocinas,Electrodomestico  Cocina,Cocina de gas de mesa 3 fuegos con horno,53x50x45 (cm),admin/img_prod/CO9/CO9-720x540.png,21
31,COM9,Comoda,Dormitorio,Cómoda nogal 4 cajones con marquetería en un cajón y tapa mármol,121x61x104 (cm),admin/img_prod/COM9/COM9-1-720x540.png,21
32,CON9,Consola,Inglesa  Recibidor,Consola inglesa medio punto nogal,88x44x75 (cm),admin/img_prod/CON9/CON9-1-720x540.png,21
33,COS9,,Costurero,Costurero isabelino en claro con espejo interior,53x36x67 (cm),admin/img_prod/COS9/COS09.bmp,21
34,CU9,Cuadro,Retratos,Cuadro marco liso marrón fotografía Sísifo (Autor Tiziano),183x10x205 (cm),admin/img_prod/CU9/CU9-720x540.png,21
35,ANU9,Carteles y anuncios,Tienda,Cartel antiguo chapa anuncio americano,15x1x15 (cm),admin/img_prod/ANU9/ANU9-720x540.png,21
36,ESP9,Espejo,Dormitorio  Salón,Espejo marco terciopelo rojo aplicaciones metal,100x5x165 (cm),admin/img_prod/ESP9/ESP9-720x540.png,21
37,ES9,Estanteria,Rústico,Estanteria rustica acuñada,82x22x167 (cm),admin/img_prod/ES9/ES9-1-720x540.png,21
38,EST9,Estufa,Calefaccion,Estufa chubesqui hierro 3 patas,22x22x50 (cm),admin/img_prod/EST9/EST9-720x540.png,21
