,name,category,section,description,dimensions,image,page
0,ASP9,Aspiradoras,Electrodomestico,Aspiradora azul oscuro recta,1x1x1 (cm),admin/img_prod/ASP9/ASP9-720x540.png,22
1,AZP9,Azulejos y platos de pared,Decoración,Platos de colgar de pared diferentes,1x1x1 (cm),admin/img_prod/AZP9/AZP9-720x540.png,22
2,BAD9,Bandejas,,Bandeja grande antigua borde metal calado con asas,1x1x1 (cm),admin/img_prod/BAD9/BAD9-720x540.png,22
3,BYC9,Atrezzo de bar y cafetería,Bar y cafetería,Botellas cristal caramelo,1x1x1 (cm),admin/img_prod/BYC9/BYC9(BAR9-720x540).png,22
4,COL9,Atrezzo colegio,Colegio,Cartera colegio amarilla,1x1x1 (cm),admin/img_prod/COL9/COL9-720x540.png,22
5,DES9,Atrezzo despacho,Despacho  Escribanías y tinteros,Escribanía metal gótica 4 piezas,1x1x1 (cm),admin/img_prod/DES9/DES9-720x540.png,22
6,CST9,Moda y costura,Costurero,Costurero de madera plegable de mano,1x1x1 (cm),admin/img_prod/CST9/CST9-720x540.png,22
7,CEM9,Cementerio,Cruces,Cruz de cementerio figurada mármol,42x21x125 (cm),admin/img_prod/CEM9/CEM9-1-720x540.png,22
8,CHI9,Chimenea,,Par de morillos de hierro forja,1x1x88 (cm),admin/img_prod/CHI9/CHI9-720x540.png,22
9,CRI9,Cristalería,,Copas cristal de champan altas,1x1x1 (cm),admin/img_prod/CRI9/CRI9-720x540.png,22
10,MC9,Macetero,Columna  Jardín,Columna escayola cuadrada pintada,20x20x100 (cm),admin/img_prod/MC9/MC9-1-720x540.png,22
11,ME9,Mesilla,Dormitorio,Mesilla blanca y oro 2 cajones,50x33x57 (cm),admin/img_prod/ME9/ME9-1-720x540.png,22
12,VET9,Ventilador,,Ventilador de mesa aspas marrones,1x1x1 (cm),admin/img_prod/VET9/VET9-720x540.png,22
13,REL9,Reloj,Salón,Reloj de pared madera 2 columnas esfera dorada cristal dibujo oro,1x1x1 (cm),admin/img_prod/REL9/REL9-720x540.png,22
14,TEL9,Telefonía,,Teléfono de pared madera antiguo figurado,0x0x0 (cm),admin/img_prod/TEL9/TLF9-720x540.png,22
15,MYN9,Maletas y neceseres de viaje,Viaje,Maleta antigua cuero claro bordes cuero y cierres metal,45x35x25 (cm),admin/img_prod/MYN9/MYN9-720x540.png,22
16,MYC9,Maletines y carteras,,Carteras de cuero,0x0x0 (cm),admin/img_prod/MYC9/MYC9-720x540.png,22
17,LYR9,Libros y revistas,,Libros antiguos encuadernación rústica,0x0x0 (cm),admin/img_prod/LYR9/LYR9-720x540.png,22
18,TOC9,Objetos de tocador,Tocador,Juego de tocador de plástico (5 piezas),0x0x0 (cm),admin/img_prod/TOC9/TOC9-720x540.png,22
19,VAJ9,Vajilla,Cocina,Platos loza borde greca,0x0x0 (cm),admin/img_prod/VAJ9/VAJ9-720x540.png,22
20,JUG9,Juguetes,Juguete,Juego antiguo Exin Astro con su caja,0x0x0 (cm),admin/img_prod/JUG9/JUG9-720x540.png,22
21,JAR9,Jarrones y jarras,Adorno  Decoración  Salón,Jarra baja barro vidriado forma azul y verde,0x0x0 (cm),admin/img_prod/JAR9/JAR9-720x540.png,22
22,CF9,Caja fuerte,,Caja fuerte crema con rueda,37x25x42 (cm),admin/img_prod/CF9/CF9-1-720x540.png,22
23,TYV9,Televisores y vídeos,Televisor,"Televisión LCD plano Saivod 26""",80x24x47 (cm),admin/img_prod/TYV9/TYV9 720x540.png,22
24,MYS9,Tocadiscos y altavoces,Altavoces  Electrónica  Musica  Sonido,Altavoces altos caja madera negra,0x0x0 (cm),admin/img_prod/MYS9/MYS9-720x540.png,22
25,TP9,Tapices y estandartes,Palacio,Repostero pintado Águila franquista,140x0x140 (cm),admin/img_prod/TP9/TP9 (ESD002-720X540).png,22
26,ML9,Librería,Despacho  Jacobino,Libería despacho jacobina puerta central cristal,210x54x200 (cm),admin/img_prod/ML9/ML9-720x540.png,22
27,MED9,Atrezzo medicina,Hospital  Medicina,Aparato audífono con su caja,0x0x0 (cm),admin/img_prod/MED9/MED9-720x540.png,22
28,HOS9,Hospitales,Medicina  Hospital,Cama de hospital tubo blanco somier articulado,0x0x0 (cm),admin/img_prod/HOS9/HOS9 720x540.png,22
29,VAA9,Atrezzo vario,,Juego de ganzúas con aro,0x0x0 (cm),admin/img_prod/VAA9/VAA9-720x540.png,22
30,GRA9,Gramófonos y gramolas,Musica,Gramófono caja nogal marquetería con bocina,0x0x0 (cm),admin/img_prod/GRA9/GRA9-720x540.png,22
31,ARA9,Atrezzo Árabe,Arabe,Farol árabe metal calado,23x23x45 (cm),admin/img_prod/ARA9/ARA9-1-720x540.png,22
