,name,category,section,description,dimensions,image,page
0,ATR6,Atril,,Atril de madera pintado marrón 3 pies,40x40x105 (cm),admin/img_prod/ATR6/ATR6-3-720x540.png,14
1,BAC6,Banco,,Banco de tabla tapizado terciopelo rojo,170x40x80 (cm),admin/img_prod/BAC6/BAC6-720x540.png,14
2,BAN6,Banqueta,Imperio,Banqueta imperio caoba aplicaciones metal,100x42x45 (cm),admin/img_prod/BAN6/BAN6-1-720x540.png,14
3,M6,Mesa,Centro  Jardín,Mesa de jardín forja blanca tapa cristal,120x70x70 (cm),admin/img_prod/M6/M6-1-720x540.png,14
4,BA6,Baño,Bañera,Bañera ovalada de madera,105x72x62 (cm),admin/img_prod/BA6/BA6-1-720x540.png,14
5,BAR6,Bargueño,Gótico,Bargueño arqueta gótico figurado con pie,70x35x110 (cm),admin/img_prod/BAR6/BAR6-1-720x540.png,14
6,BRL6,Barril,Rústico,Barril madera pequeño pintado rojo,27x27x39 (cm),admin/img_prod/BRL6/BRL6-1-720x540.png,14
7,BAS6,Bascula,Mercado  Tienda,Báscula de tienda de mostrador doble Berkel,63x28x72 (cm),admin/img_prod/BAS6/BAS6-1-720x540.png,14
8,BAU6,Baul,Almacenaje  Viaje,Baúl madera marrón con cinchas cuero,56x34x30 (cm),admin/img_prod/BAU6/BAU6-1-720x540.png,14
9,BEB6,Bebé,Descatalogado,,0x0x0 (cm),admin/img_prod/BEB6/LOGOTIPO VAZQUEZ- 720x540.png,14
10,PER6,Perchero,Recibidor,Perchero de pared claro con espejo,90x15x187 (cm),admin/img_prod/PER6/PER6-720x540.png,14
11,ESC6,Escaleras,Almacenaje  Tienda,Escalera de madera de 2 subidas,51x136x166 (cm),admin/img_prod/ESC6/ESC6-720x540.png,14
12,BIO6,Biombo,Dormitorio,Biombo 4 hojas balaustres hojas pintadas,176x5x170 (cm),admin/img_prod/BIO6/BIO6-1-720x540.png,14
13,BRA6,Brasero,Calefaccion  Medieval,Brasero alto de pie con peana,20x20x212 (cm),admin/img_prod/BRA6/BRA6-720x540.png,14
14,CAB6,Caballete,Pintor,Caballete de pintor de pino claro 3 pies,88x88x170 (cm),admin/img_prod/CAB6/CAB6-720x540.png,14
