,name,category,section,description,dimensions,image,page
0,CON20,Consola,Recibidor,Consola rectangular pies hierro tapa cristal,150x31x70 (cm),admin/img_prod/CON20/CON20-1-720x540.png,44
1,CU20,Cuadro,Descatalogado,Descatalogado,0x0x0 (cm),admin/img_prod/CU20/LOGOTIPO VAZQUEZ- 720x540.png,44
2,ANU20,Carteles y anuncios,Calle,Cartel calle  antiguo,15x5x10 (cm),admin/img_prod/ANU20/ANU20-720x540.png,44
3,ESP20,Espejo,Dormitorio,Espejo marco nogal,80x15x137 (cm),admin/img_prod/ESP20/ESP20-720x540.png,44
4,ES20,Estanteria,Rústico,Estante de pared recto 3 baldas,68x20x55 (cm),admin/img_prod/ES20/ES20-1-720x540.png,44
5,EST20,Estufa,Calefaccion,Radiador eléctrico crema con ruedas,60x17x69 (cm),admin/img_prod/EST20/EST20-1-720x540.png,44
6,ESTAT20,Estatua,Religioso,Estatua imagen Santa Barbara de escayola,55x40x130 (cm),admin/img_prod/ESTAT20/ESTAT20-1-720x540.png,44
7,F20,Fichero,Despacho,Armario fichero metálico 2 puertas,93x47x200 (cm),admin/img_prod/F20/F20-1-720x540.png,44
8,MUS20,Instrumentos musicales,Musica,Laúd antiguo con incrustaciones,1x1x1 (cm),admin/img_prod/MUS20/MUS20 (INM7)-720x540.png,44
9,ADO20,Adornos,Salón,Adorno mesa de cobre,1x1x1 (cm),admin/img_prod/ADO20/ADO20-720x540.png,44
10,DPT20,Deporte,Bicicleta  Gimnasio,Bicicleta estática blanca y roja SV,90x50x110 (cm),admin/img_prod/DPT20/GIM21 720x540.png,44
11,LAM20,Lámpara,Lámpara de mesa  Oriental  Salón,Lámpara de mesa figura chino alabastro,0x0x0 (cm),admin/img_prod/LAM20/LAM20-720X540.png,44
12,FUM20,Artículos de fumador,Cenicero,Cenicero estaño y metal redondo,1x1x1 (cm),admin/img_prod/FUM20/FUM20-720X540.png,44
13,AZP20,Azulejos y platos de pared,Decoración,Azulejos de pared marco forja plástico diferentes,1x1x1 (cm),admin/img_prod/AZP20/AZP20-720x540.png,44
14,BAD20,Bandejas,Menaje,Bandeja madera con asas,1x1x1 (cm),admin/img_prod/BAD20/BAD20-720x540.png,44
15,BYC20,Atrezzo de bar y cafetería,Bar y cafetería,Copas de coñá cristal colores,1x1x1 (cm),admin/img_prod/BYC20/BYC20(BAR20-720x540).png,44
16,COL20,Atrezzo colegio,Colegio,Compás de colegio metálico,1x1x1 (cm),admin/img_prod/COL20/COL20-720x540.png,44
17,DES20,Atrezzo despacho,Despacho  Máquinas de escribir,Máquina de escribir eléctrica IBM,1x1x1 (cm),admin/img_prod/DES20/DES20-720x540.png,44
18,BEB20,Bebé,,Parque de niño plegable,74x95x75 (cm),admin/img_prod/BEB20/BEB20-720x540.png,44
19,CST20,Moda y costura,Avíos de costura,Reglas de madera de sastrería,1x1x1 (cm),admin/img_prod/CST20/CST20-720x540.png,44
20,CAR20,Caja registradora,Calculadoras  Despacho,Calculadora con manivela HISPANO OLIVETTI,1x1x1 (cm),admin/img_prod/CAR20/CAR20 (DES96)-720x540.png,44
21,CHI20,Chimenea,,Pantalla de chimenea metal leones.,60x15x100 (cm),admin/img_prod/CHI20/CHI20-720x540.png,44
22,CRI20,Cristalería,,Cristalería tallada (12 servicios) (modelo Melina),1x1x1 (cm),admin/img_prod/CRI20/CRI20-720x540.png,44
23,MC20,Macetero,Comedor  Salón,Macetero nogal cuadrado 4 patas,30x30x110 (cm),admin/img_prod/MC20/MC20-1-720x540.png,44
24,ME20,Mesilla,Dormitorio,Mesilla caoba cerrada,47x36x84 (cm),admin/img_prod/ME20/ME20-1-720x540.png,44
25,VET20,Ventilador,Americano,Ventilador de techo americano,1x1x1 (cm),admin/img_prod/VET20/VET20-720x540.png,44
26,REL20,Reloj,Salón,Reloj de pared nogal con péndulo,1x1x1 (cm),admin/img_prod/REL20/REL20-720x540.png,44
27,TEL20,Telefonía,,Teléfono de mesa Góndola,0x0x0 (cm),admin/img_prod/TEL20/TLF20-720x540.png,44
28,MYN20,Maletas y neceseres de viaje,Viaje,Maleta fibra crema cantoneras marrones,75x45x25 (cm),admin/img_prod/MYN20/MYN20-720x540.png,44
29,MYC20,Maletines y carteras,,Maletines carteras skay antiguos,0x0x0 (cm),admin/img_prod/MYC20/MYC20-720x540.png,44
