,name,category,section,description,dimensions,image,page
0,ALA14,Alacena,Cocina  Español,Alacena cuarterones tallados,121x61x186 (cm),admin/img_prod/ALA14/ALA14-2-720x540.png,32
1,ALF14,Alfombra,Comedor  Salón,Alfombra flores colores,200x140x1 (cm),admin/img_prod/ALF14/ALF14-720x540.png,32
2,AFC14,Alfombra de cama,Dormitorio,Alfombrín de cama moqueta verde,98x50x1 (cm),admin/img_prod/AFC14/AFC14-720x540.png,32
3,AP14,Aparador,Comedor  Estilo mil novecientos,Aparador caoba 1900 2 cuerpos con tapa mármol,115x55x220 (cm),admin/img_prod/AP14/AP14-720x540.png,32
4,ARC14,Arcon,Rústico,Arcón liso pino con patas,115x62x74 (cm),admin/img_prod/ARC14/ARC14-1-720x540.png,32
5,AR14,Armario,Dormitorio,Armario nogal 1 puerta,67x57x176 (cm),admin/img_prod/AR14/AR14-1-720x540.png,32
6,ATR14,Atril,Iglesia  Religioso,Atril de mesa o de altar de madera pintado oro,1x1x1 (cm),admin/img_prod/ATR14/ATR14-720x540.png,32
7,BAC14,Banco,Rústico,Banco arca rústico madera,130x55x100 (cm),admin/img_prod/BAC14/BAC14-1-720x540.png,32
8,BAN14,Banqueta,,Banqueta tapizado marrón con fleco,58x43x35 (cm),admin/img_prod/BAN14/BAN14-1-720x540.png,32
9,M14,Mesa,Auxiliar  Español,Mesa estilo español patas salomónicas,84x53x69 (cm),admin/img_prod/M14/M14-1-720X540.png,32
10,BA14,Baño,Lavabo,Lavabo antiguo 2 grifos con pie,64x48x88 (cm),admin/img_prod/BA14/BA14-1-720x540.png,32
11,BAU14,Baul,Descatalogado,Descatalogado,0x0x0 (cm),admin/img_prod/BAU14/LOGOTIPO VAZQUEZ- 720x540.png,32
12,REC14,Reclinatorio,Enea  Iglesia  Religioso,Reclinatorio oscuro palos torneado y enea,44x38x88 (cm),admin/img_prod/REC14/REC14-1-720x540.png,32
13,BEB14,Bebé,Descatalogado,,0x0x0 (cm),admin/img_prod/BEB14/LOGOTIPO VAZQUEZ- 720x540.png,32
14,ESC14,Escaleras,Tienda,Escalera de 2 subidas de madera baja,58x40x82 (cm),admin/img_prod/ESC14/ESC14-1-720x540.png,32
15,BIO14,Biombo,Dormitorio,Biombo 3 hojas tapizado skay marrón,150x5x160 (cm),admin/img_prod/BIO14/BIO14-1-720x540.png,32
16,CAB14,Caballete,Pintor,Caballete de estudio plegable pintado,1x1x1 (cm),admin/img_prod/CAB14/CAB14-1-720x540.png,32
17,CAR14,Caja registradora,Calculadoras  Tienda,Calculadora con manivela y con cajón,32x42x25 (cm),admin/img_prod/CAR14/CAR14-720x540.png,32
18,CA14,Cama,Dormitorio,Cabecero para cama de 120 tapizado azul.,150x6x85 (cm),admin/img_prod/CA14/CA14-720x540.png,32
19,CSE14,Carro de servicio,Bar y cafetería,Carro de servicio lacado negro con asa,78x52x80 (cm),admin/img_prod/CSE14/CSE14-1-720x540.png,32
20,CO14,Cocinas,Varios cocina,Cocina  de carbón de hierro negra,93x64x82 (cm),admin/img_prod/CO14/CO14-1-720x540.png,32
21,COM14,Comoda,Dormitorio  Tocador,Tocador claro 5 cajones con chambrana,84x40x78 (cm),admin/img_prod/COM14/COM14-1-720x540.png,32
22,CON14,Consola,Inglesa  Recibidor,Consola inglesa tapa pintada marrón,193x60x80 (cm),admin/img_prod/CON14/CON14-1-720x540.png,32
23,CU14,Cuadro,Religioso,Cuadro sin marco fotografía juicio final (Tiziano),250x5x340 (cm),admin/img_prod/CU14/CU14-720x540.png,32
24,ANU14,Carteles y anuncios,Tienda,Cartel  antiguo chapa conservas Miau,5x1x15 (cm),admin/img_prod/ANU14/ANU14-720x540.png,32
25,ESP14,Espejo,Bar y cafetería,Espejo marco madera pintura mujer,97x15x158 (cm),admin/img_prod/ESP14/ESP14-720x540.png,32
26,ES14,Estanteria,Cocina  Rústico,Estante rústico tallado 3 baldas,70x14x51 (cm),admin/img_prod/ES14/ES14-720x540.png,32
27,EST14,Estufa,Calefaccion,Estufa de butano antigua negra,32x47x68 (cm),admin/img_prod/EST14/EST14-720x540.png,32
28,ESTAT14,Estatua,Religioso,Estatua Virgen con Niño de escayola,28x21x67 (cm),admin/img_prod/ESTAT14/ESTAT14-1-720x540.png,32
29,GN14,Galan de noche,Dormitorio,Galán de noche tubo niquelado,51x40x112 (cm),admin/img_prod/GN14/GN14-1-720x540.png,32
30,F14,Fichero,Americano  Despacho,Fichero de madera oscuro de persiana,50x40x127 (cm),admin/img_prod/F14/F14-1-720x540.png,32
31,MUS14,Instrumentos musicales,Musica,Funda de guitarra negra rígida,1x1x1 (cm),admin/img_prod/MUS14/MUS14-1 (INM)1-720x540.png,32
32,ADO14,Adornos,Salón,Adorno pared madera con figura pez,1x1x1 (cm),admin/img_prod/ADO14/ADO14-720x540.png,32
