,name,category,section,description,dimensions,image,page
0,GN1,Galan de noche,Dormitorio,Galán de noche nogal,40x40x137 (cm),admin/img_prod/GN1/GN1-1-720X540.png,2
1,AGU1,Aguamaniles,Dormitorio,Aguamanil loza crema dibujo rosa,1x1x1 (cm),admin/img_prod/AGU1/AGU1-720x450.png,2
2,ADP1,Animales disecados en panoplia,,Cabeza de ciervo disecada auténtica,1x1x1 (cm),admin/img_prod/ADP1/ADP1-1-720x540.png,2
3,F1,Fichero,Despacho,Fichero madera 4 cajones,53x65x133 (cm),admin/img_prod/F1/F1-1-720x540.png,2
4,MUS1,Instrumentos musicales,Piano,Órgano eléctrico antiguo madera embero,95x40x87 (cm),admin/img_prod/MUS1/MUS1-1-720x540.png,2
5,DPT1,Deporte,Gimnasio,Aparato saltador de hierro con muelle,70x15x100 (cm),admin/img_prod/DPT1/GIM1 720x540.png,2
6,LAM1,Lámpara,Lámpara de mesa  Salón,Lámpara de mesa antigua chapa flor,0x0x0 (cm),admin/img_prod/LAM1/LAM1-720X540.png,2
7,FUM1,Artículos de fumador,Cajas,Cajas de puros diferentes,1x1x1 (cm),admin/img_prod/FUM1/FUM1-720x540.png,2
8,AZP1,Azulejos y platos de pared,Decoración,Azulejo de pared escena costumbrista marco forja hierro,1x1x1 (cm),admin/img_prod/AZP1/AZP1-720x540.png,2
9,BAD1,Bandejas,,Bandeja metal grabada,1x1x1 (cm),admin/img_prod/BAD1/BAD1-720x540.png,2
10,BYC1,Atrezzo de bar y cafetería,Bar y cafetería,Jarras de cerveza de loza decorada,1x1x1 (cm),admin/img_prod/BYC1/BYC1-720x540.png,2
11,COL1,Atrezzo colegio,Colegio,Estuches y plumieres antiguos,1x1x1 (cm),admin/img_prod/COL1/COL1-720x540.png,2
12,DES1,Atrezzo despacho,Despacho  Escribanías y tinteros,Escribanía de viaje nogal 2 tinteros,1x1x1 (cm),admin/img_prod/DES1/DES1(1)-720x540.png,2
13,ALA1,Alacena,Descatalogado,Descatalogado,1x1x1 (cm),admin/img_prod/ALA1/LOGOTIPO VAZQUEZ- 720x540.png,2
14,CST1,Moda y costura,Avíos de costura,Acerillo de costura,1x1x1 (cm),admin/img_prod/CST1/CST1-720x540.png,2
15,VI1,Vitrina,Comedor  Salón,Vitrina rinconera nogal con mesa,71x71x165 (cm),admin/img_prod/VI1/VI1-1-720x540.png,2
16,CEM1,Cementerio,Cruces,Cruz de cementerio de hierro forjado,53x15x100 (cm),admin/img_prod/CEM1/CEM1-720X540.png,2
17,CHI1,Chimenea,,Avíos chimenea hierro.,1x1x1 (cm),admin/img_prod/CHI1/CHI1-720x540.png,2
18,CRI1,Cristalería,Bomboneras,Bombonera de cristal con asa,1x1x1 (cm),admin/img_prod/CRI1/CRI1-720x540.png,2
19,MC1,Macetero,Comedor  Gótico  Salón,Macetero gótico calado redondeles,40x40x97 (cm),admin/img_prod/MC1/MC1-1-720x540.png,2
20,ME1,Mesilla,Dormitorio  Frances,Mesilla francesa con copete y tapa mármol,40x36x120 (cm),admin/img_prod/ME1/ME1-1-720x540.png,2
21,VET1,Ventilador,,Ventilador de mesa pequeño antiguo aspas azules,1x1x1 (cm),admin/img_prod/VET1/VET1-720x540.png,2
22,REL1,Reloj,Inglesa  Salón,Reloj de pie inglés caoba,40x20x206 (cm),admin/img_prod/REL1/REL1-1-720x540.png,2
23,TEL1,Telefonía,,Centralita antigua caja nogal,0x0x0 (cm),admin/img_prod/TEL1/TEL1-2-720x540.png,2
24,MYN1,Maletas y neceseres de viaje,Viaje,Maletas skay marrón correas,55x40x25 (cm),admin/img_prod/MYN1/MYN1-720x540.png,2
25,MYC1,Maletines y carteras,,Cartera skay amarillo,0x0x0 (cm),admin/img_prod/MYC1/MYC1-720x540.png,2
26,LYR1,Libros y revistas,,Misales,0x0x0 (cm),admin/img_prod/LYR1/LYR1-720x540.png,2
27,URN1,Urnas,,Urna antigua,0x0x0 (cm),admin/img_prod/URN1/URN1-720x540.png,2
28,TOC1,Objetos de tocador,Tocador,Botes de tocador plástico azul,0x0x0 (cm),admin/img_prod/TOC1/TOC1-720x540.png,2
29,VAJ1,Vajilla,Comedor,Vajilla loza Cartuja negra (12 servicios),0x0x0 (cm),admin/img_prod/VAJ1/VAJ1-720x540.png,2
30,JUG1,Juguetes,Juguete,Juego Basquet-Car con su caja,0x0x0 (cm),admin/img_prod/JUG1/JUG1-720x540.png,2
31,JAR1,Jarrones y jarras,Adorno  Decoración  Salón,Jarra cobrizada baja asa metal,0x0x0 (cm),admin/img_prod/JAR1/JAR1-720x540.png,2
32,LOG1,Logicine,Hospital,Mesilla hospital chapa blanca,50x44x87 (cm),admin/img_prod/LOG1/LOG1-1-720x540.png,2
33,TYV1,Televisores y vídeos,Televisor,Televisión portátil roja Grundig (color),47x40x35 (cm),admin/img_prod/TYV1/TYV1-1-720x540.png,2
34,MYS1,Tocadiscos y altavoces,Altavoces  Electrónica  Musica  Sonido,Altavoces caja madera frontal negro,0x0x0 (cm),admin/img_prod/MYS1/MYS1-720x540.png,2
35,SOM1,Sombrereras,Viaje,Sombrereras actuales,0x0x0 (cm),admin/img_prod/SOM1/SOM1-720x540.png,2
36,TP1,Tapices y estandartes,Iglesia  Medieval,Tapiz pintado religioso Pantocrator,180x0x275 (cm),admin/img_prod/TP1/TP1-720x540.png,2
37,ML1,Librería,Despacho  Inglesa,Librería despacho ingles caoba puertas cristal,105x69x175 (cm),admin/img_prod/ML1/ML1-1-720x540.png,2
38,JUZ1,Juzgado,Juzgados,Estrado de juzgado madera tallado de 3 metros,300x73x87 (cm),admin/img_prod/JUZ1/JUZ1-720x540-removebg-preview.png,2
39,MED1,Atrezzo medicina,Hospital  Medicina,Juego de jeringuillas antiguo,0x0x0 (cm),admin/img_prod/MED1/MED1-720x540.png,2
40,HOS1,Hospitales,Hospital  Medicina,Banqueta de hospital giratoria asiento skay,32x32x50 (cm),admin/img_prod/HOS1/HOS1-720x540.png,2
41,VAA1,Atrezzo vario,Adorno  Varios cocina,Alambique de cobre,0x0x0 (cm),admin/img_prod/VAA1/VAA1-720x540.png,2
42,GRA1,Gramófonos y gramolas,Musica,Gramófono repujado con bocina,0x0x0 (cm),admin/img_prod/GRA1/GRA1-720x540.png,2
43,ARA1,Atrezzo Árabe,Arabe,Mesa árabe ochavada tapa marquetería,108x60x77 (cm),admin/img_prod/ARA1/ARA1-1-720x540.png,2
44,SI1,Sillón,Isabelino  Salón  Sillería,Sillón isabelino caoba tapizado tela rayas,65x60x115 (cm),admin/img_prod/SI1/SI1-1-720x540.png,2
45,RAD1,Radios,Descatalogado,Descatalogado,0x0x0 (cm),admin/img_prod/RAD1/LOGOTIPO VAZQUEZ- 720x540.png,2
46,JAM1,Jamuga,Navidad,Jamuga dorada cabezas y garras tapizada terciopelo rojo,110x60x145 (cm),admin/img_prod/JAM1/JAM1-1-720x540.png,2
47,MV1,Muebles varios,Chifonier  Frances,Chifonier francés caoba y bronce,55x35x146 (cm),admin/img_prod/MV1/MV1-1-720x540.png,2
