,name,category,section,description,dimensions,image,page
0,BAU2,Baul,Viaje  Americano,Baúl americano rojo inglés,104x56x35 (cm),admin/img_prod/BAU2/BAU2-1-720x540.png,4
1,BEB2,Bebé,Cochecito,Cochecito de bebé medio cuco con capota azul,1x1x1 (cm),admin/img_prod/BEB2/BEB2-1-720x540.png,4
2,PER2,Perchero,Recibidor,Perchero de pared de roble con barras de metal,120x15x198 (cm),admin/img_prod/PER2/PER2-1-720x540.png,4
3,ESC2,Escaleras,Tienda,Escalera de tijera de madera,43x80x139 (cm),admin/img_prod/ESC2/ESC2-720x540.png,4
4,BIO2,Biombo,Dormitorio  Imperio,Biombo imperio 3 hojas ovalo tela seda flores,150x40x195 (cm),admin/img_prod/BIO2/BIO2-720x540.png,4
5,BIS2,Bis a bis,Salón,Bis a bis torneado oro,82x43x80 (cm),admin/img_prod/BIS2/BIS2-1-720x540.png,4
6,BRA2,Brasero,Calefaccion  Medieval,Brasero pletina hierro de suelo,75x40x70 (cm),admin/img_prod/BRA2/BRA2-1-720x540.png,4
7,BUT2,Butaca de cine,Cine  Teatro,Fila de 4 asientos de butacas de cine pana roja,200x60x80 (cm),admin/img_prod/BUT2/BUT2-1-720x540.png,4
8,CAB2,Caballete,Pintor,Caballete de estudio madera oscuro,70x70x176 (cm),admin/img_prod/CAB2/CAB2-1-720x540.png,4
9,CAR2,Caja registradora,Tienda,Caja registradora marrón NATIONAL,56x41x52 (cm),admin/img_prod/CAR2/CAR2-1 720x540.png,4
10,CF2,Caja fuerte,,Caja fuerte antigua hierro,71x43x95 (cm),admin/img_prod/CF2/CF2-1-720x540.png,4
11,CAJ2,Caja,Descatalogado,Descatalogado,1x1x30 (cm),admin/img_prod/CAJ2/LOGOTIPO VAZQUEZ- 720x540.png,4
12,CA2,Cama,Cabecero  Dormitorio,Cabecero forma tapizado raso marón,110x6x130 (cm),admin/img_prod/CA2/CA2-720x540.png,4
13,REC2,Reclinatorio,Iglesia  Religioso,Reclinatorio nogal tallado tapizado terciopelo rojo con cruz,47x45x80 (cm),admin/img_prod/REC2/REC2-1-720x540.png,4
14,CARR2,Carretilla,Rústico,Carretilla de madera con cajón,170x70x75 (cm),admin/img_prod/CARR2/CARR2-1-720x540.png,4
15,CSE2,Carro de servicio,Cocina  Comedor  Salón,Carro de servicio de madera oscura con asa.,90x40x68 (cm),admin/img_prod/CSE2/CSE2-1-720X540.png,4
16,LOG2,Logicine,Jardín,Macetón fibra marrón,65x65x80 (cm),admin/img_prod/LOG2/LOG2 (HAY 2)-720x540.png,4
17,CTN2,Catenaria,,Catenaria tubo hierro negro cinta extensible.,30x30x98 (cm),admin/img_prod/CTN2/CT2-720x540.png,4
18,CH2,Chaiselongue,Descatalogado,Descatalogado,1x1x1 (cm),admin/img_prod/CH2/LOGOTIPO VAZQUEZ- 720x540.png,4
19,CO2,Cocinas,Electrodomestico  Cocina,Cocina de gas 3 fuegos con horno,54x50x83 (cm),admin/img_prod/CO2/CO2-720x540.png,4
20,COM2,Comoda,Dormitorio  Imperio,Cómoda imperio caoba y bronce 4 cajones,122x59x106 (cm),admin/img_prod/COM2/COM2-1-720x540.png,4
21,CON2,Consola,Frances  Recibidor,Consola Luis XV talla cartón tapa figurada,170x60x100 (cm),admin/img_prod/CON2/CON2-1-720x540.png,4
22,COS2,,Costurero,Costurero isabelino negro interior raso rojo,52x36x76 (cm),admin/img_prod/COS2/COS2-1-720x540.png,4
23,CU2,Cuadro,Retratos,Cuadro marco madera y filo oro ancho oleografía mujer,80x10x90 (cm),admin/img_prod/CU2/CU2-720x540.png,4
24,ANU2,Carteles y anuncios,Bar y cafetería,Cartel chapa cerveza antiguo,10x5x15 (cm),admin/img_prod/ANU2/ANU2-720x540.png,4
25,ESP2,Espejo,Dormitorio,Espejo vestidor caoba con copete,86x52x190 (cm),admin/img_prod/ESP2/ESP2-720x540.png,4
26,ES2,Estanteria,Dormitorio,Estantería de suelo de bambú,1x1x1 (cm),admin/img_prod/ES2/ES2-1-720x540.png,4
27,EST2,Estufa,Calefaccion,Estufa salamandra hierro marrón,60x40x90 (cm),admin/img_prod/EST2/EST2 720x540.png,4
28,ESTAT2,Estatua,Religioso,Estatua cartón Virgen con niño,60x40x140 (cm),admin/img_prod/ESTAT2/ESTAT2-720x540.png,4
29,GN2,Galan de noche,Dormitorio,Galan de noche pintado marrón,45x45x120 (cm),admin/img_prod/GN2/GN2-1-720x540.png,4
