,name,category,section,description,dimensions,image,page
0,SR9,Silla de ruedas,Hospital,Silla de ruedas plegable antigua tapizada marrón,1x1x1 (cm),admin/img_prod/SR9/SR9-720x540.png,23
1,PC9,Pizarra,Colegio  Despacho,Pizarra de corcho marco aluminio,150x5x100 (cm),admin/img_prod/PC9/PC9-720x540.png,23
2,CAM9,Cámara fotos y vídeo,Descatalogado,Descatalogado,0x0x0 (cm),admin/img_prod/CAM9/LOGOTIPO VAZQUEZ- 720x540.png,23
3,JUZ9,Juzgado,Juzgados,Barandilla juzgado nogal balaustres de 1´80 metros,180x7x100 (cm),admin/img_prod/JUZ9/JUZ9-720x540.png,23
4,QIN9,Quinqués,,Quinqué pequeño cristal blanco con asa,1x1x1 (cm),admin/img_prod/QIN9/QIN9-720x540.png,23
5,MOU9,Mobiliario urbano,Calle,Carcasa cajero automático gris,0x0x0 (cm),admin/img_prod/MOU9/MOU9-1-720x540.png,23
6,LOG9,Logicine,Despacho  Estudio,Silla giratoria de madera,47x45x90 (cm),admin/img_prod/LOG9/SIL442-1-720x540.png,23
7,CDM9,Centro de mesa,Adorno,Centro de mesa cobrizado con tapa,0x0x0 (cm),admin/img_prod/CDM9/CDM9-720x540.png,23
8,PAP9,Papelera,,Papelera de alambre,0x0x0 (cm),admin/img_prod/PAP9/PAP9-720x540.png,23
9,FIG9,Figuras,Adorno,Figura de escayola grande tortuga,0x0x0 (cm),admin/img_prod/FIG9/FIG9-720x540.png,23
10,PLA9,Playa,Hamaca  Jardín,Hamaca de madera con ruedas pintada blanca,0x0x0 (cm),admin/img_prod/PLA9/PLA9-1-720x540.png,23
11,REG9,Religión,Cruces  Religioso,Crucifijo de pared grande escayola,0x0x0 (cm),admin/img_prod/REG9/REG9-720x540.png,23
12,RU9,Rural,Oficios  Rústico,Piedra de afilar antigua,75x56x100 (cm),admin/img_prod/RU9/RU9-1-720x540.png,23
13,BUZ9,Buzones,Americano  Calle,Buzón americano de aluminio con pie,48x17x120 (cm),admin/img_prod/BUZ9/BUZ9-1-720x540.png,23
14,ALA10,Alacena,Cocina,Alacena de cocina de colgar puertas con celosía,65x41x58 (cm),admin/img_prod/ALA10/ALA10-720x540.png,23
