,name,category,section,description,dimensions,image,page
0,MC2,Macetero,Jardín,Macetero hierro blanco para tres tiestos,50x50x95 (cm),admin/img_prod/MC2/MC2-1-720x540.png,5
1,ME2,Mesilla,Dormitorio  Frances,Mesilla francesa con pinturas en el frente,0x0x0 (cm),admin/img_prod/ME2/ME2-1-720x540.png,5
2,VET2,Ventilador,,Ventilador de mesa pequeño crema antiguo,1x1x1 (cm),admin/img_prod/VET2/VET2-720x540.png,5
3,REL2,Reloj,Salón,Reloj de pìe forma guitarra figurado,58x25x225 (cm),admin/img_prod/REL2/REL2-1-720x540.png,5
4,TEL2,Telefonía,,Teléfono de pared antiguo caja madera,0x0x0 (cm),admin/img_prod/TEL2/TEL2-720x540.png,5
5,MYN2,Maletas y neceseres de viaje,Viaje,Maleta antigua crema cantoneras marrones,65x30x25 (cm),admin/img_prod/MYN2/MYN2-720x540.png,5
6,MYC2,Maletines y carteras,,Bolsas de costado de nylon,0x0x0 (cm),admin/img_prod/MYC2/MYC2-720x540.png,5
7,LYR2,Libros y revistas,,Misales antiguos,0x0x0 (cm),admin/img_prod/LYR2/LYR2-720x540.png,5
8,URN2,Urnas,,Urna antigua,0x0x0 (cm),admin/img_prod/URN2/URN2-720x540.png,5
9,TOC2,Objetos de tocador,Tocador,Cajas de tocador de loza colores,0x0x0 (cm),admin/img_prod/TOC2/TOC2-720x540.png,5
10,VAJ2,Vajilla,Comedor,Vajilla loza Flor de Lis (12 servicios),0x0x0 (cm),admin/img_prod/VAJ2/VAJ2-720x540.png,5
11,JUG2,Juguetes,Juguete,Juego antiguo Batalla Naval con su caja,0x0x0 (cm),admin/img_prod/JUG2/JUG2-720x540.png,5
12,JAR2,Jarrones y jarras,Adorno  Decoración  Salón,Jarra cincelada antigua,0x0x0 (cm),admin/img_prod/JAR2/JAR2-720x540.png,5
13,TYV2,Televisores y vídeos,Televisor,Televisión portátil crema sharp color (funcionando),45x33x31 (cm),admin/img_prod/TYV2/TYV2-1-720x540.png,5
14,MYS2,Tocadiscos y altavoces,Altavoces  Electrónica  Musica  Sonido,Altavoces caja madera frontal tela beige,27x19x48 (cm),admin/img_prod/MYS2/MYS2-720x540.png,5
15,SOM2,Sombrereras,Viaje,Sombrerera antiguas de cuero,0x0x0 (cm),admin/img_prod/SOM2/SOM2-720x540.png,5
16,TP2,Tapices y estandartes,Iglesia  Medieval,Tapiz pintado religioso Adán y Eva,205x0x230 (cm),admin/img_prod/TP2/TP2-720x540.png,5
17,ML2,Librería,Despacho  Inglesa,LIBRERÍA DESPACHO INGLESA CAOBA 4 PUERTAS,213x45x177 (cm),admin/img_prod/ML2/ML2-720x540.png,5
18,MED2,Atrezzo medicina,Hospital  Medicina,Instrumentos médicos quirúrgicos actuales,0x0x0 (cm),admin/img_prod/MED2/MED2-720x540.png,5
19,HOS2,Hospitales,Hospital  Medicina,Banqueta hospital cuadrada chapa blanca,25x25x42 (cm),admin/img_prod/HOS2/HOS2-1-720x540.png,5
20,VAA2,Atrezzo vario,Descatalogado,Descatalogado,0x0x0 (cm),admin/img_prod/VAA2/LOGOTIPO VAZQUEZ- 720x540.png,5
21,GRA2,Gramófonos y gramolas,Musica,Gramófono octogonal blanco con bocina blanca,0x0x0 (cm),admin/img_prod/GRA2/GRA2-720x540.png,5
22,ARA2,Atrezzo Árabe,Arabe,Mesa árabe rectangular pintada,100x50x72 (cm),admin/img_prod/ARA2/ARA2-1-720x540.png,5
23,SI2,Sillón,Isabelino  Salón  Sillería,Sillón isabelino limoncillo tapizado tela flores,65x55x95 (cm),admin/img_prod/SI2/SI2-1-720x540.png,5
24,RAD2,Radios,,Radio antigua caja madera 3 mandos dial cuadrado,1x1x1 (cm),admin/img_prod/RAD2/RAD2-720x540.png,5
25,JAM2,Jamuga,Navidad,Jamuga cabezas y garras dorada tapizada terciopelo rojo,110x60x145 (cm),admin/img_prod/JAM2/JAM2-1-720x540.png,5
26,MV2,Muebles varios,Chifonier,Chifonier caoba marquetería flores,70x33x143 (cm),admin/img_prod/MV2/MV2-1-720x540.png,5
27,JAU2,Jaula,,Jaula de barrotes de hierro con argollas techo,100x100x110 (cm),admin/img_prod/JAU2/JAU2-1-720x540.png,5
28,JUE2,Juego,Casino,Mesa de ruleta caoba patas torneadas,400x115x80 (cm),admin/img_prod/JUE2/JUE2-1-720x540.png,5
29,JU2,Juguetero,,Juguetero de roble con espejo,34x24x150 (cm),admin/img_prod/JU2/JU2-1-720x540.png,5
30,SIL2,Silla,Isabelino  Sillería,Silla isabelina limoncillo tapizada tela flores,45x42x90 (cm),admin/img_prod/SIL2/SIL2-1-720x540.png,5
31,LM2,Litera de mano,Edad media,Litera de transporte pintada,72x90x162 (cm),admin/img_prod/LM2/LM2-1-720X540.png,5
32,MEC2,Mecedora,Curvado,Mecedora curvada tapizada terciopelo labrado,55x88x100 (cm),admin/img_prod/MEC2/MEC2-720x540.png,5
