,name,category,section,description,dimensions,image,page
0,FIG21,Figuras,Adorno,Figura de escayola pintada forma pie,0x0x0 (cm),admin/img_prod/FIG21/FIG21-720x540.png,47
1,PLA21,Playa,Sombrillas,Sombrilla de madera tela azul,0x145x0 (cm),admin/img_prod/PLA21/PLA21-720x540.png,47
2,REG21,Religión,Cruces,Cruz de suelo de madera,0x0x0 (cm),admin/img_prod/REG21/REG21-720x540.png,47
3,RU21,Rural,Oficios,Azadones redondos mango largo,0x0x0 (cm),admin/img_prod/RU21/RU21-720x540.png,47
4,PEL21,Peluquería,Oficios,Carro de peluquería negro,51x36x91 (cm),admin/img_prod/PEL21/PEL21-1-720x540.png,47
5,ALA22,Alacena,Cocina,Alacena de madera pintada crema,118x40x165 (cm),admin/img_prod/ALA22/ALA22-720x540.png,47
6,ALF22,Alfombra,Arabe  Comedor  Salón,Alfombra persa verde,255x195x1 (cm),admin/img_prod/ALF22/ALF22-720x540.png,47
7,AFC22,Alfombra de cama,Arabe  Dormitorio,Alfombrín de cama persa ocre con fleco,140x70x1 (cm),admin/img_prod/AFC22/AFC22-720x540.png,47
8,AP22,Aparador,Cocina  Comedor,Aparador 2 cuerpos crema,118x45x210 (cm),admin/img_prod/AP22/AP22-1-720x540.png,47
9,ARC22,Arcon,Rústico,Arcón rústico con tachuelas,90x50x55 (cm),admin/img_prod/ARC22/ARC22-1-720x540.png,47
10,AR22,Armario,Dormitorio  Valenciano,Armario valenciano oscuro luna central y copete,105x50x180 (cm),admin/img_prod/AR22/AR22-1-720x540.png,47
11,ATR22,Atril,Descatalogado,,0x0x0 (cm),admin/img_prod/ATR22/LOGOTIPO VAZQUEZ- 720x540.png,47
12,BAC22,Banco,Jardín,Banco de jardín patas hierro listones,150x60x90 (cm),admin/img_prod/BAC22/BAC22-1-720x540.png,47
13,BAN22,Banqueta,Bambú,Banqueta bambú tapizado,45x45x43 (cm),admin/img_prod/BAN22/BAN22-1-720x540.png,47
14,BA22,Baño,Lavabo,Lavabo loza 1 grifo con pie hierro,52x47x80 (cm),admin/img_prod/BA22/BA22-1-720x540.png,47
15,BAU22,Baul,Viaje,Baúl tela cinchas madera,108x53x51 (cm),admin/img_prod/BAU22/BAU22-1-720x540.png,47
16,BIO22,Biombo,Dormitorio  Jardín,Biombo 4 hojas lamas blanco,148x4x214 (cm),admin/img_prod/BIO22/BIO22-720x540.png,47
17,CA22,Cama,Dormitorio,Cabecero de pino,126x15x96 (cm),admin/img_prod/CA22/CA22-720x540.png,47
18,CO22,Cocinas,Varios cocina,Bebedero de pared de hierro con grifo,55x35x25 (cm),admin/img_prod/CO22/CO22-1 720x540.png,47
19,COM22,Comoda,Comodín  Dormitorio,Comodín nogal patas forma 5 cajones,82x50x85 (cm),admin/img_prod/COM22/COM22-1-720x540.png,47
20,CON22,Consola,Cubista  Recibidor,Consola cubista de nogal,100x42x90 (cm),admin/img_prod/CON22/CON22-1-720X540.png,47
21,CU22,Cuadro,Retratos,Cuadro marco dorado talla cartón óleo tablero pintado por las dos caras,150x10x190 (cm),admin/img_prod/CU22/CU22-1-720x540.png,47
22,ANU22,Carteles y anuncios,Bar y cafetería,Cartel antiguo chapa cerveza Pastora,10x1x25 (cm),admin/img_prod/ANU22/ANU22-720x540.png,47
23,ESP22,Espejo,Dormitorio,Espejo marco caoba,51x15x150 (cm),admin/img_prod/ESP22/ESP22-720x540.png,47
24,ES22,Estanteria,Cocina  Rústico,Estante rústico recortado 2 baldas,75x26x75 (cm),admin/img_prod/ES22/ES22-720x540.png,47
25,EST22,Estufa,Calefaccion,Placa de calor eléctrica con patas,64x15x56 (cm),admin/img_prod/EST22/EST22-720x540.png,47
26,ESTAT22,Estatua,Religioso,Estatua imagen Santo de escayola,30x30x104 (cm),admin/img_prod/ESTAT22/ESTAT22-1-720x540.png,47
27,F22,Fichero,Despacho,Fichero metálico gris 4 cajones pintados,45x63x132 (cm),admin/img_prod/F22/F22-1-720x540.png,47
28,MUS22,Instrumentos musicales,Musica,Guitarra española figurada pequeña,1x1x1 (cm),admin/img_prod/MUS22/MUS22 (INM9)-720x540.png,47
29,ADO22,Adornos,Salón,Cuadro escayola torso hombre madera,1x1x1 (cm),admin/img_prod/ADO22/ADO22-720x540.png,47
30,DPT22,Deporte,Bicicleta  Gimnasio,Bicicleta estática gris,110x60x110 (cm),admin/img_prod/DPT22/DPT22-720x540.png,47
31,LAM22,Lámpara,Lámpara de mesa  Salón,Lámpara de mesa figuras loza,0x0x0 (cm),admin/img_prod/LAM22/LAM22-720X540.png,47
32,FUM22,Artículos de fumador,Cenicero,Juego cenicero y mechero alabastro marrón,1x1x1 (cm),admin/img_prod/FUM22/FUM22-720X540.png,47
33,M22,Mesa,Centro  Español,Mesa de centro estilo español patas lira,100x44x58 (cm),admin/img_prod/M22/M22-1-720x540.png,47
34,AZP22,Azulejos y platos de pared,Decoración  Talavera,Cenefas Talavera,1x1x1 (cm),admin/img_prod/AZP22/AZP22-720x540.png,47
35,BAD22,Bandejas,Menaje,Bandejas antiguas chapa decorada medianas,1x1x1 (cm),admin/img_prod/BAD22/BAD22-720x540.png,47
36,BYC22,Atrezzo de bar y cafetería,Bar y cafetería,Copa de coñá cristal liso,1x1x1 (cm),admin/img_prod/BYC22/BYC22(BAR22-720x540).png,47
37,COL22,Atrezzo colegio,Colegio,Cuaderno colegio antiguo caligrafía americana,1x1x1 (cm),admin/img_prod/COL22/COL22-720x540.png,47
38,DES22,Atrezzo despacho,Despacho  Máquinas de escribir,Máquina de escribir eléctrica teclas crema y verde,1x1x1 (cm),admin/img_prod/DES22/DES22-720x540.png,47
39,BEB22,Bebé,Cochecito,Silla de bebé gemelar 3 ruedas,80x130x110 (cm),admin/img_prod/BEB22/BEB22-1-720x540.png,47
40,CST22,Moda y costura,,Costurero nogal con bolsa y cajón,30x65x54 (cm),admin/img_prod/CST22/CST22 (COS1)-720x540.png,47
41,CAR22,Caja registradora,Calculadoras  Despacho,Calculadora gris con rodillo OLIVETTI,1x1x1 (cm),admin/img_prod/CAR22/CAR22 (DES99)-720x540.png,47
42,CRI22,Cristalería,Jarras,Jarras antiguas cristal tallado,1x1x1 (cm),admin/img_prod/CRI22/CRI22-720x540.png,47
43,MC22,Macetero,Comedor  Modernista  Salón,Macetero modernista pintado blanco,24x24x83 (cm),admin/img_prod/MC22/MC22-1-720x540.png,47
44,ME22,Mesilla,Dormitorio  Inglesa,Mesilla inglesa ovalada caoba con copete bronce,46x32x90 (cm),admin/img_prod/ME22/ME22-1-720x540.png,47
45,VET22,Ventilador,,Ventilador de techo crema y rosa 3 aspas,1x1x1 (cm),admin/img_prod/VET22/VET22-720x540.png,47
46,REL22,Reloj,Salón,Reloj de mesa bronce 4 columnas,1x1x1 (cm),admin/img_prod/REL22/REL22-720x540.png,47
47,TEL22,Telefonía,,Cajetín antiguo de fichas telefnicas,0x0x0 (cm),admin/img_prod/TEL22/TLF22-720x540.png,47
