,name,category,section,description,dimensions,image,page
0,TOC12,Objetos de tocador,Tocador,Perfumadores antiguos de cristal con pera,0x0x0 (cm),admin/img_prod/TOC12/TOC12-720x540.png,29
1,VAJ12,Vajilla,Cocina,Platos cristal Duralex caramelo,0x0x0 (cm),admin/img_prod/VAJ12/VAJ12-720x540.png,29
2,JUG12,Juguetes,Juguete,Juego antiguo La Cucaracha con su caja,0x0x0 (cm),admin/img_prod/JUG12/JUG12-720x540.png,29
3,JAR12,Jarrones y jarras,Adorno  Decoración  Salón,Jarra plateada alta,0x0x0 (cm),admin/img_prod/JAR12/JAR12-720x540.png,29
4,TYV12,Televisores y vídeos,Televisor,Televisión caja negra Saivod,0x0x0 (cm),admin/img_prod/TYV12/TYV12-720x540.png,29
5,MYS12,Tocadiscos y altavoces,Altavoces  Electrónica  Musica  Sonido,Altavoces pequeños caja madera frontal rejilla,0x0x0 (cm),admin/img_prod/MYS12/MYS12-720x540.png,29
6,TP12,Tapices y estandartes,Castillo  Medieval,Repostero fieltro verde escudo central con fleco,175x0x200 (cm),admin/img_prod/TP12/TP12-720x540.png,29
7,ML12,Librería,Americano  Despacho,Librería despacho americana con ficheros persiana,192x41x200 (cm),admin/img_prod/ML12/ML12-1-720x540.png,29
8,MED12,Atrezzo medicina,Hospital  Medicina,Recipiente esterilizador,0x0x0 (cm),admin/img_prod/MED12/MED12-720x540.png,29
9,HOS12,Hospitales,Hospital  Medicina,Cama hospital tubo blanco fino,0x0x0 (cm),admin/img_prod/HOS12/HOS12-720x540.png,29
10,VAA12,Atrezzo vario,,Linternas,0x0x0 (cm),admin/img_prod/VAA12/VAA12-720x540.png,29
11,GRA12,Gramófonos y gramolas,Musica,Gramola-tocadiscos antiguo de maleta,0x0x0 (cm),admin/img_prod/GRA12/GRA12-720x540.png,29
12,AST12,Atrezzo astronomia,Óptica,Catalejo cuero y metal,1x1x1 (cm),admin/img_prod/AST12/AST12-720x540.png,29
13,SI12,Sillón,Frances  Salón  Sillería,Sillón Luis XVI nogal tapizado tela flores,58x57x90 (cm),admin/img_prod/SI12/SI12-1-720x540.png,29
14,RAD12,Radios,,Radio antigua grande caja madera Telefunken,1x1x1 (cm),admin/img_prod/RAD12/RAD12-720x540.png,29
15,JAM12,Jamuga,Medieval,Jamuga fija tallada asiento y respaldo terciopelo,67x57x93 (cm),admin/img_prod/JAM12/JAM12-1-720x540.png,29
16,MV12,Muebles varios,Cubista  Secreteres,Mueble secreter cubista,50x37x136 (cm),admin/img_prod/MV12/MV12-720X540.png,29
17,JAU12,Jaula,,Jaula de alambre cuadrada grande,1x1x1 (cm),admin/img_prod/JAU12/JAU12-720x540.png,29
18,JUE12,Juego,Futbolín  Juguete,Futbolín rojo de juguete,93x52x75 (cm),admin/img_prod/JUE12/JUE12-720x540.png,29
19,SIL12,Silla,Comedor  Isabelino  Salón,Silla isabelina negra tapizada damasco oro (diferentes),50x45x98 (cm),admin/img_prod/SIL12/SIL12 (HAY 2) 720x540.png,29
20,MEC12,Mecedora,Curvado,Mecedora curvada de nogal y rejilla,49x110x90 (cm),admin/img_prod/MEC12/MEC12-1-720x540.png,29
21,MOS12,Mostrador,Mercado  Rústico,Mostrador rústico,135x60x87 (cm),admin/img_prod/MOS12/MOS12-1-720x540.png,29
22,S12,Sofá,Frances  Salón  Sillería,Sofá Luis XV nogal tapizado tela flores,155x60x93 (cm),admin/img_prod/S12/S12-1-720x540.png,29
23,ILU12,Iluminación,,Cuadro de luz negro antiguo con cuchillas,120x15x90 (cm),admin/img_prod/ILU12/ILU12-720x540.png,29
24,PV12,Pie de vela,Descatalogado,Descatalogado,0x0x0 (cm),admin/img_prod/PV12/LOGOTIPO VAZQUEZ- 720x540.png,29
25,SEC12,Secreter,Descatalogado,Mueble secreter madera raíz,0x0x0 (cm),admin/img_prod/SEC12/LOGOTIPO VAZQUEZ- 720x540.png,29
26,VI12,Vitrina,,Vitrina de pared caoba estrecha,100x20x130 (cm),admin/img_prod/VI12/VI12-720x540.png,29
27,PEL12,Peluquería,,Sillones de barbería antiguos reclinables de hierro tapizados skay corinto,62x55x115 (cm),admin/img_prod/PEL12/PEL12-1-720x540.png,29
28,PER12,Perchero,Americano  Despacho  Recibidor,Perchero de pie curvado nogal,50x50x185 (cm),admin/img_prod/PER12/PER12-720x540.png,29
29,SR12,Silla de ruedas,Hospit,Silla de ruedas antigua de madera y rejilla,75x100x126 (cm),admin/img_prod/SR12/SR12-1-720x540.png,29
30,PC12,Pizarra,Colegio,Pizarra de colegio marco chapa pintado,125x7x90 (cm),admin/img_prod/PC12/PC12-720x540.png,29
31,CAM12,Cámara fotos y vídeo,Cámaras de fotos,Cámara de fotos antigua KODAK INSTAMATIC,1x1x1 (cm),admin/img_prod/CAM12/CAM12-720x540.png,29
32,JUZ12,Juzgado,Juzgados,Mazo de juez torneado con su tabla redonda,1x1x1 (cm),admin/img_prod/JUZ12/JUZ12-720x540.png,29
33,QIN12,Quinqués,,Quinqué imperio faunos,1x1x1 (cm),admin/img_prod/QIN12/QIN12-720x540.png,29
34,MOU12,Mobiliario urbano,Calle  Oficios  Profesiones,Carro de cartero amarillo con escudo blanco,0x0x0 (cm),admin/img_prod/MOU12/MOU12-1-720x540.png,29
35,ARA12,Atrezzo Árabe,Arabe,Bandeja árabe metal grabado con patas plegables,70x70x47 (cm),admin/img_prod/ARA12/ARA12-1-720x540.png,29
36,CARR12,Carretilla,Tienda,Carro de supermercado varilla,95x60x105 (cm),admin/img_prod/CARR12/CARR12-720x540.png,29
37,PAP12,Papelera,,Papelera laminada de aluminio,0x0x0 (cm),admin/img_prod/PAP12/PAP12-720x540.png,29
38,FIG12,Figuras,Adorno,Figura de escayola jaspeada hombre años 80,0x0x0 (cm),admin/img_prod/FIG12/FIG12-720x540.png,29
39,PLA12,Playa,Camping,Sillón de camping plegable tela rayas,0x0x0 (cm),admin/img_prod/PLA12/PLA12-720x540.png,29
40,REG12,Religión,Cruces  Religioso,Crucifijo de mesa,0x0x0 (cm),admin/img_prod/REG12/REG12-720x540.png,29
41,RU12,Rural,,Caldero de cobre con asa central,65x65x30 (cm),admin/img_prod/RU12/RU12-1-720x540.png,29
42,ALA13,Alacena,Cocina,Alacena de cocina metálica,92x38x170 (cm),admin/img_prod/ALA13/ALA13-1-720x540.png,29
43,ALF13,Alfombra,Arabe  Comedor  Salón,Alfombra persa roja y crema,290x200x1 (cm),admin/img_prod/ALF13/ALF13-720x540.png,29
44,AFC13,Alfombra de cama,Arabe  Dormitorio,Alfombrín de cama persa rojo,100x50x1 (cm),admin/img_prod/AFC13/AFC13-720x540.png,29
45,AP13,Aparador,Comedor  Modernista,"Vitrina aparador modernista a juego AP012, mal estado.",106x30x90 (cm),admin/img_prod/AP13/AP13-720x540.png,29
46,ARC13,Arcon,Arabe  Dormitorio,Arcón árabe tapa forma forrado terciopelo rojo y oro,118x50x72 (cm),admin/img_prod/ARC13/ARC13-1-720x540.png,29
47,AR13,Armario,Descatalogado,Descatalogado,0x0x0 (cm),admin/img_prod/AR13/LOGOTIPO VAZQUEZ- 720x540.png,29
