,name,category,section,description,dimensions,image,page
0,COM5,Comoda,Dormitorio  Isabelino,Cómoda isabelina caoba aplicaciones madera,117x54x104 (cm),admin/img_prod/COM5/COM5-720x540.png,12
1,CON5,Consola,Frances  Recibidor,Consola Luis XV oro tapa tallada,94x32x88 (cm),admin/img_prod/CON5/CON5-1-720x540.png,12
2,BUT5,Butaca de cine,Cine  Teatro,Fila de 2 asientos de butacas de teatro terciopelo rojo,102x58x80 (cm),admin/img_prod/BUT5/BUT5-1-720x540.png,12
3,COS5,,Costurero,Descatalogado,1x1x1 (cm),admin/img_prod/COS5/LOGOTIPO VAZQUEZ.jpg,12
4,CU5,Cuadro,Palacio  Retratos,Cuadro marco ancho madera fotografía Felipe II,144x10x230 (cm),admin/img_prod/CU5/CU5-720x540.png,12
5,ANU5,Carteles y anuncios,Bar y cafetería,Cartel antiguo chapa grande Pepsi,25x10x25 (cm),admin/img_prod/ANU5/ANU5-720x540.png,12
6,ESP5,Espejo,Tienda,Espejo de zapatería cromado,40x30x55 (cm),admin/img_prod/ESP5/ESP5-720x540.png,12
7,ES5,Estanteria,Cocina  Rústico,Estantería de listones de pino,78x30x168 (cm),admin/img_prod/ES5/ES5-1-720x540.png,12
8,EST5,Estufa,Calefaccion,Estufa chubesqui hierro grabado negra,37x37x90 (cm),admin/img_prod/EST5/EST5-1-720x540.png,12
9,ESTAT5,Estatua,,Estatua de fibra cabeza de caballo,94x35x80 (cm),admin/img_prod/ESTAT5/ESTAT5-720x540.png,12
10,GN5,Galan de noche,Dormitorio,Galán de noche nogal con remate,45x45x100 (cm),admin/img_prod/GN5/GN5-1-720x540.png,12
11,AGU5,Aguamaniles,Dormitorio,Aguamanil loza blanca flores filo oro,1x1x1 (cm),admin/img_prod/AGU5/AGU5-720x450 copia.png,12
12,ADP5,Animales disecados en panoplia,,Cabeza de toro disecada grande en panoplia,1x1x1 (cm),admin/img_prod/ADP5/ADP5-720x450.png,12
13,F5,Fichero,Despacho,Fichero plastificado nogal 3 cajones,45x60x105 (cm),admin/img_prod/F5/F5-1-720x540.png,12
14,MUS5,Instrumentos musicales,Frances  Musica  Piano,Piano autentico Luis XVI,177x77x86 (cm),admin/img_prod/MUS5/MUS5-1-720x540.png,12
15,ADO5,Adornos,Salón,Adorno mesa juego jarras cobre asa  loza,1x1x1 (cm),admin/img_prod/ADO5/ADO5-720x540.png,12
16,DPT5,Deporte,Boxeo  Gimnasio,Saco de boxeo skay rojo,50x50x150 (cm),admin/img_prod/DPT5/GIM6-720x540.png,12
17,LAM5,Lámpara,Lámpara de mesa,Lámpara de mesa metal peana ochavada,0x0x0 (cm),admin/img_prod/LAM5/LAM5-720x540.png,12
18,FUM5,Artículos de fumador,Cenicero,Cenicero alto de acero,1x1x1 (cm),admin/img_prod/FUM5/FUM5-720x540.png,12
19,ASP5,Aspiradoras,Electrodomestico,Aspiradora antigua gris bolsa en barra,1x1x1 (cm),admin/img_prod/ASP5/ASP5-720x540.png,12
20,AZP5,Azulejos y platos de pared,Decoración,Azulejo pared religioso marco forja hierro,1x1x1 (cm),admin/img_prod/AZP5/AZP5-720x540.png,12
21,BAD5,Bandejas,,Bandeja fibra con patas,1x1x1 (cm),admin/img_prod/BAD5/BAD5-720x540.png,12
22,BYC5,Atrezzo de bar y cafetería,Bar y cafetería,Botellas antiguas de cerveza cierre presión,1x1x1 (cm),admin/img_prod/BYC5/BYC5-720x540.png,12
