,name,category,section,description,dimensions,image,page
0,JUZ4,Juzgado,Juzgados,Estrado de juzgado de 2mtros de madera tallado,200x73x87 (cm),admin/img_prod/JUZ4/JUZ4-720x540.png,11
1,QIN4,Quinqués,,Quinqué columna alabastro depósito plateado,1x1x1 (cm),admin/img_prod/QIN4/QIN4-720x540.png,11
2,REV4,Revistero,Salón,Revistero de madera palos torneados,0x0x0 (cm),admin/img_prod/REV4/REV4-1-720x540.png,11
3,MOU4,Mobiliario urbano,Calle  Oficios  Profesiones,Carro de barrendero con cubos,170x90x100 (cm),admin/img_prod/MOU4/MOU4-1-720x540.png,11
4,LOG4,Logicine,Jardín  Mimbre,Macetero de mimbre redondo,30x30x85 (cm),admin/img_prod/LOG4/LOG4 (MC109) 720x540.png,11
5,CDM4,Centro de mesa,Adorno,Centro de mesa antiguo plateado,0x0x0 (cm),admin/img_prod/CDM4/CDM4-720x540.png,11
6,PAP4,Papelera,,Papelera grande de alambre cuadrada,0x0x0 (cm),admin/img_prod/PAP4/PAP4-720x540.png,11
7,FIG4,Figuras,Adorno,Figura de bronce vendimia,0x0x0 (cm),admin/img_prod/FIG4/FIG4-720x540.png,11
8,PLA4,Playa,Hamaca  Jardín,Hamaca de madera con asiento y respaldo cuero,58x104x67 (cm),admin/img_prod/PLA4/PLA4-1-720x540.png,11
9,REG4,Religión,Religioso,Adorno de mesa religioso,0x0x0 (cm),admin/img_prod/REG4/REG4-720x540.png,11
10,RU4,Rural,Rústico  Cantarera,Cantarera de 2 con faldón recortado,85x39x54 (cm),admin/img_prod/RU4/RU4-1-720x540.png,11
11,PAR4,Paragüero,,Paragüero madera,1x1x1 (cm),admin/img_prod/PAR4/PAR4-720x540.png,11
12,GUA4,Guarnición,Frances,Guarnición francesa metal grabado peana mármol,0x0x0 (cm),admin/img_prod/GUA4/GUA4-720x540.png,11
13,ALA5,Alacena,Cocina,Alacena puertas celosía,105x42x173 (cm),admin/img_prod/ALA5/ALA5-1-720x540.png,11
14,ALF5,Alfombra,Comedor  Frances  Salón,"Alfombra francesa tonos dorados 
1 de 294 x 200
1 de 245 x 200",305x250x1 (cm),admin/img_prod/ALF5/ALF5-1-copia.jpg,11
15,AFC5,Alfombra de cama,Dormitorio,Alfombrín de cama rosa y fleco,130x60x1 (cm),admin/img_prod/AFC5/AFC5-720x540.png,11
16,AP5,Aparador,Comedor  Estilo mil novecientos,Trinchero 1900 nogal con vitrina y copete,105x47x148 (cm),admin/img_prod/AP5/AP5-720x540.png,11
17,AST5,Atrezzo astronomia,Astronomía,Telescopio figurado hierro y metal con pie,135x75x140 (cm),admin/img_prod/AST5/AST5-720x540.png,11
18,TOR5,Tortura,Carcel,Aparato de tortura de hierro con pinchos,40x40x60 (cm),admin/img_prod/TOR5/TOR5-1-720x540.png,11
19,ARC5,Arcon,Gótico,Arcón gótico talla cartón,110x50x72 (cm),admin/img_prod/ARC5/ARC5-1-720x540.png,11
20,AR5,Armario,Dormitorio  Frances,Armario Luis XV nogal tallado,135x55x255 (cm),admin/img_prod/AR5/AR5-1-720x540.png,11
21,ARM5,Armero,Descatalogado,Descatalogado,1x1x1 (cm),admin/img_prod/ARM5/LOGOTIPO VAZQUEZ- 720x540.png,11
22,ATD5,Ataud,,Ataúd de pino tapa forma,55x185x46 (cm),admin/img_prod/ATD5/ATD5-1-720x540.png,11
23,ATR5,Atril,Religioso,Atril facistol nogal arcos recortados,70x50x90 (cm),admin/img_prod/ATR5/ATR5-1-720x540.png,11
24,BL5,Balancin,Columpio  Juguete,Caballito balancín forrado marrón,108x31x80 (cm),admin/img_prod/BL5/BL5-720x540.png,11
25,BAC5,Banco,Americano,Banco americano listones madera,175x48x97 (cm),admin/img_prod/BAC5/BAC5-1-720x540.png,11
26,BAN5,Banqueta,Inglesa,Banqueta inglesa patas forma,75x40x43 (cm),admin/img_prod/BAN5/BAN5-1-720x540.png,11
27,M5,Mesa,Jardín,Mesa de jardín patas varilla tapa madera,80x80x75 (cm),admin/img_prod/M5/M5-1-720x540.png,11
28,BA5,Baño,Bañera  Rústico,Bañera madera ovalada forrada cinc,135x92x67 (cm),admin/img_prod/BA5/BA5-1-720x540.png,11
29,BAR5,Bargueño,Español,Bargueño nogal con cajones y mesa patas torneadas,77x53x148 (cm),admin/img_prod/BAR5/BAR5-1-720x540.png,11
30,BRL5,Barril,Rústico,Media cuba de madera con asas cuerda,68x68x45 (cm),admin/img_prod/BRL5/BRL5-1-720x540.png,11
31,BAS5,Bascula,Farmacia  Hospital,Báscula de farmacia antigua,70x42x112 (cm),admin/img_prod/BAS5/BAS5-1-720x540.png,11
32,BAU5,Baul,Americano  Viaje,Baúl americano azul con cinchas madera,50x30x110 (cm),admin/img_prod/BAU5/BAU5-1-720x540.png,11
33,BEB5,Bebé,Descatalogado,,0x0x0 (cm),admin/img_prod/BEB5/LOGOTIPO VAZQUEZ- 720x540.png,11
34,PER5,Perchero,Español  Recibidor,Perchero de pared tallado con espejo y azulejos,97x10x200 (cm),admin/img_prod/PER5/PER5-720x540.png,11
35,ESC5,Escaleras,Tienda,Escalera de tijera de madera (altura cerrada 165),43x90x155 (cm),admin/img_prod/ESC5/ESC5-720x540.png,11
36,BIO5,Biombo,Dormitorio,Biombo 3 hojas marco dorado tela roja,150x5x150 (cm),admin/img_prod/BIO5/BIO5-1-720x540.png,11
37,BRA5,Brasero,Calefaccion,Brasero de suelo de metal liso 5 patas,70x70x15 (cm),admin/img_prod/BRA5/BRA5-1-720x540.png,11
38,CAB5,Caballete,Pintor,Caballete de pintor 3 pies madera,74x74x224 (cm),admin/img_prod/CAB5/CAB5-720x540.png,11
39,CAR5,Caja registradora,Calculadoras  Despacho,Calculadora antigua de manivela,1x1x1 (cm),admin/img_prod/CAR5/CAR5-720x540.png,11
40,CF5,Caja fuerte,,Caja fuerte hierro de empotrar gris,40x25x45 (cm),admin/img_prod/CF5/CF5 720x540.png,11
41,CAJ5,Caja,Cajas  Militar,Caja de munición madera asas hierro.,66x42x33 (cm),admin/img_prod/CAJ5/CAJ5-1-720x540.png,11
42,CA5,Cama,Cabecero  Dormitorio,Cabecero crema tapizado azul,243x10x91 (cm),admin/img_prod/CA5/CA5-720x540.png,11
43,REC5,Reclinatorio,Iglesia  Religioso,Reclinatorio confesionario nogal y rejilla,52x38x140 (cm),admin/img_prod/REC5/REC5-1-720x540.png,11
44,CARR5,Carretilla,Oficios,Carretilla de hierro de obra cajón grande,140x65x62 (cm),admin/img_prod/CARR5/CARR5-720x540.png,11
45,CSE5,Carro de servicio,Descatalogado,Descatalogado,0x0x0 (cm),admin/img_prod/CSE5/LOGOTIPO VAZQUEZ- 720x540.png,11
46,CH5,Chaiselongue,Hospital  Medicina,Chaiselongue tapizada skay negro de psiquiatra,167x70x84 (cm),admin/img_prod/CH5/CH5-720x540.png,11
47,CO5,Cocinas,Electrodomestico  Cocina,Cocina de gas 3 fuegos y 1 eléctrico con horno y puerta,90x50x85 (cm),admin/img_prod/CO5/CO5-1-720x540.png,11
