,name,category,section,description,dimensions,image,page
0,AZP21,Azulejos y platos de pared,Decoración,Azulejos de pared marco forja hierro pequeños diferentes,1x1x1 (cm),admin/img_prod/AZP21/AZP21-720x540.png,46
1,BAD21,Bandejas,Menaje,Bandeja fibra marrón,1x1x1 (cm),admin/img_prod/BAD21/BAD21-720x540.png,46
2,BYC21,Atrezzo de bar y cafetería,Bar y cafetería,Copa de coñá cristal tallado,1x1x1 (cm),admin/img_prod/BYC21/BYC21(BAR21-720x540).png,46
3,COL21,Atrezzo colegio,Colegio,Compás de madera grande,1x1x1 (cm),admin/img_prod/COL21/COL21-720x540.png,46
4,DES21,Atrezzo despacho,Despacho  Máquinas de escribir,Máquina de escribir eléctrica Olympia,1x1x1 (cm),admin/img_prod/DES21/DES21-720x540.png,46
5,BEB21,Bebé,Tacatá,Tacatá plastico blanco plegable,1x1x1 (cm),admin/img_prod/BEB21/BEB21-720x540.png,46
6,CST21,Moda y costura,Avíos de costura,Tijera grande de costura,1x1x1 (cm),admin/img_prod/CST21/CST21-720x540.png,46
7,CAR21,Caja registradora,Descatalogado,Descatalogado,0x0x0 (cm),admin/img_prod/CAR21/LOGOTIPO VAZQUEZ- 720x540.png,46
8,CHI21,Chimenea,Descatalogado,Descatalogado,0x0x0 (cm),admin/img_prod/CHI21/LOGOTIPO VAZQUEZ- 720x540.png,46
9,CRI21,Cristalería,Descatalogado,,0x0x0 (cm),admin/img_prod/CRI21/LOGOTIPO VAZQUEZ- 720x540.png,46
10,MC21,Macetero,Comedor  Salón,Macetero claro tablitas,24x24x105 (cm),admin/img_prod/MC21/MC21-1-720x540.png,46
11,ME21,Mesilla,Dormitorio  Inglesa,Mesilla inglesa ovalada caoba con marquetería,48x33x82 (cm),admin/img_prod/ME21/ME21-1-720x540.png,46
12,VET21,Ventilador,,Ventilador de techo antiguo crema y rosa,1x1x1 (cm),admin/img_prod/VET21/VET21-720x540.png,46
13,REL21,Reloj,Descatalogado,descatalogado,0x0x0 (cm),admin/img_prod/REL21/LOGOTIPO VAZQUEZ- 720x540.png,46
14,TEL21,Telefonía,,Buscas,0x0x0 (cm),admin/img_prod/TEL21/TLF21-720x540.png,46
15,MYN21,Maletas y neceseres de viaje,Viaje,Maleta fibra cuadros,60x45x25 (cm),admin/img_prod/MYN21/MYN21-720x540.png,46
16,MYC21,Maletines y carteras,,Portacumentos skay cierre metal,0x0x0 (cm),admin/img_prod/MYC21/MYC21-720x540.png,46
17,TOC21,Objetos de tocador,Tocador,Juego de tocador loza blanca dibujos franceses (3 piezas),0x0x0 (cm),admin/img_prod/TOC21/TOC21-720x540.png,46
18,JUG21,Juguetes,Juguete,Juego antiguo Cometa Exin Comet con su caja,0x0x0 (cm),admin/img_prod/JUG21/JUG21-720x540.png,46
19,JAR21,Jarrones y jarras,Adorno  Decoración  Salón,Jarrones loza flores,0x0x0 (cm),admin/img_prod/JAR21/JAR21-720x540.png,46
20,MYS21,Tocadiscos y altavoces,Electrónica  Grabadoras y magnetófonos  Sonido,Grabadora-magnetófono portátil caja madera Kolster,0x0x0 (cm),admin/img_prod/MYS21/MYS21-720x540.png,46
21,TP21,Tapices y estandartes,Salón,Tapiz bordado paisaje pequeño,60x0x70 (cm),admin/img_prod/TP21/TP21-720x540.png,46
22,ML21,Librería,Americano  Despacho,Librería despacho americana puertas correderas,153x31x80 (cm),admin/img_prod/ML21/ML21-1-720x540.png,46
23,MED21,Atrezzo medicina,Hospital  Medicina,Escalerilla de chapa para tubos de ensayo,0x0x0 (cm),admin/img_prod/MED21/MED21-720x540.png,46
24,HOS21,Hospitales,Hospital  Medicina  Oficios,Máquina óptica con ruedas y brazo extensible,100x100x270 (cm),admin/img_prod/HOS21/HOS21-720x540.png,46
25,VAA21,Atrezzo vario,Descatalogado,DESCATALOGADO,0x0x0 (cm),admin/img_prod/VAA21/LOGOTIPO VAZQUEZ- 720x540.png,46
26,TYV21,Televisores y vídeos,Televisor,"Televisión caja negra Grundig 21"" (color)",53x45x46 (cm),admin/img_prod/TYV21/TYV21-1-720x540.png,46
27,ARA21,Atrezzo Árabe,Arabe  Jarras,Jarra árabe metal,0x0x0 (cm),admin/img_prod/ARA21/ARA21-1-720x540.png,46
28,RAD21,Radios,Descatalogado,,0x0x0 (cm),admin/img_prod/RAD21/LOGOTIPO VAZQUEZ- 720x540.png,46
29,SI21,Sillón,Portugues  Sillería,Sillón portugués nogal tallado tapizado terciopelo labrado rojo,72x56x142 (cm),admin/img_prod/SI21/SI21-1-720x540.png,46
30,MV21,Muebles varios,Taquillón,Taquillón crema con talla hindú,108x29x73 (cm),admin/img_prod/MV21/MV21-720x540.png,46
31,JUE21,Juego,,Baraja de cartas del tarot,1x1x1 (cm),admin/img_prod/JUE21/JUE21-720x540.png,46
32,SIL21,Silla,Portugues  Sillería,Silla portuguesa tallada tapizada terciopelo labrado,50x42x128 (cm),admin/img_prod/SIL21/SIL21-1-720x540.png,46
