,name,category,section,description,dimensions,image,page
0,VET13,Ventilador,,Ventilador de mesa aspas grises,1x1x1 (cm),admin/img_prod/VET13/VET13-720x540.png,31
1,REL13,Reloj,Salón,Reloj de pared nogal esfera cuadrada con péndulo,1x1x1 (cm),admin/img_prod/REL13/REL13-720x540.png,31
2,TEL13,Telefonía,,Teléfono publico verde,0x0x0 (cm),admin/img_prod/TEL13/TLF13-720x540.png,31
3,MYN13,Maletas y neceseres de viaje,Viaje,Maleta fibra azul,70x45x25 (cm),admin/img_prod/MYN13/MYN13-720x540.png,31
4,MYC13,Maletines y carteras,,Maletines ejecutivo skay,0x0x0 (cm),admin/img_prod/MYC13/MYC13-720x540.png,31
5,LYR13,Libros y revistas,,Novelas,0x0x0 (cm),admin/img_prod/LYR13/LYR13-720x540.png,31
6,TOC13,Objetos de tocador,Tocador,Polveras de cartón antiguas,0x0x0 (cm),admin/img_prod/TOC13/TOC13-720x540.png,31
7,VAJ13,Vajilla,Cocina,Platos cristal Duralex transparente,0x0x0 (cm),admin/img_prod/VAJ13/VAJ13-720x540.png,31
8,JUG13,Juguetes,Juguete,Juego Lumirama antiguo con su caja,0x0x0 (cm),admin/img_prod/JUG13/JUG13-720x540.png,31
9,JAR13,Jarrones y jarras,Adorno  Decoración  Salón,Jarra plateada alta con tapa,0x0x0 (cm),admin/img_prod/JAR13/JAR13-720x540.png,31
10,MYS13,Tocadiscos y altavoces,Altavoces  Electrónica  Musica  Sonido,Altavoces pequeños caja madera frontal rejilla plástico,0x0x0 (cm),admin/img_prod/MYS13/MYS13-720x540.png,31
11,TP13,Tapices y estandartes,Palacio,Repostero raso crema con flores de lys y escudo real bordado,360x0x340 (cm),admin/img_prod/TP13/TP13-720x540.png,31
12,ML13,Librería,Americano  Despacho,LIBRERÍA DESPACHO AMERICANA PARTE CENTRAL VITRINA,215x42x200 (cm),admin/img_prod/ML13/ML13-720x540.png,31
13,MED13,Atrezzo medicina,Hospital  Medicina,Cajas esterilazadoras de acero antiguas,0x0x0 (cm),admin/img_prod/MED13/MED13-720x540.png,31
