,name,category,section,description,dimensions,image,page
0,CST16,Moda y costura,Máquinas de coser,Máquina de coser antigua de hierro,1x1x1 (cm),admin/img_prod/CST16/CST16-720x540.png,37
1,CSE16,Carro de servicio,Bar y cafetería,Carro de servicio lacado negro con dos asas,70x40x70 (cm),admin/img_prod/CSE16/CSE16-1-720x540.png,37
2,BRL16,Barril,Bidón,Bidón chapa pequeño boca estrecha,30x30x52 (cm),admin/img_prod/BRL16/BRL16-720x540.png,37
3,CHI16,Chimenea,,Pantalla de chimenea tela roja bordada flores.,55x40x100 (cm),admin/img_prod/CHI16/CHI16-720x540.png,37
4,CRI16,Cristalería,,Copas de cristal de postre antiguas talladas.,1x1x1 (cm),admin/img_prod/CRI16/CRI16-720x540.png,37
5,MC16,Macetero,Comedor  Salón,Macetero columna cuadrada oscuro,27x27x110 (cm),admin/img_prod/MC16/MC16-1-720x540.png,37
6,ME16,Mesilla,Dormitorio,Mesilla alta caoba frente tallado con copete,39x30x100 (cm),admin/img_prod/ME16/ME16-1-720x540.png,37
7,VET16,Ventilador,Descatalogado,Descatalogado,1x1x1 (cm),admin/img_prod/VET16/LOGOTIPO VAZQUEZ- 720x540.png,37
8,REL16,Reloj,Descatalogado,descatalogado,0x0x0 (cm),admin/img_prod/REL16/LOGOTIPO VAZQUEZ- 720x540.png,37
9,TEL16,Telefonía,,Teléfonos antiguos de mesa de baquelita,0x0x0 (cm),admin/img_prod/TEL16/TEL16-1-720x540.png,37
10,MYN16,Maletas y neceseres de viaje,Viaje,Maleta antigua fibra marrón cinchas madera cantoneras metal,80x45x25 (cm),admin/img_prod/MYN16/MYN16-720x540.png,37
11,MYC16,Maletines y carteras,,Maletines ejecutivo skay,0x0x0 (cm),admin/img_prod/MYC16/MYC16-720x540.png,37
12,TOC16,Objetos de tocador,Tocador,Joyero plateado grabado rectangular,0x0x0 (cm),admin/img_prod/TOC16/TOC16-720x540.png,37
13,JUG16,Juguetes,Juguete,Juego antiguo para dibujar Paint Wheels con su caja,0x0x0 (cm),admin/img_prod/JUG16/JUG16-720x540.png,37
14,JAR16,Jarrones y jarras,Adorno  Decoración  Salón,Jarra Talavera loza blanca adornos,0x0x0 (cm),admin/img_prod/JAR16/JAR16-720x540.png,37
15,MYS16,Tocadiscos y altavoces,Electrónica  Grabadoras y magnetófonos  Sonido,Grabadora-magnetófono antigua Agra con tapa,0x0x0 (cm),admin/img_prod/MYS16/MYS16-720x540.png,37
16,TP16,Tapices y estandartes,Palacio,Tapiz bordado partida de ajedrez siglo XVIII con bastidor,175x5x200 (cm),admin/img_prod/TP16/TP16-720x540.png,37
17,ML16,Librería,Americano  Despacho,LIBRERÍA DESPACHO AMERICANA PUERTAS CRISTAL,105x37x175 (cm),admin/img_prod/ML16/ML16-1-720x540.png,37
18,MED16,Atrezzo medicina,Hospital  Medicina,Cajas antiguas de acero para vendas,0x0x0 (cm),admin/img_prod/MED16/MED16-720x540.png,37
19,HOS16,Hospitales,Camillas  Hospital  Medicina,Camilla curas con ruedas tapizada skay negro,180x50x84 (cm),admin/img_prod/HOS16/HOS16-720x540.png,37
20,VAA16,Atrezzo vario,Hotel,Llaves de hotel,0x0x0 (cm),admin/img_prod/VAA16/VAA16-720x540.png,37
21,TYV16,Televisores y vídeos,Televisor,Televisión caja madera (color),0x0x0 (cm),admin/img_prod/TYV16/TYV16-720x540.png,37
22,SI16,Sillón,Imperio  Salón  Sillería,Sillón imperio caoba y bronces tapizado damasco,58x57x97 (cm),admin/img_prod/SI16/SI16-1-720x540.png,37
23,RAD16,Radios,,Radio antigua pequeña baquelita marron 2 mandos,1x1x1 (cm),admin/img_prod/RAD16/RAD16-720x540.png,37
24,JAM16,Jamuga,Medieval,Jamuga con respaldo y asiento listones,46x60x85 (cm),admin/img_prod/JAM16/JAM16-720x540.png,37
25,MV16,Muebles varios,Taquillón,Taquillón de nogal con puertas rejilla metal,118x34x76 (cm),admin/img_prod/MV16/MV16-720x540.png,37
26,JUE16,Juego,Casino,Mesa de juego redonda patas torneadas,122x122x75 (cm),admin/img_prod/JUE16/JUE16-1-720x540.png,37
27,SIL16,Silla,Imperio  Sillería,Silla imperio caoba y bronce tapizada damasco,44x46x92 (cm),admin/img_prod/SIL16/SIL16-1-720x540.png,37
28,MEC16,Mecedora,Colonial,Mecedora colonial clara con rejilla,60x81x96 (cm),admin/img_prod/MEC16/MEC16-1-720x540.png,37
29,MOS16,Mostrador,Tienda,Expositor de zapatos tubo cromado,100x45x175 (cm),admin/img_prod/MOS16/MOS31-1-720x540.png,37
30,S16,Sofá,Imperio  Salón  Sillería,Sofá imperio caoba y bronces tapizado damasco,115x57x98 (cm),admin/img_prod/S16/S16-1-720x540.png,37
31,ILU16,Iluminación,,Pantalla fluorescente chapa crema de 4,63x127x9 (cm),admin/img_prod/ILU16/ILU16-720x540.png,37
32,PV16,Pie de vela,Descatalogado,Descatalogado,0x0x0 (cm),admin/img_prod/PV16/LOGOTIPO VAZQUEZ- 720x540.png,37
33,SEC16,Secreter,Salón,Secreter claro liso 2 cajones,98x56x102 (cm),admin/img_prod/SEC16/SEC16-720x540.png,37
34,JAU16,Jaula,Pie de jaula,Pie de jaula para loro,0x0x170 (cm),admin/img_prod/JAU16/JAU16-720x540.png,37
