,name,category,section,description,dimensions,image,page
0,MEC23,Mecedora,Curvado,Mecedora curvada nogal tapizada tela,52x102x103 (cm),admin/img_prod/MEC23/MEC23-1-720x540.png,50
1,MOS23,Mostrador,Tienda,Mostrador vitrina de roble con 12 cajones,125x45x95 (cm),admin/img_prod/MOS23/MOS30-1-720x540.png,50
2,S23,Sofá,Reina ana  Salón  Sillería,Sofá reina Ana nogal filo oro tapizado cuero,135x55x117 (cm),admin/img_prod/S23/S23-1-720x540.png,50
3,TYV23,Televisores y vídeos,Televisor,"Televisión caja gris Philips 18""",50x25x33 (cm),admin/img_prod/TYV23/TYV23-1-720X540.png,50
4,PV23,Pie de vela,Candelero  Iglesia,Candelero de iglesia peana piedra,0x0x0 (cm),admin/img_prod/PV23/PV23-720x540.png,50
5,BRA23,Brasero,Medieval,Pie de tubo redondo aro giratorio,55x55x170 (cm),admin/img_prod/BRA23/BRA23-720x540.png,50
6,JAU23,Jaula,Pie de jaula,Pie de jaula niquelada peana redonda,0x0x175 (cm),admin/img_prod/JAU23/JAU23-720x540.png,50
7,VI23,Vitrina,Colegio,Vitrina con parte baja cerrada,140x40x140 (cm),admin/img_prod/VI23/VI23-1-removebg-preview.png,50
8,PER23,Perchero,Dormitorio  Español,Perchero burro estilo español cabezas talladas,104x35x103 (cm),admin/img_prod/PER23/PER23-1-720x540.png,50
9,SEC23,Secreter,Salón,Bureau - secreter claro,77x56x113 (cm),admin/img_prod/SEC23/SEC23-1-720x540.png,50
10,QIN23,Quinqués,,Quinqué pie calamina con depósito niquelado,18x18x39 (cm),admin/img_prod/QIN23/QIN23-720x540.png,50
11,MOU23,Mobiliario urbano,Calle,Señal de tráfico inglesa de permanecer izquierda,46x1x61 (cm),admin/img_prod/MOU23/MOU23-720x540.png,50
12,CDM23,Centro de mesa,,Centro de mesa de loza forma frutero,0x0x0 (cm),admin/img_prod/CDM23/CDM23-720x540.png,50
13,FIG23,Figuras,Adorno,Figura de escayola pintada torso mujer,0x0x0 (cm),admin/img_prod/FIG23/FIG23-720x540.png,50
14,PLA23,Playa,Sombrillas,Sombrilla tela rayas,0x0x0 (cm),admin/img_prod/PLA23/PLA23-720x540.png,50
15,REG23,Religión,Cruces,Cruz de madera de suelo ancha con cuerdas,160x5x240 (cm),admin/img_prod/REG23/REG23-720x540.png,50
16,RU23,Rural,Rústico  Oficios,Yugo de arado de madera,0x0x0 (cm),admin/img_prod/RU23/RU23-720x540.png,50
17,ALF24,Alfombra,Comedor  Salón,Alfombra dibujos marrón,240x165x1 (cm),admin/img_prod/ALF24/ALF24-720x540.png,50
18,AFC24,Alfombra de cama,Dormitorio,Alfombrin de cama arpillera verde y crema,60x90x1 (cm),admin/img_prod/AFC24/AFC24-720x540.png,50
19,AP24,Aparador,Comedor  Isabelino,Aparador isabelino negro cajones talla y copete,204x60x100 (cm),admin/img_prod/AP24/AP24-1-720x540.png,50
20,ARC24,Arcon,Dormitorio,Arcón figurado talla cartón,100x37x42 (cm),admin/img_prod/ARC24/ARC24-1-720x540.png,50
21,AR24,Armario,Dormitorio,Armario 1 puerta espejo,105x55x237 (cm),admin/img_prod/AR24/AR24-1-720x540.png,50
22,ATR24,Atril,,Atril aluminio forma rollo película,54x40x110 (cm),admin/img_prod/ATR24/ATR24-1-720x540.png,50
23,BAC24,Banco,Jardín,Banco jardín patas hierro tablas marrón,150x70x80 (cm),admin/img_prod/BAC24/BAC24-1-720x540.png,50
