,name,category,section,description,dimensions,image,page
0,PAP2,Papelera,,Papelera chapa roja,0x0x0 (cm),admin/img_prod/PAP2/PAP2-720x540.png,6
1,FIG2,Figuras,Adorno,Figura de barro artesanía mujer,0x0x0 (cm),admin/img_prod/FIG2/FIG2-720x540.png,6
2,PLA2,Playa,Hamaca  Jardín,Hamaca de madera reclinable con tela rayas,0x0x0 (cm),admin/img_prod/PLA2/PLA2-1-720x540.png,6
3,REG2,Religión,Religioso,Adorno de mesa religioso,0x0x0 (cm),admin/img_prod/REG2/REG2-720x540.png,6
4,RU2,Rural,Cantarera  Rústico,Cantarera de 4 frente recortado,140x38x60 (cm),admin/img_prod/RU2/RU2-1-720x540.png,6
5,PAR2,Paragüero,,Paragüero metal,1x1x1 (cm),admin/img_prod/PAR2/PAR2-720x540.png,6
6,GUA2,Guarnición,Imperio,Guarnición imperio mármol negro,0x0x0 (cm),admin/img_prod/GUA2/GUA2-720x540.png,6
7,ALA3,Alacena,Cocina  Español,Alacena estilo español cuarterones tallados,108x30x175 (cm),admin/img_prod/ALA3/ALA3-1-720x540.png,6
8,ALF3,Alfombra,Arabe,Alfombra persa azul y rojo con fleco,240x160x1 (cm),admin/img_prod/ALF3/ALF3-720x540.png,6
9,AFC3,Alfombra de cama,Dormitorio,Alfombrín de cama marrón dibujos amarillos,130x70x1 (cm),admin/img_prod/AFC3/AFC3-720x540.png,6
10,AP3,Aparador,Comedor  Estilo mil novecientos,Aparador 1900 con vitrina,154x60x265 (cm),admin/img_prod/AP3/AP3-1-720x540.png,6
11,AST3,Atrezzo astronomia,,Telescopio figurado madera y metal con pie,1x1x1 (cm),admin/img_prod/AST3/AST3-720x540.png,6
12,TOR3,Tortura,Carcel,"Cepo de tortura de madera para cabeza, pies y manos",160x40x160 (cm),admin/img_prod/TOR3/TOR3-1-720x540.png,6
13,ARC3,Arcon,Rústico,Arqueta talla lisa antigua,100x38x48 (cm),admin/img_prod/ARC3/ARC3-1-720x540.png,6
14,AR3,Armario,Dormitorio  Inglesa,Armario inglés caoba 2 puertas espejos ovalados,135x65x215 (cm),admin/img_prod/AR3/AR3-720x540.png,6
15,ARM3,Armero,Militar,Armero para fusiles fondo rojo,125x24x163 (cm),admin/img_prod/ARM3/ARM3-720x540.png,6
16,ATD3,Ataud,Egipcio,Ataúd sarcófago egipcio figurado,65x50x180 (cm),admin/img_prod/ATD3/ATD3-1-720x540.png,6
17,ATR3,Atril,Religioso,Atril pino columna recta,50x50x115 (cm),admin/img_prod/ATR3/ATR3-1-720x540.png,6
18,BL3,Balancin,Columpio  Juguete,Balancín de niño de madera,70x30x63 (cm),admin/img_prod/BL3/BL3-1-720x540.png,6
19,BAC3,Banco,Juzgados,Banco de juzgado tapizado skay rojo,205x64x126 (cm),admin/img_prod/BAC3/BAC3-1-720x540.png,6
20,BAN3,Banqueta,,Banqueta de pie a juego sillón SI189,46x40x19 (cm),admin/img_prod/BAN3/BAN3-1-720x540.png,6
21,M3,Mesa,Jardín,Mesa de jardín forja blanca,80x80x75 (cm),admin/img_prod/M3/M3-1-720x540.png,6
22,BA3,Baño,Bañera,Bañera acrílica patas niqueladas,176x80x85 (cm),admin/img_prod/BA3/BA3-1-720x540.png,6
23,BAR3,Bargueño,Español,Bargueño arqueta estilo español tallada,95x42x133 (cm),admin/img_prod/BAR3/BAR3-1-720x540.png,6
24,BRL3,Barril,Bar y cafetería  Rústico,Barril de madera pequeño,37x37x49 (cm),admin/img_prod/BRL3/BRL3-1-720x540.png,6
25,BAS3,Bascula,Mercado  Tienda,Báscula de tienda de colgar,1x1x1 (cm),admin/img_prod/BAS3/BAS3-720x540.png,6
26,BAU3,Baul,Americano  Viaje,Baúl armario americano azul pequeño,49x25x85 (cm),admin/img_prod/BAU3/BAU3-1-720x540.png,6
27,BEB3,Bebé,Descatalogado,,0x0x0 (cm),admin/img_prod/BEB3/LOGOTIPO VAZQUEZ- 720x540.png,6
28,PER3,Perchero,Recibidor  Forja  Jardín,Perchero pie forja hierro marrón,40x40x170 (cm),admin/img_prod/PER3/PER3-720x540.png,6
29,ESC3,Escaleras,Tienda,Escalera de tijera de madera,43x62x116 (cm),admin/img_prod/ESC3/ESC3-720x540.png,6
30,BIO3,Biombo,Frances  Dormitorio,Biombo Luis XV 3 hojas nogal tela flores y rayas,144x5x190 (cm),admin/img_prod/BIO3/BIO3-720x540.png,6
31,BIS3,Bis a bis,Salón,Bis a bis respaldos recortados patas torneadas,80x43x82 (cm),admin/img_prod/BIS3/BIS3-1-720x540.png,6
32,BRA3,Brasero,Calefaccion,Braseros bola pletina chapa (a juego 2 pequeños),35x35x100 (cm),admin/img_prod/BRA3/BRA3-720x540.png,6
33,BUT3,Butaca de cine,Cine  Teatro,Fila de tres asientos de butacas de cine pana roja,150x60x80 (cm),admin/img_prod/BUT3/BUT3-1-720x540.png,6
34,CAB3,Caballete,Pintor,Caballete de estudio madera claro,70x70x205 (cm),admin/img_prod/CAB3/CAB3-1-720x540.png,6
35,CAR3,Caja registradora,Tienda,Caja registradora eléctrica,41x42x36 (cm),admin/img_prod/CAR3/CAR3-1-720x540.png,6
36,CF3,Caja fuerte,,Caja fuerte de hierro pintada gris,60x35x100 (cm),admin/img_prod/CF3/CF3-720x540.png,6
37,CAJ3,Caja,Cajas  Militar,Caja de chapa aluminio con tapa,75x42x33 (cm),admin/img_prod/CAJ3/CAJ3-720x520.png,6
38,CA3,Cama,Cabecero  Dormitorio,Cabecero capitoné tapizado terciopelo oro,240x10x115 (cm),admin/img_prod/CA3/CA3-720x540.png,6
39,REC3,Reclinatorio,Iglesia  Religioso,Reclinatorio negro y oro tapizado rojo,70x32x80 (cm),admin/img_prod/REC3/REC3 720x540.png,6
40,CARR3,Carretilla,Oficios,Carretilla de hierro de obra,115x60x50 (cm),admin/img_prod/CARR3/CARR3-1-720x540.png,6
41,CSE3,Carro de servicio,Cocina  Comedor  Salón,Carro de servicio madera tallada caoba.,70x45x65 (cm),admin/img_prod/CSE3/CSE3-1-720x540.png,6
42,CH3,Chaiselongue,Descatalogado,Descatalogado,1x1x1 (cm),admin/img_prod/CH3/LOGOTIPO VAZQUEZ- 720x540.png,6
43,CO3,Cocinas,Electrodomestico  Cocina,Cocina de gas 2 fuegos con horno y cajón,48x39x86 (cm),admin/img_prod/CO3/CO3-720x540.png,6
44,COM3,Comoda,Dormitorio  Frances,Cómoda Luis XV caoba y bronce tapa figurada mármol,120x50x96 (cm),admin/img_prod/COM3/COM3-1-720x540.png,6
45,CON3,Consola,Frances  Recibidor,Consola Luis XV caoba y oro tapa mármol rosa,165x50x82 (cm),admin/img_prod/CON3/CON3-1-720x540.png,6
46,COS3,,Costurero,Costurero-mesita nogal tapa forma y pata lira con repisa,63x27x60 (cm),admin/img_prod/COS3/COS03.bmp,6
47,CU3,Cuadro,Retratos,Lienzo a medio pintar óleo hombre,100x5x190 (cm),admin/img_prod/CU3/CU3-720x540.png,6
