,name,category,section,description,dimensions,image,page
0,JAU1,Jaula,,Jaula grande de caña,70x70x190 (cm),admin/img_prod/JAU1/JAU1-720x540.png,3
1,JUE1,Juego,Casino,Ruleta de casino de madera y metal auténtica,80x80x25 (cm),admin/img_prod/JUE1/JUE1-720x540.png,3
2,JU1,Juguetero,,Juguetero caoba puertas marquetería y espejo,85x36x175 (cm),admin/img_prod/JU1/JU1-1-720x540.png,3
3,SIL1,Silla,Isabelino  Sillería,Silla isabelina caoba tapizada tela rayas,50x50x100 (cm),admin/img_prod/SIL1/SIL1 (HAY 4) 720x540.png,3
4,LM1,Litera de mano,Edad media,Litera de transporte tapizada damasco rojo,72x90x163 (cm),admin/img_prod/LM1/LM1-1-720X540.png,3
5,MEC1,Mecedora,Curvado,Mecedora curvada nogal tapizada skay verde,55x100x100 (cm),admin/img_prod/MEC1/MEC1-1-720x540.png,3
6,MOS1,Mostrador,Tienda,Mostrador de tienda de nogal con altillo (se le puede añadir una parte adicional para elevarlo),190x50x124 (cm),admin/img_prod/MOS1/MOS1-1-720x540.png,3
7,S1,Sofá,Isabelino  Salón  Sillería,Sofá isabelino caoba tapizado tela rayas,180x65x80 (cm),admin/img_prod/S1/S1-1-720x540.png,3
8,ILU1,Iluminación,Calle,Cabezas de farol de calle,36x36x80 (cm),admin/img_prod/ILU1/ILU001__MOU021___HAY_7_-removebg-preview.png,3
9,PV1,Pie de vela,Hachero  Iglesia  Medieval,Hachero de suelo hierro aro calado 7 luces con pincho,63x63x205 (cm),admin/img_prod/PV1/PV1-720x540.png,3
10,SEC1,Secreter,Americano  Salón,Bureau marquetería con cajones,123x53x100 (cm),admin/img_prod/SEC1/SEC1-1-720x540.png,3
11,PEL1,Peluquería,,Sillón de peluquería tapizado skay negro con secador,60x70x150 (cm),admin/img_prod/PEL1/PEL1-1-720x540.png,3
12,SR1,Silla de ruedas,Hospital,Silla de inválido de calle,150x75x110 (cm),admin/img_prod/SR1/SR1-720x540.png,3
13,PC1,Pizarra,Colegio,Pizarra de colegio marco madera claro,250x5x123 (cm),admin/img_prod/PC1/PC1-720x540.png,3
14,BUZ1,Buzones,Portal,Bloque de 25 buzones madera y metal,163x10x107 (cm),admin/img_prod/BUZ1/BUZ1-1-720x540.png,3
15,CAM1,Cámara fotos y vídeo,Cámaras de fotos,Cámara de fotos antigua figurada con pie,1x1x1 (cm),admin/img_prod/CAM1/CAM1-720x540.png,3
16,QIN1,Quinqués,,Quinqué alabastro forma copa,1x1x1 (cm),admin/img_prod/QIN1/QIN1-720x540.png,3
17,REV1,Revistero,Salón,Revistero dorado,0x0x0 (cm),admin/img_prod/REV1/REV1-1-720x540.png,3
18,MOU1,Mobiliario urbano,Descatalogado,,0x0x0 (cm),admin/img_prod/MOU1/LOGOTIPO VAZQUEZ- 720x540.png,3
19,CDM1,Centro de mesa,Adorno,Centro de mesa de alabastro,0x0x0 (cm),admin/img_prod/CDM1/CDM1-720x540.png,3
20,PAP1,Papelera,,Papelera de chapa amarilla,0x0x0 (cm),admin/img_prod/PAP1/PAP1-720x540.png,3
21,FIG1,Figuras,Adorno,Caparazón de armadillo,0x0x0 (cm),admin/img_prod/FIG1/FIG1-720x540.png,3
22,PLA1,Playa,Hamaca  Jardín,Hamaca de madera con tela de rayas,0x0x0 (cm),admin/img_prod/PLA1/PLA1-1-720x540.png,3
23,REG1,Religión,Iglesia,Adorno religioso de altar de metal,0x0x0 (cm),admin/img_prod/REG1/REG1-720x540.png,3
24,RU1,Rural,Rústico  Artesa,Artesa madera con pie,110x51x61 (cm),admin/img_prod/RU1/RU1-720x540.png,3
25,PAR1,Paragüero,,Paragüero metal aro calado,1x1x1 (cm),admin/img_prod/PAR1/PAR1-720x540.png,3
26,GUA1,Guarnición,Imperio,Guarnición imperio mármol y bronce con reloj y 2 candelabros,0x0x0 (cm),admin/img_prod/GUA1/GUA1-720x540.png,3
27,PUR1,Puerta,Carcel,Puerta de cárcel de hierro,0x0x0 (cm),admin/img_prod/PUR1/PUR1-720x540.png,3
28,ALA2,Alacena,Cocina  Español,Alacena-armario de cuarterones,106x38x175 (cm),admin/img_prod/ALA2/ALA2-1-720x540.png,3
29,ALF2,Alfombra,Arabe  Comedor  Salón,Alfombra persa roja,215x165x1 (cm),admin/img_prod/ALF2/ALF2-1-720x540.png,3
30,CDM2,Centro de mesa,Adorno,Centro de mesa alabastro filo metal,0x0x0 (cm),admin/img_prod/CDM2/CDM2-720x540.png,3
31,AFC2,Alfombra de cama,Dormitorio,Alfombrín de cama rojo dibujos infantiles,97x80x1 (cm),admin/img_prod/AFC2/AFC2-720x540.png,3
32,AP2,Aparador,Alemán  Comedor,"Trinchero alemán con copete, juego AP1",140x80x180 (cm),admin/img_prod/AP2/AP2-1-720x540.png,3
33,AST2,Atrezzo astronomia,Astronomía,Pie de madera torneado para astrolabio,130x78x125 (cm),admin/img_prod/AST2/AST2-pie-720x540.png,3
34,TOR2,Tortura,Carcel,Garrote vil figurado,50x50x190 (cm),admin/img_prod/TOR2/TOR2-1-720x540.png,3
35,ARC2,Arcon,Descatalogado,,1x1x1 (cm),admin/img_prod/ARC2/LOGOTIPO VAZQUEZ- 720x540.png,3
36,AR2,Armario,Dormitorio  Inglesa,Armario inglés caoba puerta central espejo,175x53x230 (cm),admin/img_prod/AR2/AR2-720x540.png,3
37,ARM2,Armero,Militar,Armero de fusiles de pared,67x18x95 (cm),admin/img_prod/ARM2/ARM2-720x540.png,3
