,name,category,section,description,dimensions,image,page
0,CON7,Consola,Imperio  Recibidor,Consola imperio blanca y oro tapa figurada,107x55x81 (cm),admin/img_prod/CON7/CON7-1-720x540.png,17
1,COS7,,Costurero,Costurero pié con cesta,50x20x69 (cm),admin/img_prod/COS7/COS07.bmp,17
2,CU7,Cuadro,Retratos,Cuadro marco dorado fotografía Lembranzas (Autor Rubens),176x10x270 (cm),admin/img_prod/CU7/CU7-720x540.png,17
3,ANU7,Carteles y anuncios,Tienda,Cartel antiguo chapa anuncio americano,15x1x10 (cm),admin/img_prod/ANU7/ANU7-720x540.png,17
4,ESP7,Espejo,Recibidor  Salón,Espejo pared marco nogal tallado columnas,130x25x205 (cm),admin/img_prod/ESP7/ESP7-720x540.png,17
5,ES7,Estanteria,Rústico,Estantería madera palos torneados,61x20x125 (cm),admin/img_prod/ES7/ES7-2-720x540.png,17
6,EST7,Estufa,Calefaccion,Estufa chubesqui hierro de petroleo,25x25x90 (cm),admin/img_prod/EST7/EST7-720x540.png,17
7,ESTAT7,Estatua,Egipcio,Insignias egipcias diferentes,1x1x1 (cm),admin/img_prod/ESTAT7/ESTAT7-1-720x540.png,17
8,GN7,Galan de noche,Dormitorio,Galán de noche caoba articulado,35x35x96 (cm),admin/img_prod/GN7/GN7-1-720x540.png,17
9,AGU7,Aguamaniles,Dormitorio,Aguamanil niquelado,1x1x1 (cm),admin/img_prod/AGU7/AGU7-720x450.png,17
10,ADP7,Animales disecados en panoplia,,Cuernos diferentes,1x1x1 (cm),admin/img_prod/ADP7/ADP7-720x450.png,17
11,F7,Fichero,Despacho,Fichero madera de imprenta 17 cajones,88x36x71 (cm),admin/img_prod/F7/F7-1-720x540.png,17
12,MUS7,Instrumentos musicales,Piano  Musica,Piano de pared auténtico nogal,147x63x130 (cm),admin/img_prod/MUS7/MUS7-1-720x540.png,17
13,ADO7,Adornos,Salón,adorno mesa Talavera,1x1x1 (cm),admin/img_prod/ADO7/ADO7-720x540.png,17
14,DPT7,Deporte,Gimnasio,Colchoneta de gimnasio skay rojo,200x150x25 (cm),admin/img_prod/DPT7/DPT7-720x540.png,17
15,LAM7,Lámpara,Lámpara de mesa  Salón,Lámpara de mesa de barro pintada,1x1x1 (cm),admin/img_prod/LAM7/LAM7-720X540.png,17
16,FUM7,Artículos de fumador,Cenicero,Cenicero cristal caramelo pájaro,1x1x1 (cm),admin/img_prod/FUM7/FUM7-720x540.png,17
17,ASP7,Aspiradoras,Electrodomestico,Aspiradora antigua niquelada bolsa en barra,1x1x1 (cm),admin/img_prod/ASP7/ASP7-720x540.png,17
18,AZP7,Azulejos y platos de pared,Decoración,Azulejo de pared maja desnuda marco forja hierro,1x1x1 (cm),admin/img_prod/AZP7/AZP7-720x540.png,17
19,BAD7,Bandejas,,Bandeja metal con patas,1x1x1 (cm),admin/img_prod/BAD7/BAD7-720x540.png,17
20,BYC7,Atrezzo de bar y cafetería,Bar y cafetería,Botellas de cristal transparente cierre presión,1x1x1 (cm),admin/img_prod/BYC7/BYC7(BAR7-720x540).png,17
