,name,category,section,description,dimensions,image,page
0,ML11,Librería,Despacho  Italiano,Librería despacho italiana,170x30x152 (cm),admin/img_prod/ML11/ML11-1-720x540.png,27
1,MED11,Atrezzo medicina,Hospital  Medicina,Bandejas de porcelana antiguas de hospital,0x0x0 (cm),admin/img_prod/MED11/MED11-720x540.png,27
2,HOS11,Hospitales,Hospital  Medicina,Cama hospital antigua tubo blanco nudos,0x0x0 (cm),admin/img_prod/HOS11/HOS11-720x540.png,27
3,VAA11,Atrezzo vario,,Linternas de petaca,0x0x0 (cm),admin/img_prod/VAA11/VAA11-720x540.png,27
4,GRA11,Gramófonos y gramolas,Musica,Gramófono caja cuadrada negra con bocina,0x0x0 (cm),admin/img_prod/GRA11/GRA11-720x540.png,27
5,AST11,Atrezzo astronomia,Óptica,Prismáticos antiguos con su funda,1x1x1 (cm),admin/img_prod/AST11/AST11-720x540.png,27
6,SI11,Sillón,Frances  Salón  Sillería,Sillón Luis XV nogal tapizado tela flores,58x57x90 (cm),admin/img_prod/SI11/SI11-1-720x540.png,27
7,RAD11,Radios,,Radio antigua grande caja madera Telefunken,1x1x1 (cm),admin/img_prod/RAD11/RAD11-720x540.png,27
8,JAM11,Jamuga,Medieval,Jamuga respaldo tallado asiento cuero,57x53x87 (cm),admin/img_prod/JAM11/JAM11-1-720x540.png,27
9,MV11,Muebles varios,Taquillón,Taquillón con tapa mármol verde,177x31x72 (cm),admin/img_prod/MV11/MV11-720x540.png,27
10,JAU11,Jaula,,Jaula de madera pequeña,1x1x1 (cm),admin/img_prod/JAU11/JAU11-720x540.png,27
11,JUE11,Juego,,Visor de vistas de feria de madera con pie de metal,70x70x165 (cm),admin/img_prod/JUE11/JUE11-1-720x540.png,27
12,SIL11,Silla,Isabelino  Sillería,Silla isabelina negra tapizada damasco oro,50x45x98 (cm),admin/img_prod/SIL11/SIL11-1-720x540.png,27
13,MEC11,Mecedora,Salón,Mecedora caoba respaldo rejilla asiento negro,53x86x100 (cm),admin/img_prod/MEC11/MEC11-1-720x540.png,27
14,MOS11,Mostrador,Hotel  Tienda,Mostrador verde cuarterones,122x50x110 (cm),admin/img_prod/MOS11/MOS11-1-720x540.png,27
15,S11,Sofá,Frances  Salón  Sillería,Sofá Luis XV nogal tapizado tela flores,155x60x93 (cm),admin/img_prod/S11/S11-1-720x540.png,27
16,ILU11,Iluminación,,Cuadro de luces metálico gris 2 puertas,70x22x80 (cm),admin/img_prod/ILU11/ILU11-1-720x540.png,27
17,PV11,Pie de vela,Candelero  Iglesia  Medieval  Hachero,Hachero de suelo hierro trenzado con faldón cruces,32x32x150 (cm),admin/img_prod/PV11/PV11-720x540.png,27
18,SEC11,Secreter,Descatalogado,Bureau americano de persiana,115x75x115 (cm),admin/img_prod/SEC11/SEC11-1-removebg-preview.png,27
19,VI11,Vitrina,,Vitrina de pared roble puerta cristal prensado,63x26x102 (cm),admin/img_prod/VI11/VI11-720x540.png,27
20,PEL11,Peluquería,,Sillones de peluquería pie niquelado tapizados skay gris,50x56x72 (cm),admin/img_prod/PEL11/PEL11-1-720x540.png,27
21,PER11,Perchero,Italiano  Recibidor,Perchero de pared niquelado con formica y skay verde,95x15x175 (cm),admin/img_prod/PER11/PER11-720x540.png,27
22,SR11,Silla de ruedas,Hospital,Silla de rueda plegable tapizada skay azul con reposapies,60x115x120 (cm),admin/img_prod/SR11/SR11 720x540.png,27
23,PC11,Pizarra,Colegio,Pizarra de colegio marco chapa marrón,250x5x125 (cm),admin/img_prod/PC11/PC11-720x540.png,27
24,CAM11,Cámara fotos y vídeo,Cámaras de fotos,Cámara de fotos reflex antigua FUJICA,1x1x1 (cm),admin/img_prod/CAM11/CAM11-720x540.png,27
25,JUZ11,Juzgado,Juzgados,Mazo de juez liso con su tabla rectangular,1x1x1 (cm),admin/img_prod/JUZ11/JUZ11-720x540.png,27
26,QIN11,Quinqués,,Quinqué estaño adorno ángel,1x1x1 (cm),admin/img_prod/QIN11/QIN11-720x540.png,27
27,MOU11,Mobiliario urbano,Calle  Oficios  Profesiones,Boca de incendio roja,0x0x0 (cm),admin/img_prod/MOU11/MOU11-720x540.png,27
28,ARA11,Atrezzo Árabe,Arabe,Mesa árabe hexagonal tapa celosía,40x40x50 (cm),admin/img_prod/ARA11/ARA11-1-720x540.png,27
29,PAP11,Papelera,,Papelera de chapa cuadrada,0x0x0 (cm),admin/img_prod/PAP11/PAP11-720x540.png,27
30,FIG11,Figuras,Adorno,Figura de escayola grande jaspeada hombre años 80,0x0x0 (cm),admin/img_prod/FIG11/FIG11-720x540.png,27
31,PLA11,Playa,Camping,Sillón de camping tumbona plegable tela rayas,58x60x85 (cm),admin/img_prod/PLA11/PLA11-1-720x540.png,27
32,REG11,Religión,Cruces  Religioso  Románico,Crucifijo talla madera románico,0x0x0 (cm),admin/img_prod/REG11/REG11-720x540.png,27
33,RU11,Rural,Rústico  Oficios,Tajo de madera de patas,0x0x0 (cm),admin/img_prod/RU11/RU11-720x540.png,27
34,ALA12,Alacena,Cocina,Alacena de cocina pintada,80x30x160 (cm),admin/img_prod/ALA12/ALA12-1-720x540.png,27
35,ALF12,Alfombra,Comedor  Salón,Alfombra crema con flores,230x160x1 (cm),admin/img_prod/ALF12/ALF12-720x540.png,27
36,AFC12,Alfombra de cama,Arabe  Dormitorio,Alfombrín de cama persa rojo,98x48x1 (cm),admin/img_prod/AFC12/AFC12-720x540.png,27
37,AP12,Aparador,Comedor  Modernista,"Aparador modernista oscuro con copete, mal estado.",110x45x95 (cm),admin/img_prod/AP12/AP12-1-720x540.png,27
38,ARC12,Arcon,Dormitorio,Arcón tapizado damasco rojo con asas,100x36x59 (cm),admin/img_prod/ARC12/ARC12-1-720x540.png,27
39,AR12,Armario,Descatalogado,Descatalogado,0x0x0 (cm),admin/img_prod/AR12/LOGOTIPO VAZQUEZ- 720x540.png,27
40,ARM12,Armero,Medieval,Porta espadas madera con escudos,100x180x75 (cm),admin/img_prod/ARM12/ARM12-720x540.png,27
41,ATD12,Ataud,,Ataúd de bebé con cruz ambientado,24x62x24 (cm),admin/img_prod/ATD12/ATD12-720x540.png,27
42,ATR12,Atril,,Atril figurado subastas madera nogal,53x85x141 (cm),admin/img_prod/ATR12/ATR12-1-720x540.png,27
43,BAC12,Banco,Rústico,Banco arca rústico madera,170x58x107 (cm),admin/img_prod/BAC12/BAC12-720x540.png,27
44,BAN12,Banqueta,Cubista,Banqueta cubista asiento tapizado,58x48x45 (cm),admin/img_prod/BAN12/BAN12-1-720x540.png,27
45,M12,Mesa,Auxiliar  Español,Mesa alta estilo español patas torneadas,110x75x76 (cm),admin/img_prod/M12/M12-1-720x540.png,27
46,BA12,Baño,Bañera  Rústico,Bañera de cinc respaldo forma,62x130x65 (cm),admin/img_prod/BA12/BA12-1-720x540.png,27
47,BRL12,Barril,Bidón,Bidón de chapa pequeño con asas y grifo,40x40x75 (cm),admin/img_prod/BRL12/BRL12-1-720x540.png,27
