,name,category,section,description,dimensions,image,page
0,VET17,Ventilador,,Ventilador de suelo caja blanca y gris,1x1x1 (cm),admin/img_prod/VET17/VET17-720x540.png,39
1,REL17,Reloj,Salón,Reloj de pared nogal cristal cuadrado con péndulo copete forma,1x1x1 (cm),admin/img_prod/REL17/REL17-720x540.png,39
2,TEL17,Telefonía,,Teléfonos de mesa antiguos de disco,0x0x0 (cm),admin/img_prod/TEL17/TEL17-1-720x540.png,39
3,MYN17,Maletas y neceseres de viaje,Viaje,Maleta antigua fibra corinto,55x40x25 (cm),admin/img_prod/MYN17/MYN17-720x540.png,39
4,MYC17,Maletines y carteras,,Maletines ejecutivo skay,0x0x0 (cm),admin/img_prod/MYC17/MYC17-720x540.png,39
5,TOC17,Objetos de tocador,Tocador,Juego de tocador cristal tallado peana plateada (3 piezas),0x0x0 (cm),admin/img_prod/TOC17/TOC17-720x540.png,39
6,ARA17,Atrezzo Árabe,Descatalogado,Descatalogado,0x0x0 (cm),admin/img_prod/ARA17/LOGOTIPO VAZQUEZ- 720x540.png,39
7,JUG17,Juguetes,Juguete,Juego antiguo para dibujar Spirotot con su caja,0x0x0 (cm),admin/img_prod/JUG17/JUG17-720x540.png,39
8,JAR17,Jarrones y jarras,Adorno  Decoración  Salón,Jarras dibujos gallos,0x0x0 (cm),admin/img_prod/JAR17/JAR17-720x540.png,39
9,MYS17,Tocadiscos y altavoces,Electrónica  Grabadoras y magnetófonos  Sonido,Grabadora-magnetófono Ingra,0x0x0 (cm),admin/img_prod/MYS17/MYS17-720x540.png,39
10,TP17,Tapices y estandartes,Palacio,Tapiz bordado familia francesa siglo XVII con bastidor,124x10x203 (cm),admin/img_prod/TP17/TP17-720x540.png,39
11,ML17,Librería,Americano  Despacho,Librería despacho americana puertas madera,108x37x174 (cm),admin/img_prod/ML17/ML17-1-720x540.png,39
12,MED17,Atrezzo medicina,Hospital  Medicina,Cuñas de cristal,0x0x0 (cm),admin/img_prod/MED17/MED17-720x540.png,39
13,HOS17,Hospitales,Hospital  Medicina,Cama Hospital con ruedas somier articulado,200x80x100 (cm),admin/img_prod/HOS17/HOS17-1-720x540.png,39
14,VAA17,Atrezzo vario,,Llaveros con llaves actuales,0x0x0 (cm),admin/img_prod/VAA17/VAA17-720x540.png,39
15,TYV17,Televisores y vídeos,Televisor,Televisión caja negra inter (B/N),0x0x0 (cm),admin/img_prod/TYV17/TYV17-720x540.png,39
16,SI17,Sillón,Frances  Salón,Sillón Luis XVI nogal y rejilla (puede ir con cojín),56x50x89 (cm),admin/img_prod/SI17/SI017-1-720x540.png,39
17,RAD17,Radios,,Radio antigua pequeña verde y crema dial redondo,1x1x1 (cm),admin/img_prod/RAD17/RAD17-720x540.png,39
18,JAM17,Jamuga,Español,Jamuga plegable madera tallada tapizada damasco rojo,1x1x1 (cm),admin/img_prod/JAM17/JAM17-720x540.png,39
19,MV17,Muebles varios,Japonés  Taquillón,Taquillón japonés rojo y oro,110x33x82 (cm),admin/img_prod/MV17/MV17-1-720x540.png,39
20,JUE17,Juego,Futbolín  Bar y cafetería,Futbolín auténtico de madera con bolas,140x80x88 (cm),admin/img_prod/JUE17/JUE17-1-720x540.png,39
21,SIL17,Silla,Comedor  Frances  Salón,Silla Luis XV dorada rejilla respaldo medallón,1x1x1 (cm),admin/img_prod/SIL17/SIL17 (HAY 6) 720x540.png,39
22,MEC17,Mecedora,Descatalogado,,0x0x0 (cm),admin/img_prod/MEC17/LOGOTIPO VAZQUEZ- 720x540.png,39
23,MOS17,Mostrador,Tienda,Expositor de revistas varilla niquelada,47x47x152 (cm),admin/img_prod/MOS17/MOS32-1-720x540.png,39
