,name,category,section,description,dimensions,image,page
0,CDM15,Centro de mesa,Adorno,Centro de mesa de loza forma frutero,0x0x0 (cm),admin/img_prod/CDM15/CDM15-720x540.png,36
1,PAP15,Papelera,,Papelera plástico gris,0x0x0 (cm),admin/img_prod/PAP15/PAP15-720x540.png,36
2,FIG15,Figuras,Adorno,Figura de escayola pintada caballo con peana,0x0x0 (cm),admin/img_prod/FIG15/FIG15-720x540.png,36
3,PLA15,Playa,Camping,Sillón de camping plegable tela dibujos,33x57x75 (cm),admin/img_prod/PLA15/PLA15-1-720x540.png,36
4,REG15,Religión,Cruces  Religioso,Cruz de mesa de madera,0x0x0 (cm),admin/img_prod/REG15/REG15-720x540.png,36
5,RU15,Rural,,Caldero de cobre con asa central,56x56x30 (cm),admin/img_prod/RU15/RU15-720x540.png,36
6,ALA16,Alacena,Descatalogado,Descatalogado,1x1x1 (cm),admin/img_prod/ALA16/LOGOTIPO VAZQUEZ- 720x540.png,36
7,ALF16,Alfombra,Arabe  Comedor  Salón,Alfombra persa verde,245x200x1 (cm),admin/img_prod/ALF16/ALF16-720x540.png,36
8,AFC16,Alfombra de cama,Dormitorio,Alfombrín de cama jarapa,93x60x1 (cm),admin/img_prod/AFC16/AFC16-720x540.png,36
9,AP16,Aparador,Comedor  Inglesa,Aparador inglés tapa mármol con espejo,180x60x100 (cm),admin/img_prod/AP16/AP16-1-720x540.png,36
10,ARC16,Arcon,Rústico,Arcón liso pino patas,115x55x70 (cm),admin/img_prod/ARC16/ARC16-1-720x540.png,36
11,AR16,Armario,Dormitorio  Valenciano,Armario valenciano nogal 4 puertas,220x63x203 (cm),admin/img_prod/AR16/AR16-720x540.png,36
12,ATR16,Atril,Iglesia  Religioso,Atril de altar de metal calado,1x1x1 (cm),admin/img_prod/ATR16/ATR16-720x540.png,36
13,BAC16,Banco,Iglesia,Banco de iglesia de listones,200x50x83 (cm),admin/img_prod/BAC16/BAC16-1-720x540.png,36
14,BAN16,Banqueta,,Banqueta forma riñón caoba,65x40x43 (cm),admin/img_prod/BAN16/BAN16-1-720x540.png,36
15,M16,Mesa,Auxiliar  Español,Mesa estilo español patas torneadas,100x46x78 (cm),admin/img_prod/M16/M16-1-720x540.png,36
16,BA16,Baño,Lavabo,Lavabo antiguo 2 senos con pie,125x56x70 (cm),admin/img_prod/BA16/BA16-720x540.png,36
17,BAU16,Baul,Viaje  Almacenaje,Baúl skay marrón tapa forma cinchas hierro,76x44x38 (cm),admin/img_prod/BAU16/BAU16-1-720x540.png,36
18,ESC16,Escaleras,Rústico,Escalera de troncos alta,50x10x400 (cm),admin/img_prod/ESC16/ESC16-720x540.png,36
19,BIO16,Biombo,Despacho,Biombo oficina plastificado gris con cristal,120x10x142 (cm),admin/img_prod/BIO16/BIO16-720x540.png,36
20,CAB16,Caballete,Pintor,Caballete de pintor plegable 3 pies,60x60x190 (cm),admin/img_prod/CAB16/CAB16-720x540.png,36
21,CAR16,Caja registradora,Tienda,Caja registradora digital con cajón rojo,35x40x30 (cm),admin/img_prod/CAR16/CAR16-720x540.png,36
22,CA16,Cama,Dormitorio,Cabecero para cama de 90 forja,95x6x128 (cm),admin/img_prod/CA16/CA16-720x540.png,36
23,CO16,Cocinas,Varios cocina,Cocina  de carbón de hierro negra grande,160x70x80 (cm),admin/img_prod/CO16/CO16-1-720x540.png,36
24,COM16,Comoda,Dormitorio,Cómoda caoba oscura 4 cajones con tapa mármol,115x55x103 (cm),admin/img_prod/COM16/COM16-1-720x540.png,36
25,CON16,Consola,Alemán  Recibidor,Consola nogal alemana patas torneadas,128x52x98 (cm),admin/img_prod/CON16/CON16-1-720x540.png,36
26,CU16,Cuadro,Paisaje,Cuadro marco madera liso fotografía fiesta campestre,250x10x235 (cm),admin/img_prod/CU16/CU16-720x540.png,36
27,ANU16,Carteles y anuncios,Tienda,Cartel  antiguo chapa Mutua,25x1x10 (cm),admin/img_prod/ANU16/ANU16-720x540.png,36
28,ESP16,Espejo,Atrezzo baño,Espejo marco cromado con  2 apliques,76x14x81 (cm),admin/img_prod/ESP16/ESP16-720x540.png,36
29,ES16,Estanteria,Despacho,Estantería embero con puerta,120x22x75 (cm),admin/img_prod/ES16/ES16-1-720x540.png,36
30,ARA16,Atrezzo Árabe,Descatalogado,Descatalogado,0x0x0 (cm),admin/img_prod/ARA16/LOGOTIPO VAZQUEZ- 720x540.png,36
31,EST16,Estufa,Calefaccion,Estufa de butano marrón Agnis,42x46x72 (cm),admin/img_prod/EST16/EST16-720x540.png,36
32,ESTAT16,Estatua,Religioso,Estatua imagen Sagrado Corazón de escayola,46x34x120 (cm),admin/img_prod/ESTAT16/ESTAT16-1-720x540.png,36
33,GN16,Galan de noche,Dormitorio,Galán de noche nogal con cajón,48x36x112 (cm),admin/img_prod/GN16/GN16-1-720x540.png,36
34,F16,Fichero,Americano  Despacho,Fichero madera claro de persiana con patas,49x55x90 (cm),admin/img_prod/F16/F16-1-720x540.png,36
35,MUS16,Instrumentos musicales,Musica,Guitarra española auténtica,1x1x1 (cm),admin/img_prod/MUS16/MUS16-1-720x540.png,36
36,ADO16,Adornos,Salón,Adorno meda loza gris,1x1x1 (cm),admin/img_prod/ADO16/ADO16-720x540.png,36
37,DPT16,Deporte,Bicicleta  Gimnasio,Bicicleta estática BH asiento rojo,110x60x105 (cm),admin/img_prod/DPT16/DPT16-720x540.png,36
38,LAM16,Lámpara,Lámpara de mesa  Salón,Lámpara de mesa cristal peana cilíndrica,0x0x0 (cm),admin/img_prod/LAM16/LAM16-720X540.png,36
39,FUM16,Artículos de fumador,Cenicero,Cenicero metal grueso,1x1x1 (cm),admin/img_prod/FUM16/FUM16-720x540.png,36
40,AZP16,Azulejos y platos de pared,Decoración,Azulejos de pared escenas taurinas diferentes,1x1x1 (cm),admin/img_prod/AZP16/AZP16-720x540.png,36
41,BAD16,Bandejas,Menaje,Bandejas chapa relieve antiguas,1x1x1 (cm),admin/img_prod/BAD16/BAD16-720x540.png,36
42,BYC16,Atrezzo de bar y cafetería,Bar y cafetería,Botellas de cristal de licor actuales,1x1x1 (cm),admin/img_prod/BYC16/BYC16(BAR16-720x540).png,36
43,COL16,Atrezzo colegio,Colegio,Mochilas colegio con ruedas,1x1x1 (cm),admin/img_prod/COL16/COL16-720x540.png,36
44,DES16,Atrezzo despacho,Despacho  Escribanías y tinteros,Escribanía plateada con tintero cristal,1x1x1 (cm),admin/img_prod/DES16/DES16-720x540.png,36
45,BAS16,Bascula,Farmacia  Hospital,Báscula de farmacia para bebé,55x34x20 (cm),admin/img_prod/BAS16/BAS16-720x540.png,36
46,BRA16,Brasero,Calefaccion,Brasero bola pletina chapa ( a juego 1 más grande),20x20x52 (cm),admin/img_prod/BRA16/BRA16-720x540.png,36
47,BEB16,Bebé,Trona,Trona de niño niquelada plástico azul claro,1x1x1 (cm),admin/img_prod/BEB16/BEB16-720x540.png,36
