,name,category,section,description,dimensions,image,page
0,SI3,Sillón,Isabelino  Salón  Sillería,Sillón isabelino negro tapizado capitoné tela teja,65x65x105 (cm),admin/img_prod/SI3/SI3-1-720x540.png,8
1,RAD3,Radios,,Radio antigua caja madera 3 mandos Philips,1x1x1 (cm),admin/img_prod/RAD3/RAD3-720x540.png,8
2,JAM3,Jamuga,Español,Jamuga española tallada asiento y respaldo tapizado terciopelo rojo,70x43x80 (cm),admin/img_prod/JAM3/JAM3-1-720x540.png,8
3,MV3,Muebles varios,Chifonier  Secreteres,Chifonier-secreter caoba y raíz,100x45x160 (cm),admin/img_prod/MV3/MV3-1-720x540.png,8
4,JAU3,Jaula,,Jaula cuadrada antigua de alambre,39x39x70 (cm),admin/img_prod/JAU3/JAU3-720x540.png,8
5,JUE3,Juego,Casino,Mesa de Black Jack patas torneadas,158x84x77 (cm),admin/img_prod/JUE3/JUE3-1-720x540.png,8
6,JU3,Juguetero,,Juguetero de caoba con espejo,54x26x165 (cm),admin/img_prod/JU3/JU3-1-720x540.png,8
7,SIL3,Silla,Isabelino  Sillería,Silla isabelina negra tapizada respaldo capitoné,50x50x91 (cm),admin/img_prod/SIL3/SIL3-1-720x540.png,8
8,LM3,Litera de mano,Edad media,Litera de transporte lisa marrón,72x90x161 (cm),admin/img_prod/LM3/LM3-1-720X540.png,8
9,MEC3,Mecedora,Italiano,Mecedora italiana tapizada skay verde,50x62x105 (cm),admin/img_prod/MEC3/MEC3-1-720x540.png,8
10,MOS3,Mostrador,Bar y cafetería,Mostrador de bar con barra,225x50x120 (cm),admin/img_prod/MOS3/MOS3-1-720x540.png,8
11,S3,Sofá,Isabelino  Salón  Sillería,Sofá isabelino negro tapizado respaldo capitoné,160x65x105 (cm),admin/img_prod/S3/S3-1-720x540.png,8
12,ILU3,Iluminación,,Cuadro de luz negro antiguo con cuchillas,130x15x70 (cm),admin/img_prod/ILU3/ILU3-720X540.png,8
13,PV3,Pie de vela,Hachero  Iglesia  Medieval,Hachero de suelo 5 luces en plafón,0x0x0 (cm),admin/img_prod/PV3/PV3-720x540.png,8
14,SEC3,Secreter,Inglesa  Salón,Secreter inglés nogal desplegable,122x55x90 (cm),admin/img_prod/SEC3/SEC3-1-720x540.png,8
15,VI3,Vitrina,Comedor  Salón,Vitrina de madera castaño patas forma,98x40x155 (cm),admin/img_prod/VI3/VI3-1-720x540.png,8
16,PEL3,Peluquería,,Secador de peluquería blanco con pie niquelado,53x53x155 (cm),admin/img_prod/PEL3/PEL3-1-720x540.png,8
17,SR3,Silla de ruedas,Hospital,Silla de ruedas de geriátrico skay negro,56x100x90 (cm),admin/img_prod/SR3/SR3-720x540.png,8
18,PC3,Pizarra,Colegio,Pizarra de colegio marco madera con pie,220x60x180 (cm),admin/img_prod/PC3/PC3-720x540.png,8
19,BUZ3,Buzones,Portal,Buzón de cartas metal (individual),0x0x0 (cm),admin/img_prod/BUZ3/BUZ3-720x540.png,8
20,CAM3,Cámara fotos y vídeo,Cámaras de vídeo,Cámara de vídeo U-Matic 90' con su funda,1x1x1 (cm),admin/img_prod/CAM3/CAM3-720x540.png,8
21,JUZ3,Juzgado,Juzgados,Barandilla curva de juzgado balaustres nogal,104x50x85 (cm),admin/img_prod/JUZ3/JUZ3-1-720x540.png,8
22,QIN3,Quinqués,,Quinqué columna alabastro depósito cristal,1x1x1 (cm),admin/img_prod/QIN3/QIN3-720x540.png,8
23,REV3,Revistero,Salón,Revistero de pared de aluminio,0x0x0 (cm),admin/img_prod/REV3/REV3-720x540.png,8
24,MOU3,Mobiliario urbano,,Baca de taxi con letrero,0x0x0 (cm),admin/img_prod/MOU3/MOU3-720x540.png,8
25,LOG3,Logicine,Salón,Macetero madera columna estriada,42x42x112 (cm),admin/img_prod/LOG3/LOG3-720x540.png,8
26,CDM3,Centro de mesa,Adorno,Centro de mesa de alpaca forma rombo,0x0x0 (cm),admin/img_prod/CDM3/CDM3-720x540.png,8
27,PAP3,Papelera,,Papelera cilíndrica acero alta,0x0x0 (cm),admin/img_prod/PAP3/PAP3-720x540.png,8
28,FIG3,Figuras,Adorno,Figura de barro cura,0x0x0 (cm),admin/img_prod/FIG3/FIG3-720x540.png,8
29,PLA3,Playa,Hamaca  Bambú  Jardín,Hamaca de bambú con tela flores,0x0x0 (cm),admin/img_prod/PLA3/PLA3-1-720x540.png,8
30,REG3,Religión,Religioso,Adorno de mesa religioso,0x0x0 (cm),admin/img_prod/REG3/REG3-720x540.png,8
31,RU3,Rural,Rústico  Cantarera,Cantarera de 2 frente recortado,76x37x74 (cm),admin/img_prod/RU3/RU3-1-720x540.png,8
32,PAR3,Paragüero,,Paragüero metal,1x1x1 (cm),admin/img_prod/PAR3/PAR3-720x540.png,8
33,GUA3,Guarnición,,Guarnición bronce con figura peana madera,0x0x0 (cm),admin/img_prod/GUA3/GUA3-1-720x540.png,8
34,ALA4,Alacena,Descatalogado,descatalogado,0x0x0 (cm),admin/img_prod/ALA4/LOGOTIPO VAZQUEZ- 720x540.png,8
35,ALF4,Alfombra,Arabe  Comedor  Salón,Alfombra persa roja,235x170x1 (cm),admin/img_prod/ALF4/ALF4-720x540.png,8
