,name,category,section,description,dimensions,image,page
0,HOS5,Hospitales,Camillas  Hospital  Medicina,Camilla de ambulancia skay negra,163x60x85 (cm),admin/img_prod/HOS5/HOS5-1-720x540.png,13
1,VAA5,Atrezzo vario,,Bolsas de agua antiguas,0x0x0 (cm),admin/img_prod/VAA5/VAA5-720x540.png,13
2,GRA5,Gramófonos y gramolas,Musica,Gramófono caja cuadrada con bocina,0x0x0 (cm),admin/img_prod/GRA5/GRA5-720x540.png,13
3,ARA5,Atrezzo Árabe,Arabe,Mesa árabe ochavada nogal tallada,80x65x53 (cm),admin/img_prod/ARA5/ARA5-1-720x540.png,13
4,SI5,Sillón,Frances  Salón  Sillería,Sillón Luis Xv nogal tapizado tela roja flores,63x55x108 (cm),admin/img_prod/SI5/SI5-1-720x540.png,13
5,RAD5,Radios,,Radio antigua caja madera 4 mandos dial cristal,1x1x1 (cm),admin/img_prod/RAD5/RAD5-720x540.png,13
6,JAM5,Jamuga,Español,Jamuga española tallada asiento y respaldo cuero,70x45x82 (cm),admin/img_prod/JAM5/JAM5-1-720x540.png,13
7,MV5,Muebles varios,Jacobino  Mueble bar,Muebles bar-gramola jacobino tallado,71x44x110 (cm),admin/img_prod/MV5/MV5-1-720x540.png,13
8,JAU5,Jaula,,Jaula de varilla pequeña para hamster,1x1x1 (cm),admin/img_prod/JAU5/JAU5-720x540.png,13
9,JUE5,Juego,Casino,Mesa de juego patas torneadas,85x85x81 (cm),admin/img_prod/JUE5/JUE5-1-720x540.png,13
10,JU5,Juguetero,,Juguetero pintado crema y bronces y con espejo ovalado,51x26x160 (cm),admin/img_prod/JU5/JU5-1-720x540.png,13
11,SIL5,Silla,Frances  Sillería,Silla Luis XV nogal tapizada tela flores,50x48x100 (cm),admin/img_prod/SIL5/SIL5-1-720x540.png,13
12,LM5,Litera de mano,Edad media,Sillón con varas con toldo rojo,70x55x160 (cm),admin/img_prod/LM5/LM5-1-720x540.png,13
13,MEC5,Mecedora,Curvado,Mecedora curvada rejilla asiento tapizado,53x95x100 (cm),admin/img_prod/MEC5/MEC5-1-720x540.png,13
14,MOS5,Mostrador,Arabe,Mostrador árabe frente arcos con celosía pintado marrón,246x67x104 (cm),admin/img_prod/MOS5/MOS5-1-720x540.png,13
15,S5,Sofá,Frances  Salón  Sillería,Sofá Luis XV nogal tapizado tela flores,150x60x114 (cm),admin/img_prod/S5/S5-1-720x540.png,13
16,ILU5,Iluminación,,Cuadro de luz gris con llaves,40x20x60 (cm),admin/img_prod/ILU5/ILU5-1-720x540.png,13
17,PV5,Pie de vela,Hachero  Iglesia  Medieval,Hachero de suelo 5 luces en plafón grande,50x50x176 (cm),admin/img_prod/PV5/PV5-720x540.png,13
18,SEC5,Secreter,Frances  Salón,Secreter Luis XV blanco con flores pintadas,70x45x90 (cm),admin/img_prod/SEC5/SEC5-1-720x540.png,13
19,VI5,Vitrina,Comedor  Frances  Salón,Vitrina francesa caoba y bronces,53x43x163 (cm),admin/img_prod/VI5/VI5-1-720x540.png,13
20,PEL5,Peluquería,Lavabo,Lavacabezas de peluquería antiguo negro con mueble hierro forrado formica madera,46x60x105 (cm),admin/img_prod/PEL5/PEL5-1-720x540.png,13
21,SR5,Silla de ruedas,Hospital,Silla de ruedas tapizada gris fija,56x110x96 (cm),admin/img_prod/SR5/SR5-720x540.png,13
22,PC5,Pizarra,Colegio,Pizarra de colegio marco aluminio,300x5x110 (cm),admin/img_prod/PC5/PC5-720x540.png,13
23,BUZ5,Buzones,Tienda,Buzón de quinielas antiguo,0x0x0 (cm),admin/img_prod/BUZ5/BUZ5-1-720x540.png,13
24,CAM5,Cámara fotos y vídeo,Proyectores de super ocho,Proyector 8mm BAUER,1x1x1 (cm),admin/img_prod/CAM5/CAM5-720x540.png,13
25,JUZ5,Juzgado,Juzgados,Estrado de juzgado abierto de madera cuadrado,84x80x104 (cm),admin/img_prod/JUZ5/JUZ5-1-720x540.png,13
26,QIN5,Quinqués,,Quinqué columna cristal blanco,1x1x1 (cm),admin/img_prod/QIN5/QIN5-720x540.png,13
27,REV5,Revistero,Mimbre,Revistero mimbre y bambú,0x0x0 (cm),admin/img_prod/REV5/REV5-720x540.png,13
28,MOU5,Mobiliario urbano,Descatalogado,,0x0x0 (cm),admin/img_prod/MOU5/LOGOTIPO VAZQUEZ- 720x540.png,13
29,LOG5,Logicine,Hospital,Fregadero de acero de hospital,0x0x0 (cm),admin/img_prod/LOG5/LOG5-1-720x540.png,13
30,CDM5,Centro de mesa,Adorno,Centro de mesa de barro pintado,0x0x0 (cm),admin/img_prod/CDM5/CDM5-720x540.png,13
31,PAP5,Papelera,,Papelera grande de alambre,0x0x0 (cm),admin/img_prod/PAP5/PAP5-720x540.png,13
32,FIG5,Figuras,Adorno,Figura de cartón meninas,0x0x0 (cm),admin/img_prod/FIG5/FIG5-720x540.png,13
33,PLA5,Playa,Camping,Silla de camping plegable tela flores,0x0x0 (cm),admin/img_prod/PLA5/PLA5-1-720x540.png,13
34,REG5,Religión,Descatalogado,,0x0x0 (cm),admin/img_prod/REG5/LOGOTIPO VAZQUEZ- 720x540.png,13
35,RU5,Rural,Rústico  Cantarera,Cantarera de 3 frente recortado,105x37x74 (cm),admin/img_prod/RU5/RU5-1-720x540.png,13
36,PAR5,Paragüero,,Paragüero madera tallada,1x1x1 (cm),admin/img_prod/PAR5/PAR5-720x540.png,13
37,GUA5,Guarnición,Imperio,Guarnición imperio metal grabado,0x0x0 (cm),admin/img_prod/GUA5/GUA5-720x540.png,13
38,ALA6,Alacena,,Alacena pintada,70x40x184 (cm),admin/img_prod/ALA6/ALA6-1-720x540.png,13
39,ALF6,Alfombra,Arabe  Comedor  Salón,Alfombra persa roja,250x170x1 (cm),admin/img_prod/ALF6/ALF6-720x540.png,13
40,AFC6,Alfombra de cama,Dormitorio,Alfombrín de cama fino persa verde con fleco,100x60x1 (cm),admin/img_prod/AFC6/AFC6-720x540.png,13
41,AP6,Aparador,Comedor  Estilo mil novecientos,Aparador 1900 2 cuerpos puertas talladas,130x55x240 (cm),admin/img_prod/AP6/AP6-720x540.png,13
42,AST6,Atrezzo astronomia,Descatalogado,descatalogado,0x0x0 (cm),admin/img_prod/AST6/LOGOTIPO VAZQUEZ- 720x540.png,13
43,TOR6,Tortura,Carcel,Cepo de tortura con  3 argollas de hierro,100x10x62 (cm),admin/img_prod/TOR6/TOR6-720x540.png,13
44,ARC6,Arcon,Dormitorio,Arcón talla lisa con patas,140x52x79 (cm),admin/img_prod/ARC6/ARC6-1-720x540.png,13
45,AR6,Armario,Dormitorio,Armario nogal plumeado,106x50x240 (cm),admin/img_prod/AR6/AR6-1-720x540.png,13
46,ARM6,Armero,Militar,Armero para fusiles nogal desmontable,156x27x130 (cm),admin/img_prod/ARM6/ARM6-1-720x540.png,13
47,ATD6,Ataud,,Ataúd de pino ambientado,60x190x40 (cm),admin/img_prod/ATD6/ATD6-1-720x540.png,13
