,name,category,section,description,image,page,length [cm],depth [cm],height [cm]
0,ALF1,Alfombra,Arabe,Alfombra persa marrón (tiene unas manchas que no se quitan).,admin/img_prod/ALF1/ALF1-720x540.png,1,460,340,1
1,ADO1,Adornos,,Vitrina con abanico,admin/img_prod/ADO1/ADO1-720x540.png,1,100,10,60
2,AFC1,Alfombra de cama,Dormitorio,Alfombrín de cama círculos azules,admin/img_prod/AFC1/AFC1-720x540.png,1,150,72,1
3,AP1,Aparador,Alemán  Comedor,Aparador alemán 2 cuerpos,admin/img_prod/AP1/AP1-720x540.png,1,207,64,300
4,AST1,Atrezzo astronomia,Astronomía,Pie de madera para astrolabio,admin/img_prod/AST1/AST1-pie-720x540.png,1,78,78,130
5,TOR1,Tortura,Carcel,Silla eléctrica figurada,admin/img_prod/TOR1/TOR1-1-720x540.png,1,65,60,120
6,ARC1,Arcon,Dormitorio,Arcón talla figuras vascas con tablero,admin/img_prod/ARC1/ARC1-1-720x540.png,1,136,54,80
7,AR1,Armario,Dormitorio,Armario raíz y caoba 2 puertas espejo y cajones,admin/img_prod/AR1/AR1-720x540.png,1,150,57,225
8,ARM1,Armero,Militar,Armero para fusiles con cajones,admin/img_prod/ARM1/ARM1-1-720x540.png,1,70,22,130
9,ATD1,Ataud,,Ataúd de niño pintado crema con cruz,admin/img_prod/ATD1/ATD1-1-720x540.png,1,43,100,30
10,ATR1,Atril,Religioso,Atril facistol columna torneada,admin/img_prod/ATR1/ATR1-1-720x540.png,1,70,70,170
11,BL1,Balancin,Columpio  Jardín,Balancín de jardín 2 cojines,admin/img_prod/BL1/BL1-1-720x540.png,1,140,135,175
12,BAC1,Banco,Portugues,Banco portugués respaldo alto torneado,admin/img_prod/BAC1/BAC1-1-720x540.png,1,154,53,185
13,BAN1,Banqueta,Bambú  Jardín,Banqueta bambú cuadrada,admin/img_prod/BAN1/BAN1-1-720x540.png,1,36,36,54
14,M1,Mesa,Jardín,Mesa jardín de rejilla tapa cristal,admin/img_prod/M1/M1-1-720x540.png,1,70,70,47
15,BA1,Baño,Bañera,Bañera hierro fundido con patas garras doradas,admin/img_prod/BA1/BA1-1-720x540.png,1,181,80,70
16,BAR1,Bargueño,Gótico,Bargueño gótico con tapa hierros con pie,admin/img_prod/BAR1/BAR1-1-720x540.png,1,95,35,150
17,BRL1,Barril,Bar y cafetería  Rústico,Barril de madera grande,admin/img_prod/BRL1/BRL1-1-720x540.png,1,60,60,93
18,BAS1,Bascula,Farmacia  Hospital,Báscula de farmacia forrada imitación madera,admin/img_prod/BAS1/BAS1-1-720x540.png,1,47,45,132
19,BAU1,Baul,Americano  Viaje,Baúl armario americano verde,admin/img_prod/BAU1/BAU1-1-720x540.png,1,58,58,103
