,name,category,section,description,image,page,length [cm],depth [cm],height [cm]
20,BEB1,Bebé,Columpio,Columpio de bebé para puerta (saltador),admin/img_prod/BEB1/BEB1-720x540.png,1,1,1,1
21,PER1,Perchero,Español  Recibidor,Perchero de pared estilo español tallado cabezas,admin/img_prod/PER1/PER1-720x540.png,1,110,10,190
22,ESC1,Escaleras,Tienda,Escalera de tijera pintada verde,admin/img_prod/ESC1/ESC1-720x540.png,1,50,90,140
23,BIO1,Biombo,Dormitorio,Biombo 4 hojas tapizado rojo y oro con galón,admin/img_prod/BIO1/BIO1-1-720x540.png,1,240,5,170
24,BIS1,Bis a bis,Salón,Bis a bis bambú nogal tapizado terciopelo rojo y azul,admin/img_prod/BIS1/BIS1-1-720x540.png,1,1,120,105
25,BRA1,Brasero,Calefaccion  Medieval,Braseros pletina hierro de palo,admin/img_prod/BRA1/BRA1-1-720x540.png,1,30,30,40
26,BUT1,Butaca de cine,Cine  Teatro,Fila de 5 asientos de butacas de cine pana roja,admin/img_prod/BUT1/BUT1-1-720x540.png,1,254,60,80
27,CAB1,Caballete,Frances  Pintor,Caballete de pintor Luis XV dorado,admin/img_prod/CAB1/CAB1-1-720x540.png,1,75,75,215
28,CAR1,Caja registradora,Tienda,Caja registradora MCR con cajón,admin/img_prod/CAR1/CAR1-1-720x540.png,1,1,1,1
29,CF1,Caja fuerte,,Caja fuerte antigua con cajón y copete madera,admin/img_prod/CF1/CF1-720x540.png,1,70,40,128
30,CAJ1,Caja,Cajas  Militar,Caja de madera gris interior CINC,admin/img_prod/CAJ1/CAJ1-1-720x540.png,1,42,40,34
31,CA1,Cama,Cabecero  Dormitorio,Cabecero capitoné tapizado terciopelo marrón,admin/img_prod/CA1/CA1-720x540.png,1,173,6,156
32,REC1,Reclinatorio,Iglesia  Religioso,Reclinatorio nogal terciopelo rojo con capilla tallada,admin/img_prod/REC1/REC1-1-720x540.png,1,68,95,186
33,CARR1,Carretilla,Rústico,Carretilla de plataforma de madera,admin/img_prod/CARR1/CARR1-1-720x540.png,1,150,50,53
34,CSE1,Carro de servicio,Jardín  Mimbre,Carro de servicio de caña,admin/img_prod/CSE1/CSE1-1-720x540.png,1,0,0,0
35,CTN1,Catenaria,,Catenaria madera torneada con base cuadrada,admin/img_prod/CTN1/CT1-720x540.png,1,24,24,110
36,CH1,Chaiselongue,Salón,Chaiselonge tapizada terciopelo burdeos con cojín,admin/img_prod/CH1/CH1-720x540.png,1,180,70,70
37,CO1,Cocinas,Cocina  Electrodomestico,Cocina de gas 4 fuegos con 2 cajones BENAVENT,admin/img_prod/CO1/CO1-2-720x540.png,1,55,57,84
38,COM1,Comoda,Dormitorio  Isabelino,Cómoda isabelina marquetería 4 cajones,admin/img_prod/COM1/COM1-1-720x540.png,1,135,63,100
39,CON1,Consola,Frances  Recibidor,Consola Luis XVI pintada blanca y oro con chambrana,admin/img_prod/CON1/CON1-1-720x540.png,1,115,50,85
40,COS1,,Costurero,Costurero nogal con bolsa cratona y cajón,admin/img_prod/COS1/COS01.bmp,1,54,30,65
41,CU1,Cuadro,Palacio  Pintor  Retratos,Cuadro marco ancho madera fotografía Felipe III (Autor de la Cruz),admin/img_prod/CU1/CU1-720x540.png,1,137,10,240
42,ANU1,Carteles y anuncios,Tienda,Bolsas de tiendas de papel antiguo,admin/img_prod/ANU1/ANU1-720x540.png,1,10,1,15
43,ESP1,Espejo,Dormitorio  Frances,Espejo vestidor francés columnas torneadas,admin/img_prod/ESP1/ESP1-720x540.png,1,95,60,190
44,ES1,Estanteria,Descatalogado,,admin/img_prod/ES1/LOGOTIPO VAZQUEZ- 720x540.png,1,0,0,0
45,EST1,Estufa,Calefaccion,Estufa salamandra hierro negra,admin/img_prod/EST1/EST1-720x540.png,1,57,47,67
46,ESTAT1,Estatua,Religioso,Estatua escayola imagen Santo,admin/img_prod/ESTAT1/ESTAT1-1-720x540.png,1,62,34,110
47,ASP1,Aspiradoras,Electrodomestico,Aspiradora antigua acero con bolsa corinto,admin/img_prod/ASP1/ASP1-720x540.png,1,1,1,1
0,GN1,Galan de noche,Dormitorio,Galán de noche nogal,admin/img_prod/GN1/GN1-1-720X540.png,2,40,40,137
1,AGU1,Aguamaniles,Dormitorio,Aguamanil loza crema dibujo rosa,admin/img_prod/AGU1/AGU1-720x450.png,2,1,1,1
2,ADP1,Animales disecados en panoplia,,Cabeza de ciervo disecada auténtica,admin/img_prod/ADP1/ADP1-1-720x540.png,2,1,1,1
3,F1,Fichero,Despacho,Fichero madera 4 cajones,admin/img_prod/F1/F1-1-720x540.png,2,53,65,133
4,MUS1,Instrumentos musicales,Piano,Órgano eléctrico antiguo madera embero,admin/img_prod/MUS1/MUS1-1-720x540.png,2,95,40,87
5,DPT1,Deporte,Gimnasio,Aparato saltador de hierro con muelle,admin/img_prod/DPT1/GIM1 720x540.png,2,70,15,100
6,LAM1,Lámpara,Lámpara de mesa  Salón,Lámpara de mesa antigua chapa flor,admin/img_prod/LAM1/LAM1-720X540.png,2,0,0,0
7,FUM1,Artículos de fumador,Cajas,Cajas de puros diferentes,admin/img_prod/FUM1/FUM1-720x540.png,2,1,1,1
8,AZP1,Azulejos y platos de pared,Decoración,Azulejo de pared escena costumbrista marco forja hierro,admin/img_prod/AZP1/AZP1-720x540.png,2,1,1,1
9,BAD1,Bandejas,,Bandeja metal grabada,admin/img_prod/BAD1/BAD1-720x540.png,2,1,1,1
10,BYC1,Atrezzo de bar y cafetería,Bar y cafetería,Jarras de cerveza de loza decorada,admin/img_prod/BYC1/BYC1-720x540.png,2,1,1,1
11,COL1,Atrezzo colegio,Colegio,Estuches y plumieres antiguos,admin/img_prod/COL1/COL1-720x540.png,2,1,1,1
12,DES1,Atrezzo despacho,Despacho  Escribanías y tinteros,Escribanía de viaje nogal 2 tinteros,admin/img_prod/DES1/DES1(1)-720x540.png,2,1,1,1
13,ALA1,Alacena,Descatalogado,Descatalogado,admin/img_prod/ALA1/LOGOTIPO VAZQUEZ- 720x540.png,2,1,1,1
14,CST1,Moda y costura,Avíos de costura,Acerillo de costura,admin/img_prod/CST1/CST1-720x540.png,2,1,1,1
15,VI1,Vitrina,Comedor  Salón,Vitrina rinconera nogal con mesa,admin/img_prod/VI1/VI1-1-720x540.png,2,71,71,165
16,CEM1,Cementerio,Cruces,Cruz de cementerio de hierro forjado,admin/img_prod/CEM1/CEM1-720X540.png,2,53,15,100
17,CHI1,Chimenea,,Avíos chimenea hierro.,admin/img_prod/CHI1/CHI1-720x540.png,2,1,1,1
18,CRI1,Cristalería,Bomboneras,Bombonera de cristal con asa,admin/img_prod/CRI1/CRI1-720x540.png,2,1,1,1
19,MC1,Macetero,Comedor  Gótico  Salón,Macetero gótico calado redondeles,admin/img_prod/MC1/MC1-1-720x540.png,2,40,40,97
20,ME1,Mesilla,Dormitorio  Frances,Mesilla francesa con copete y tapa mármol,admin/img_prod/ME1/ME1-1-720x540.png,2,40,36,120
21,VET1,Ventilador,,Ventilador de mesa pequeño antiguo aspas azules,admin/img_prod/VET1/VET1-720x540.png,2,1,1,1
22,REL1,Reloj,Inglesa  Salón,Reloj de pie inglés caoba,admin/img_prod/REL1/REL1-1-720x540.png,2,40,20,206
23,TEL1,Telefonía,,Centralita antigua caja nogal,admin/img_prod/TEL1/TEL1-2-720x540.png,2,0,0,0
24,MYN1,Maletas y neceseres de viaje,Viaje,Maletas skay marrón correas,admin/img_prod/MYN1/MYN1-720x540.png,2,55,40,25
25,MYC1,Maletines y carteras,,Cartera skay amarillo,admin/img_prod/MYC1/MYC1-720x540.png,2,0,0,0
26,LYR1,Libros y revistas,,Misales,admin/img_prod/LYR1/LYR1-720x540.png,2,0,0,0
27,URN1,Urnas,,Urna antigua,admin/img_prod/URN1/URN1-720x540.png,2,0,0,0
28,TOC1,Objetos de tocador,Tocador,Botes de tocador plástico azul,admin/img_prod/TOC1/TOC1-720x540.png,2,0,0,0
29,VAJ1,Vajilla,Comedor,Vajilla loza Cartuja negra (12 servicios),admin/img_prod/VAJ1/VAJ1-720x540.png,2,0,0,0
30,JUG1,Juguetes,Juguete,Juego Basquet-Car con su caja,admin/img_prod/JUG1/JUG1-720x540.png,2,0,0,0
31,JAR1,Jarrones y jarras,Adorno  Decoración  Salón,Jarra cobrizada baja asa metal,admin/img_prod/JAR1/JAR1-720x540.png,2,0,0,0
32,LOG1,Logicine,Hospital,Mesilla hospital chapa blanca,admin/img_prod/LOG1/LOG1-1-720x540.png,2,50,44,87
33,TYV1,Televisores y vídeos,Televisor,Televisión portátil roja Grundig (color),admin/img_prod/TYV1/TYV1-1-720x540.png,2,47,40,35
34,MYS1,Tocadiscos y altavoces,Altavoces  Electrónica  Musica  Sonido,Altavoces caja madera frontal negro,admin/img_prod/MYS1/MYS1-720x540.png,2,0,0,0
35,SOM1,Sombrereras,Viaje,Sombrereras actuales,admin/img_prod/SOM1/SOM1-720x540.png,2,0,0,0
36,TP1,Tapices y estandartes,Iglesia  Medieval,Tapiz pintado religioso Pantocrator,admin/img_prod/TP1/TP1-720x540.png,2,180,0,275
37,ML1,Librería,Despacho  Inglesa,Librería despacho ingles caoba puertas cristal,admin/img_prod/ML1/ML1-1-720x540.png,2,105,69,175
38,JUZ1,Juzgado,Juzgados,Estrado de juzgado madera tallado de 3 metros,admin/img_prod/JUZ1/JUZ1-720x540-removebg-preview.png,2,300,73,87
39,MED1,Atrezzo medicina,Hospital  Medicina,Juego de jeringuillas antiguo,admin/img_prod/MED1/MED1-720x540.png,2,0,0,0
40,HOS1,Hospitales,Hospital  Medicina,Banqueta de hospital giratoria asiento skay,admin/img_prod/HOS1/HOS1-720x540.png,2,32,32,50
41,VAA1,Atrezzo vario,Adorno  Varios cocina,Alambique de cobre,admin/img_prod/VAA1/VAA1-720x540.png,2,0,0,0
42,GRA1,Gramófonos y gramolas,Musica,Gramófono repujado con bocina,admin/img_prod/GRA1/GRA1-720x540.png,2,0,0,0
43,ARA1,Atrezzo Árabe,Arabe,Mesa árabe ochavada tapa marquetería,admin/img_prod/ARA1/ARA1-1-720x540.png,2,108,60,77
44,SI1,Sillón,Isabelino  Salón  Sillería,Sillón isabelino caoba tapizado tela rayas,admin/img_prod/SI1/SI1-1-720x540.png,2,65,60,115
45,RAD1,Radios,Descatalogado,Descatalogado,admin/img_prod/RAD1/LOGOTIPO VAZQUEZ- 720x540.png,2,0,0,0
46,JAM1,Jamuga,Navidad,Jamuga dorada cabezas y garras tapizada terciopelo rojo,admin/img_prod/JAM1/JAM1-1-720x540.png,2,110,60,145
47,MV1,Muebles varios,Chifonier  Frances,Chifonier francés caoba y bronce,admin/img_prod/MV1/MV1-1-720x540.png,2,55,35,146
0,JAU1,Jaula,,Jaula grande de caña,admin/img_prod/JAU1/JAU1-720x540.png,3,70,70,190
1,JUE1,Juego,Casino,Ruleta de casino de madera y metal auténtica,admin/img_prod/JUE1/JUE1-720x540.png,3,80,80,25
2,JU1,Juguetero,,Juguetero caoba puertas marquetería y espejo,admin/img_prod/JU1/JU1-1-720x540.png,3,85,36,175
3,SIL1,Silla,Isabelino  Sillería,Silla isabelina caoba tapizada tela rayas,admin/img_prod/SIL1/SIL1 (HAY 4) 720x540.png,3,50,50,100
4,LM1,Litera de mano,Edad media,Litera de transporte tapizada damasco rojo,admin/img_prod/LM1/LM1-1-720X540.png,3,72,90,163
5,MEC1,Mecedora,Curvado,Mecedora curvada nogal tapizada skay verde,admin/img_prod/MEC1/MEC1-1-720x540.png,3,55,100,100
6,MOS1,Mostrador,Tienda,Mostrador de tienda de nogal con altillo (se le puede añadir una parte adicional para elevarlo),admin/img_prod/MOS1/MOS1-1-720x540.png,3,190,50,124
7,S1,Sofá,Isabelino  Salón  Sillería,Sofá isabelino caoba tapizado tela rayas,admin/img_prod/S1/S1-1-720x540.png,3,180,65,80
8,ILU1,Iluminación,Calle,Cabezas de farol de calle,admin/img_prod/ILU1/ILU001__MOU021___HAY_7_-removebg-preview.png,3,36,36,80
9,PV1,Pie de vela,Hachero  Iglesia  Medieval,Hachero de suelo hierro aro calado 7 luces con pincho,admin/img_prod/PV1/PV1-720x540.png,3,63,63,205
10,SEC1,Secreter,Americano  Salón,Bureau marquetería con cajones,admin/img_prod/SEC1/SEC1-1-720x540.png,3,123,53,100
11,PEL1,Peluquería,,Sillón de peluquería tapizado skay negro con secador,admin/img_prod/PEL1/PEL1-1-720x540.png,3,60,70,150
12,SR1,Silla de ruedas,Hospital,Silla de inválido de calle,admin/img_prod/SR1/SR1-720x540.png,3,150,75,110
13,PC1,Pizarra,Colegio,Pizarra de colegio marco madera claro,admin/img_prod/PC1/PC1-720x540.png,3,250,5,123
14,BUZ1,Buzones,Portal,Bloque de 25 buzones madera y metal,admin/img_prod/BUZ1/BUZ1-1-720x540.png,3,163,10,107
15,CAM1,Cámara fotos y vídeo,Cámaras de fotos,Cámara de fotos antigua figurada con pie,admin/img_prod/CAM1/CAM1-720x540.png,3,1,1,1
16,QIN1,Quinqués,,Quinqué alabastro forma copa,admin/img_prod/QIN1/QIN1-720x540.png,3,1,1,1
17,REV1,Revistero,Salón,Revistero dorado,admin/img_prod/REV1/REV1-1-720x540.png,3,0,0,0
18,MOU1,Mobiliario urbano,Descatalogado,,admin/img_prod/MOU1/LOGOTIPO VAZQUEZ- 720x540.png,3,0,0,0
19,CDM1,Centro de mesa,Adorno,Centro de mesa de alabastro,admin/img_prod/CDM1/CDM1-720x540.png,3,0,0,0
20,PAP1,Papelera,,Papelera de chapa amarilla,admin/img_prod/PAP1/PAP1-720x540.png,3,0,0,0
21,FIG1,Figuras,Adorno,Caparazón de armadillo,admin/img_prod/FIG1/FIG1-720x540.png,3,0,0,0
22,PLA1,Playa,Hamaca  Jardín,Hamaca de madera con tela de rayas,admin/img_prod/PLA1/PLA1-1-720x540.png,3,0,0,0
23,REG1,Religión,Iglesia,Adorno religioso de altar de metal,admin/img_prod/REG1/REG1-720x540.png,3,0,0,0
24,RU1,Rural,Rústico  Artesa,Artesa madera con pie,admin/img_prod/RU1/RU1-720x540.png,3,110,51,61
25,PAR1,Paragüero,,Paragüero metal aro calado,admin/img_prod/PAR1/PAR1-720x540.png,3,1,1,1
26,GUA1,Guarnición,Imperio,Guarnición imperio mármol y bronce con reloj y 2 candelabros,admin/img_prod/GUA1/GUA1-720x540.png,3,0,0,0
27,PUR1,Puerta,Carcel,Puerta de cárcel de hierro,admin/img_prod/PUR1/PUR1-720x540.png,3,0,0,0
28,ALA2,Alacena,Cocina  Español,Alacena-armario de cuarterones,admin/img_prod/ALA2/ALA2-1-720x540.png,3,106,38,175
29,ALF2,Alfombra,Arabe  Comedor  Salón,Alfombra persa roja,admin/img_prod/ALF2/ALF2-1-720x540.png,3,215,165,1
30,CDM2,Centro de mesa,Adorno,Centro de mesa alabastro filo metal,admin/img_prod/CDM2/CDM2-720x540.png,3,0,0,0
31,AFC2,Alfombra de cama,Dormitorio,Alfombrín de cama rojo dibujos infantiles,admin/img_prod/AFC2/AFC2-720x540.png,3,97,80,1
32,AP2,Aparador,Alemán  Comedor,"Trinchero alemán con copete, juego AP1",admin/img_prod/AP2/AP2-1-720x540.png,3,140,80,180
33,AST2,Atrezzo astronomia,Astronomía,Pie de madera torneado para astrolabio,admin/img_prod/AST2/AST2-pie-720x540.png,3,130,78,125
34,TOR2,Tortura,Carcel,Garrote vil figurado,admin/img_prod/TOR2/TOR2-1-720x540.png,3,50,50,190
35,ARC2,Arcon,Descatalogado,,admin/img_prod/ARC2/LOGOTIPO VAZQUEZ- 720x540.png,3,1,1,1
36,AR2,Armario,Dormitorio  Inglesa,Armario inglés caoba puerta central espejo,admin/img_prod/AR2/AR2-720x540.png,3,175,53,230
37,ARM2,Armero,Militar,Armero de fusiles de pared,admin/img_prod/ARM2/ARM2-720x540.png,3,67,18,95
38,ATD2,Ataud,,Ataud figurado pino 2 tapas (Drácula),admin/img_prod/ATD2/ATD2-1-720x540.png,3,60,68,175
39,ATR2,Atril,Religioso,Atril de pino columnas torneadas,admin/img_prod/ATR2/ATR2-1-720x540.png,3,75,85,115
40,BL2,Balancin,Juguete  Columpio,Caballito balancín de niño,admin/img_prod/BL2/BL2-1-720x540.png,3,1,1,1
41,BAC2,Banco,Gótico,Banco gótico cerrado con arcos y columnas,admin/img_prod/BAC2/BAC2-1-720x540.png,3,175,50,260
42,BAN2,Banqueta,,Banqueta de pie a juego sillón asirio SI-221,admin/img_prod/BAN2/BAN2-1-720x540.png,3,50,38,24
43,M2,Mesa,Jardín,Mesa de jardín tapa mármol figurado verde,admin/img_prod/M2/M2-1-720x540.png,3,90,90,71
44,BA2,Baño,Bañera,Funda de cobre bañada en hierro,admin/img_prod/BA2/BA2-1-720x540.png,3,166,75,80
45,BAR2,Bargueño,Gótico,Bargueño gótico tallado sin tapa con pie,admin/img_prod/BAR2/BAR2-1-720x540.png,3,95,30,150
46,BRL2,Barril,Bar y cafetería  Rústico,Barril de madera mediano,admin/img_prod/BRL2/BRL2-1-720x540.png,3,50,50,88
47,BAS2,Bascula,Mercado,Báscula de mercado con plataforma,admin/img_prod/BAS2/BAS2-720x540.png,3,45,75,155
0,BAU2,Baul,Viaje  Americano,Baúl americano rojo inglés,admin/img_prod/BAU2/BAU2-1-720x540.png,4,104,56,35
1,BEB2,Bebé,Cochecito,Cochecito de bebé medio cuco con capota azul,admin/img_prod/BEB2/BEB2-1-720x540.png,4,1,1,1
2,PER2,Perchero,Recibidor,Perchero de pared de roble con barras de metal,admin/img_prod/PER2/PER2-1-720x540.png,4,120,15,198
3,ESC2,Escaleras,Tienda,Escalera de tijera de madera,admin/img_prod/ESC2/ESC2-720x540.png,4,43,80,139
4,BIO2,Biombo,Dormitorio  Imperio,Biombo imperio 3 hojas ovalo tela seda flores,admin/img_prod/BIO2/BIO2-720x540.png,4,150,40,195
5,BIS2,Bis a bis,Salón,Bis a bis torneado oro,admin/img_prod/BIS2/BIS2-1-720x540.png,4,82,43,80
6,BRA2,Brasero,Calefaccion  Medieval,Brasero pletina hierro de suelo,admin/img_prod/BRA2/BRA2-1-720x540.png,4,75,40,70
7,BUT2,Butaca de cine,Cine  Teatro,Fila de 4 asientos de butacas de cine pana roja,admin/img_prod/BUT2/BUT2-1-720x540.png,4,200,60,80
8,CAB2,Caballete,Pintor,Caballete de estudio madera oscuro,admin/img_prod/CAB2/CAB2-1-720x540.png,4,70,70,176
9,CAR2,Caja registradora,Tienda,Caja registradora marrón NATIONAL,admin/img_prod/CAR2/CAR2-1 720x540.png,4,56,41,52
10,CF2,Caja fuerte,,Caja fuerte antigua hierro,admin/img_prod/CF2/CF2-1-720x540.png,4,71,43,95
11,CAJ2,Caja,Descatalogado,Descatalogado,admin/img_prod/CAJ2/LOGOTIPO VAZQUEZ- 720x540.png,4,1,1,30
12,CA2,Cama,Cabecero  Dormitorio,Cabecero forma tapizado raso marón,admin/img_prod/CA2/CA2-720x540.png,4,110,6,130
13,REC2,Reclinatorio,Iglesia  Religioso,Reclinatorio nogal tallado tapizado terciopelo rojo con cruz,admin/img_prod/REC2/REC2-1-720x540.png,4,47,45,80
14,CARR2,Carretilla,Rústico,Carretilla de madera con cajón,admin/img_prod/CARR2/CARR2-1-720x540.png,4,170,70,75
15,CSE2,Carro de servicio,Cocina  Comedor  Salón,Carro de servicio de madera oscura con asa.,admin/img_prod/CSE2/CSE2-1-720X540.png,4,90,40,68
16,LOG2,Logicine,Jardín,Macetón fibra marrón,admin/img_prod/LOG2/LOG2 (HAY 2)-720x540.png,4,65,65,80
17,CTN2,Catenaria,,Catenaria tubo hierro negro cinta extensible.,admin/img_prod/CTN2/CT2-720x540.png,4,30,30,98
18,CH2,Chaiselongue,Descatalogado,Descatalogado,admin/img_prod/CH2/LOGOTIPO VAZQUEZ- 720x540.png,4,1,1,1
19,CO2,Cocinas,Electrodomestico  Cocina,Cocina de gas 3 fuegos con horno,admin/img_prod/CO2/CO2-720x540.png,4,54,50,83
20,COM2,Comoda,Dormitorio  Imperio,Cómoda imperio caoba y bronce 4 cajones,admin/img_prod/COM2/COM2-1-720x540.png,4,122,59,106
21,CON2,Consola,Frances  Recibidor,Consola Luis XV talla cartón tapa figurada,admin/img_prod/CON2/CON2-1-720x540.png,4,170,60,100
22,COS2,,Costurero,Costurero isabelino negro interior raso rojo,admin/img_prod/COS2/COS2-1-720x540.png,4,52,36,76
23,CU2,Cuadro,Retratos,Cuadro marco madera y filo oro ancho oleografía mujer,admin/img_prod/CU2/CU2-720x540.png,4,80,10,90
24,ANU2,Carteles y anuncios,Bar y cafetería,Cartel chapa cerveza antiguo,admin/img_prod/ANU2/ANU2-720x540.png,4,10,5,15
25,ESP2,Espejo,Dormitorio,Espejo vestidor caoba con copete,admin/img_prod/ESP2/ESP2-720x540.png,4,86,52,190
26,ES2,Estanteria,Dormitorio,Estantería de suelo de bambú,admin/img_prod/ES2/ES2-1-720x540.png,4,1,1,1
27,EST2,Estufa,Calefaccion,Estufa salamandra hierro marrón,admin/img_prod/EST2/EST2 720x540.png,4,60,40,90
28,ESTAT2,Estatua,Religioso,Estatua cartón Virgen con niño,admin/img_prod/ESTAT2/ESTAT2-720x540.png,4,60,40,140
29,GN2,Galan de noche,Dormitorio,Galan de noche pintado marrón,admin/img_prod/GN2/GN2-1-720x540.png,4,45,45,120
30,AGU2,Aguamaniles,Dormitorio,Aguamanil loza crema filo azul,admin/img_prod/AGU2/AGU2-720x540.png,4,1,1,1
31,ADP2,Animales disecados en panoplia,,Cuernos de ciervo en panoplia madera,admin/img_prod/ADP2/ADP2-720x450.png,4,1,1,1
32,F2,Fichero,Despacho,Fichero madera 5 cajones,admin/img_prod/F2/F2-1-720x540.png,4,53,55,133
33,MUS2,Instrumentos musicales,Musica  Piano,Piano de media cola figurado,admin/img_prod/MUS2/MUS2-1-720x540.png,4,155,108,95
34,ADO2,Adornos,Salón,Adorno mesa rosa antiguo plateado,admin/img_prod/ADO2/ADO2-720x540.png,4,1,1,1
35,DPT2,Deporte,Gimnasio,Cinta andadora mecánica,admin/img_prod/DPT2/DPT2-720x540.png,4,130,60,120
36,LAM2,Lámpara,Lámpara de mesa  Salón,Lámpara de mesa antigua escayola pintada,admin/img_prod/LAM2/LAM2-720X540.png,4,0,0,0
37,FUM2,Artículos de fumador,Cajas,Cajas para tabaco,admin/img_prod/FUM2/FUM2-720x540.png,4,1,1,1
38,ASP2,Aspiradoras,Electrodomestico,Aspiradora antigua base triangular bolsa en barra,admin/img_prod/ASP2/ASP2-720x540.png,4,1,1,1
39,AZP2,Azulejos y platos de pared,Decoración,Azulejo pared escena taurina marco forja hierro,admin/img_prod/AZP2/AZP2-720x540.png,4,1,1,1
40,BAD2,Bandejas,,Bandeja plateada grabada,admin/img_prod/BAD2/BAD2-720x540.png,4,1,1,1
41,BYC2,Atrezzo de bar y cafetería,Bar y cafetería,Sifón de cristal antiguo,admin/img_prod/BYC2/BYC2-720x540.png,4,1,1,1
42,COL2,Atrezzo colegio,Colegio,Pizarrín antiguo,admin/img_prod/COL2/COL2-720x540.png,4,1,1,1
43,DES2,Atrezzo despacho,Despacho  Escribanías y tinteros,Escribanía de viaje nogal cantoneras metal,admin/img_prod/DES2/DES2-720x540.png,4,1,1,1
44,CST2,Moda y costura,Avíos de costura,Bastidor de coser grande antiguo,admin/img_prod/CST2/CST2-720x540.png,4,1,1,1
45,CEM2,Cementerio,,Lápida de cementerio figurada piedra,admin/img_prod/CEM2/CEM002-1-720x540.png,4,52,19,101
46,CHI2,Chimenea,,Avíos chimenea metal,admin/img_prod/CHI2/CHI2-720x540.png,4,1,1,1
47,CRI2,Cristalería,Bomboneras,Bomboneras cristal antiguas,admin/img_prod/CRI2/CRI2-720x540.png,4,1,1,1
0,MC2,Macetero,Jardín,Macetero hierro blanco para tres tiestos,admin/img_prod/MC2/MC2-1-720x540.png,5,50,50,95
1,ME2,Mesilla,Dormitorio  Frances,Mesilla francesa con pinturas en el frente,admin/img_prod/ME2/ME2-1-720x540.png,5,0,0,0
2,VET2,Ventilador,,Ventilador de mesa pequeño crema antiguo,admin/img_prod/VET2/VET2-720x540.png,5,1,1,1
3,REL2,Reloj,Salón,Reloj de pìe forma guitarra figurado,admin/img_prod/REL2/REL2-1-720x540.png,5,58,25,225
4,TEL2,Telefonía,,Teléfono de pared antiguo caja madera,admin/img_prod/TEL2/TEL2-720x540.png,5,0,0,0
5,MYN2,Maletas y neceseres de viaje,Viaje,Maleta antigua crema cantoneras marrones,admin/img_prod/MYN2/MYN2-720x540.png,5,65,30,25
6,MYC2,Maletines y carteras,,Bolsas de costado de nylon,admin/img_prod/MYC2/MYC2-720x540.png,5,0,0,0
7,LYR2,Libros y revistas,,Misales antiguos,admin/img_prod/LYR2/LYR2-720x540.png,5,0,0,0
8,URN2,Urnas,,Urna antigua,admin/img_prod/URN2/URN2-720x540.png,5,0,0,0
9,TOC2,Objetos de tocador,Tocador,Cajas de tocador de loza colores,admin/img_prod/TOC2/TOC2-720x540.png,5,0,0,0
